Encompass Health Rehabilitation Hospital of Panama City ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY NATIONAL (CHCN) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-C,NA,NA,$21705.54,$26275.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22847.94,NA,NA,NA,NA,NA,NA,NA,$22847.94,NA,NA,$26275.13,$22847.94,NA,$22847.94,$22847.94,NA,$21705.54,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-D,NA,NA,$19552.22,$23668.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20581.29,NA,NA,NA,NA,NA,NA,NA,$20581.29,NA,NA,$23668.48,$20581.29,NA,$20581.29,$20581.29,NA,$19552.22,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-A,NA,NA,$21801.79,$26391.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22949.25,NA,NA,NA,NA,NA,NA,NA,$22949.25,NA,NA,$26391.64,$22949.25,NA,$22949.25,$22949.25,NA,$21801.79,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-B,NA,NA,$30699.48,$37162.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32315.24,NA,NA,NA,NA,NA,NA,NA,$32315.24,NA,NA,$37162.52,$32315.24,NA,$32315.24,$32315.24,NA,$30699.48,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-C,NA,NA,$26050.96,$31535.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27422.06,NA,NA,NA,NA,NA,NA,NA,$27422.06,NA,NA,$31535.37,$27422.06,NA,$27422.06,$27422.06,NA,$26050.96,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-D,NA,NA,$23466.69,$28407.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24701.78,NA,NA,NA,NA,NA,NA,NA,$24701.78,NA,NA,$28407.05,$24701.78,NA,$24701.78,$24701.78,NA,$23466.69,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-A,NA,NA,$36915.22,$44686.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38858.13,NA,NA,NA,NA,NA,NA,NA,$38858.13,NA,NA,$44686.84,$38858.13,NA,$38858.13,$38858.13,NA,$36915.22,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-B,NA,NA,$51979.81,$62922.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54715.59,NA,NA,NA,NA,NA,NA,NA,$54715.59,NA,NA,$62922.93,$54715.59,NA,$54715.59,$54715.59,NA,$51979.81,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-C,NA,NA,$44109.22,$53395.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46430.76,NA,NA,NA,NA,NA,NA,NA,$46430.76,NA,NA,$53395.37,$46430.76,NA,$46430.76,$46430.76,NA,$44109.22,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-D,NA,NA,$39733.64,$48098.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41824.88,NA,NA,NA,NA,NA,NA,NA,$41824.88,NA,NA,$48098.61,$41824.88,NA,$41824.88,$41824.88,NA,$39733.64,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-A,NA,NA,$27997.42,$33891.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29470.97,NA,NA,NA,NA,NA,NA,NA,$29470.97,NA,NA,$33891.61,$29470.97,NA,$29470.97,$29470.97,NA,$27997.42,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-B,NA,NA,$39423.35,$47723.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41498.26,NA,NA,NA,NA,NA,NA,NA,$41498.26,NA,NA,$47723.00,$41498.26,NA,$41498.26,$41498.26,NA,$39423.35,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-C,NA,NA,$33453.25,$40496.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35213.95,NA,NA,NA,NA,NA,NA,NA,$35213.95,NA,NA,$40496.04,$35213.95,NA,$35213.95,$35213.95,NA,$33453.25,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-D,NA,NA,$30134.93,$36479.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31720.98,NA,NA,NA,NA,NA,NA,NA,$31720.98,NA,NA,$36479.13,$31720.98,NA,$31720.98,$31720.98,NA,$30134.93,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-A,NA,NA,$36694.00,$44419.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38625.26,NA,NA,NA,NA,NA,NA,NA,$38625.26,NA,NA,$44419.05,$38625.26,NA,$38625.26,$38625.26,NA,$36694.00,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-B,NA,NA,$51669.53,$62547.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54388.98,NA,NA,NA,NA,NA,NA,NA,$54388.98,NA,NA,$62547.32,$54388.98,NA,$54388.98,$54388.98,NA,$51669.53,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-C,NA,NA,$43844.90,$53075.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46152.53,NA,NA,NA,NA,NA,NA,NA,$46152.53,NA,NA,$53075.41,$46152.53,NA,$46152.53,$46152.53,NA,$43844.90,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-D,NA,NA,$39495.18,$47809.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41573.87,NA,NA,NA,NA,NA,NA,NA,$41573.87,NA,NA,$47809.95,$41573.87,NA,$41573.87,$41573.87,NA,$39495.18,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-A,NA,NA,$41897.01,$50717.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44102.11,NA,NA,NA,NA,NA,NA,NA,$44102.11,NA,NA,$50717.43,$44102.11,NA,$44102.11,$44102.11,NA,$41897.01,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-B,NA,NA,$58997.12,$71417.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$62102.23,NA,NA,NA,NA,NA,NA,NA,$62102.23,NA,NA,$71417.57,$62102.23,NA,$62102.23,$62102.23,NA,$58997.12,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-C,NA,NA,$50062.08,$60601.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52696.93,NA,NA,NA,NA,NA,NA,NA,$52696.93,NA,NA,$60601.47,$52696.93,NA,$52696.93,$52696.93,NA,$50062.08,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-D,NA,NA,$45097.53,$54591.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47471.09,NA,NA,NA,NA,NA,NA,NA,$47471.09,NA,NA,$54591.75,$47471.09,NA,$47471.09,$47471.09,NA,$45097.53,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-A,NA,NA,$12748.95,$15432.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13419.95,NA,NA,NA,NA,NA,NA,NA,$13419.95,NA,NA,$15432.94,$13419.95,NA,$13419.95,$13419.95,NA,$12748.95,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-B,NA,NA,$18813.86,$22774.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19804.07,NA,NA,NA,NA,NA,NA,NA,$19804.07,NA,NA,$22774.68,$19804.07,NA,$19804.07,$19804.07,NA,$18813.86,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-C,NA,NA,$14620.71,$17698.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15390.23,NA,NA,NA,NA,NA,NA,NA,$15390.23,NA,NA,$17698.76,$15390.23,NA,$15390.23,$15390.23,NA,$14620.71,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-D,NA,NA,$13803.34,$16709.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14529.84,NA,NA,NA,NA,NA,NA,NA,$14529.84,NA,NA,$16709.31,$14529.84,NA,$14529.84,$14529.84,NA,$13803.34,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-A,NA,NA,$15841.74,$19176.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16675.52,NA,NA,NA,NA,NA,NA,NA,$16675.52,NA,NA,$19176.84,$16675.52,NA,$16675.52,$16675.52,NA,$15841.74,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-B,NA,NA,$23376.19,$28297.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24606.52,NA,NA,NA,NA,NA,NA,NA,$24606.52,NA,NA,$28297.49,$24606.52,NA,$24606.52,$24606.52,NA,$23376.19,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-C,NA,NA,$18166.00,$21990.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19122.11,NA,NA,NA,NA,NA,NA,NA,$19122.11,NA,NA,$21990.42,$19122.11,NA,$19122.11,$19122.11,NA,$18166.00,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-D,NA,NA,$17150.39,$20761.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18053.05,NA,NA,NA,NA,NA,NA,NA,$18053.05,NA,NA,$20761.00,$18053.05,NA,$18053.05,$18053.05,NA,$17150.39,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-A,NA,NA,$18397.28,$22270.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19365.55,NA,NA,NA,NA,NA,NA,NA,$19365.55,NA,NA,$22270.39,$19365.55,NA,$19365.55,$19365.55,NA,$18397.28,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-B,NA,NA,$27148.44,$32863.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28577.31,NA,NA,NA,NA,NA,NA,NA,$28577.31,NA,NA,$32863.91,$28577.31,NA,$28577.31,$28577.31,NA,$27148.44,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-C,NA,NA,$21097.90,$25539.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22208.32,NA,NA,NA,NA,NA,NA,NA,$22208.32,NA,NA,$25539.56,$22208.32,NA,$22208.32,$22208.32,NA,$21097.90,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-D,NA,NA,$19918.53,$24111.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20966.88,NA,NA,NA,NA,NA,NA,NA,$20966.88,NA,NA,$24111.91,$20966.88,NA,$20966.88,$20966.88,NA,$19918.53,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-A,NA,NA,$21909.52,$26522.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23062.66,NA,NA,NA,NA,NA,NA,NA,$23062.66,NA,NA,$26522.05,$23062.66,NA,$23062.66,$23062.66,NA,$21909.52,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-B,NA,NA,$32329.91,$39136.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34031.48,NA,NA,NA,NA,NA,NA,NA,$34031.48,NA,NA,$39136.20,$34031.48,NA,$34031.48,$34031.48,NA,$32329.91,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-C,NA,NA,$25125.85,$30415.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26448.26,NA,NA,NA,NA,NA,NA,NA,$26448.26,NA,NA,$30415.50,$26448.26,NA,$26448.26,$26448.26,NA,$25125.85,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-D,NA,NA,$23720.95,$28714.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24969.42,NA,NA,NA,NA,NA,NA,NA,$24969.42,NA,NA,$28714.84,$24969.42,NA,$24969.42,$24969.42,NA,$23720.95,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-A,NA,NA,$28584.95,$34602.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30089.42,NA,NA,NA,NA,NA,NA,NA,$30089.42,NA,NA,$34602.83,$30089.42,NA,$30089.42,$30089.42,NA,$28584.95,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-B,NA,NA,$42178.56,$51058.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44398.49,NA,NA,NA,NA,NA,NA,NA,$44398.49,NA,NA,$51058.26,$44398.49,NA,$44398.49,$44398.49,NA,$42178.56,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-C,NA,NA,$32779.53,$39680.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34504.77,NA,NA,NA,NA,NA,NA,NA,$34504.77,NA,NA,$39680.49,$34504.77,NA,$34504.77,$34504.77,NA,$32779.53,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-D,NA,NA,$30946.56,$37461.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32575.32,NA,NA,NA,NA,NA,NA,NA,$32575.32,NA,NA,$37461.62,$32575.32,NA,$32575.32,$32575.32,NA,$30946.56,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-A,NA,NA,$12598.12,$15250.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13261.18,NA,NA,NA,NA,NA,NA,NA,$13261.18,NA,NA,$15250.36,$13261.18,NA,$13261.18,$13261.18,NA,$12598.12,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-B,NA,NA,$19641.29,$23776.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20675.04,NA,NA,NA,NA,NA,NA,NA,$20675.04,NA,NA,$23776.29,$20675.04,NA,$20675.04,$20675.04,NA,$19641.29,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-C,NA,NA,$14785.91,$17898.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15564.12,NA,NA,NA,NA,NA,NA,NA,$15564.12,NA,NA,$17898.73,$15564.12,NA,$15564.12,$15564.12,NA,$14785.91,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-D,NA,NA,$13860.80,$16778.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14590.32,NA,NA,NA,NA,NA,NA,NA,$14590.32,NA,NA,$16778.87,$14590.32,NA,$14590.32,$14590.32,NA,$13860.80,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-A,NA,NA,$15679.42,$18980.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16504.65,NA,NA,NA,NA,NA,NA,NA,$16504.65,NA,NA,$18980.35,$16504.65,NA,$16504.65,$16504.65,NA,$15679.42,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-B,NA,NA,$24443.51,$29589.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25730.01,NA,NA,NA,NA,NA,NA,NA,$25730.01,NA,NA,$29589.51,$25730.01,NA,$25730.01,$25730.01,NA,$24443.51,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-C,NA,NA,$18400.15,$22273.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19368.58,NA,NA,NA,NA,NA,NA,NA,$19368.58,NA,NA,$22273.87,$19368.58,NA,$19368.58,$19368.58,NA,$18400.15,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-D,NA,NA,$17249.51,$20880.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18157.38,NA,NA,NA,NA,NA,NA,NA,$18157.38,NA,NA,$20880.99,$18157.38,NA,$18157.38,$18157.38,NA,$17249.51,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-A,NA,NA,$18624.24,$22545.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19604.47,NA,NA,NA,NA,NA,NA,NA,$19604.47,NA,NA,$22545.14,$19604.47,NA,$19604.47,$19604.47,NA,$18624.24,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-B,NA,NA,$29037.44,$35150.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30565.73,NA,NA,NA,NA,NA,NA,NA,$30565.73,NA,NA,$35150.59,$30565.73,NA,$30565.73,$30565.73,NA,$29037.44,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-C,NA,NA,$21857.81,$26459.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23008.22,NA,NA,NA,NA,NA,NA,NA,$23008.22,NA,NA,$26459.45,$23008.22,NA,$23008.22,$23008.22,NA,$21857.81,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-D,NA,NA,$20490.26,$24804.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21568.69,NA,NA,NA,NA,NA,NA,NA,$21568.69,NA,NA,$24804.00,$21568.69,NA,$21568.69,$21568.69,NA,$20490.26,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-A,NA,NA,$21612.17,$26162.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22749.65,NA,NA,NA,NA,NA,NA,NA,$22749.65,NA,NA,$26162.10,$22749.65,NA,$22749.65,$22749.65,NA,$21612.17,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-B,NA,NA,$33694.58,$40788.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35467.98,NA,NA,NA,NA,NA,NA,NA,$35467.98,NA,NA,$40788.18,$35467.98,NA,$35467.98,$35467.98,NA,$33694.58,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-C,NA,NA,$25364.31,$30704.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26699.27,NA,NA,NA,NA,NA,NA,NA,$26699.27,NA,NA,$30704.16,$26699.27,NA,$26699.27,$26699.27,NA,$25364.31,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-D,NA,NA,$23776.98,$28782.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25028.40,NA,NA,NA,NA,NA,NA,NA,$25028.40,NA,NA,$28782.65,$25028.40,NA,$25028.40,$25028.40,NA,$23776.98,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-A,NA,NA,$12657.02,$15321.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13323.17,NA,NA,NA,NA,NA,NA,NA,$13323.17,NA,NA,$15321.65,$13323.17,NA,$13323.17,$13323.17,NA,$12657.02,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-B,NA,NA,$17917.49,$21689.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18860.51,NA,NA,NA,NA,NA,NA,NA,$18860.51,NA,NA,$21689.59,$18860.51,NA,$18860.51,$18860.51,NA,$17917.49,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-C,NA,NA,$14530.21,$17589.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15294.96,NA,NA,NA,NA,NA,NA,NA,$15294.96,NA,NA,$17589.21,$15294.96,NA,$15294.96,$15294.96,NA,$14530.21,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-D,NA,NA,$13768.87,$16667.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14493.55,NA,NA,NA,NA,NA,NA,NA,$14493.55,NA,NA,$16667.58,$14493.55,NA,$14493.55,$14493.55,NA,$13768.87,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-A,NA,NA,$15824.50,$19155.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16657.37,NA,NA,NA,NA,NA,NA,NA,$16657.37,NA,NA,$19155.98,$16657.37,NA,$16657.37,$16657.37,NA,$15824.50,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-B,NA,NA,$22402.24,$27118.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23581.31,NA,NA,NA,NA,NA,NA,NA,$23581.31,NA,NA,$27118.50,$23581.31,NA,$23581.31,$23581.31,NA,$22402.24,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-C,NA,NA,$18167.44,$21992.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19123.62,NA,NA,NA,NA,NA,NA,NA,$19123.62,NA,NA,$21992.16,$19123.62,NA,$19123.62,$19123.62,NA,$18167.44,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-D,NA,NA,$17216.47,$20840.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18122.60,NA,NA,NA,NA,NA,NA,NA,$18122.60,NA,NA,$20840.99,$18122.60,NA,$18122.60,$18122.60,NA,$17216.47,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-A,NA,NA,$19234.76,$23284.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20247.11,NA,NA,NA,NA,NA,NA,NA,$20247.11,NA,NA,$23284.18,$20247.11,NA,$20247.11,$20247.11,NA,$19234.76,NA,NA,NA
