Encompass Health Rehabilitation Hospital of Colorado Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,ITEM_SERVICE_PACKAGE,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,ANTHEM BCBS OF COLORADO (BCOA) negotiated charge,BC OF CO ANTHEM EXCHANGE (BOAZ) negotiated charge,BC OF CO ANTHEM MEDICARE (BOAM) negotiated charge,BCBS OF COLORADO (BCCO) negotiated charge,BRIGHT HEALTH EXCHANGE (BRHZ) negotiated charge,BRIGHT HEALTH PLAN (BRH) negotiated charge,BRIGHT HEALTH PLAN MCR (BRHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICE CARE NET MEDICARE (CHOM) negotiated charge,CHOICE CARE NETWORK (CHO) negotiated charge,CIGNA (CIG) negotiated charge,CIGNA EXCHANGE (CIGZ) negotiated charge,CIGNA MEDICARE (CIGM) negotiated charge,CO ACCESS CHP HMO MCD (CAHD) negotiated charge,COLORADO ACCESS MEDICAID (CAAD) negotiated charge,COLORADO CHOICE EXCHANGE (COLZ) negotiated charge,COLORADO CHOICE HEALTH (COL) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,COVENTRY HEALTHCARE WC (CHCW) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTHNET FEDERAL SVCS (HFS) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,LONGEVITY HEALTH PLAN MCR (LHPM) negotiated charge,MULTIPLAN (MUL) negotiated charge,MY INNOVAGE PACE DUAL (MIPB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PINNACOL ASSURANCE WC (PINW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,ROCKY MOUNTAIN HMO (RMH) negotiated charge,ROCKY MOUNTAIN MEDICARE (RMHM) negotiated charge,ROCKY MTN PACE DUAL (RMPM) negotiated charge,SLOANS LAKE MANAGED CARE (SLK) negotiated charge,TRIWEST VETERANS (TWV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,ISOTONER THERAPEUTIC GLOVE L-X,270,$50.00,$37.50,$33.20,$42.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40.00,$42.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35.00,NA,NA,$37.50,NA,NA,NA,NA,NA,NA,NA,NA,$33.20,$40.00
Inpatient Rehabilitation Services,ISOTONER THERAPEUTIC GLOVE RL,270,$44.00,$33.00,$29.22,$36.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35.20,$36.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30.80,NA,NA,$33.00,NA,NA,NA,NA,NA,NA,NA,NA,$29.22,$35.20
Inpatient Rehabilitation Services,ISOTONER THERAPEUTIC GLOVE RM,270,$44.00,$33.00,$29.22,$36.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35.20,$36.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30.80,NA,NA,$33.00,NA,NA,NA,NA,NA,NA,NA,NA,$29.22,$35.20
Inpatient Rehabilitation Services,ISOTONER THERAPEUTIC GLOVE RS,270,$44.00,$33.00,$29.22,$36.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35.20,$36.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30.80,NA,NA,$33.00,NA,NA,NA,NA,NA,NA,NA,NA,$29.22,$35.20
Inpatient Rehabilitation Services,ISOTONER THERAPEUTIC GLOVE RXS,270,$50.00,$37.50,$33.20,$42.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40.00,$42.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35.00,NA,NA,$37.50,NA,NA,NA,NA,NA,NA,NA,NA,$33.20,$40.00
Inpatient Rehabilitation Services,ISOTONER THERAPEUTIC GLOVES LG,270,$16.00,$12.00,$10.62,$13.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12.80,$13.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11.20,NA,NA,$12.00,NA,NA,NA,NA,NA,NA,NA,NA,$10.62,$12.80
Inpatient Rehabilitation Services,ISOTONER THERAPEUTIC GLOVES M.,270,$16.00,$12.00,$10.62,$13.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12.80,$13.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11.20,NA,NA,$12.00,NA,NA,NA,NA,NA,NA,NA,NA,$10.62,$12.80
Inpatient Rehabilitation Services,ISOTONER THERAPEUTIC GLOVES SM,270,$16.00,$12.00,$10.62,$13.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12.80,$13.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11.20,NA,NA,$12.00,NA,NA,NA,NA,NA,NA,NA,NA,$10.62,$12.80
Inpatient Rehabilitation Services,ISOTONER THERAPEUTIC GLOVES XS,270,$18.00,$13.50,$11.95,$15.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14.40,$15.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12.60,NA,NA,$13.50,NA,NA,NA,NA,NA,NA,NA,NA,$11.95,$14.40
Inpatient Rehabilitation Services,IT STAYS ROLL ON 2 OZ. BOTTLE,270,$28.00,$21.00,$18.59,$23.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22.40,$23.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19.60,NA,NA,$21.00,NA,NA,NA,NA,NA,NA,NA,NA,$18.59,$22.40
Inpatient Rehabilitation Services,IV ADMIN SET 60DRP 2 NF PORTS,270,$12.00,$9.00,$7.97,$10.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$9.60,$10.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$8.40,NA,NA,$9.00,NA,NA,NA,NA,NA,NA,NA,NA,$7.97,$9.60
Inpatient Rehabilitation Services,IV CHECK VALVE NORMALLY CLOSED,270,$3.00,$2.25,$1.99,$2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.40,$2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.10,NA,NA,$2.25,NA,NA,NA,NA,NA,NA,NA,NA,$1.99,$2.40
Inpatient Rehabilitation Services,IV EXTENSION SETS: IV EXTENSIO,270,$5.00,$3.75,$3.32,$4.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$4.00,$4.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$3.50,NA,NA,$3.75,NA,NA,NA,NA,NA,NA,NA,NA,$3.32,$4.00
Inpatient Rehabilitation Services,IV SECUREMENT KIT W/SORBAVIEW,270,$8.00,$6.00,$5.31,$6.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$6.40,$6.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$5.60,NA,NA,$6.00,NA,NA,NA,NA,NA,NA,NA,NA,$5.31,$6.40
Inpatient Rehabilitation Services,IV START KIT LF STERILE W-CHLO,270,$3.00,$2.25,$1.99,$2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.40,$2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.10,NA,NA,$2.25,NA,NA,NA,NA,NA,NA,NA,NA,$1.99,$2.40
Inpatient Rehabilitation Services,IV START KIT LF W-TEGADERM CHL,270,$3.00,$2.25,$1.99,$2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.40,$2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.10,NA,NA,$2.25,NA,NA,NA,NA,NA,NA,NA,NA,$1.99,$2.40
Inpatient Rehabilitation Services,IV START KIT TEGADERM ALCOHOL,270,$3.00,$2.25,$1.99,$2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.40,$2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.10,NA,NA,$2.25,NA,NA,NA,NA,NA,NA,NA,NA,$1.99,$2.40
Inpatient Rehabilitation Services,IV START KIT W/CHG AND TEGADER,270,$3.00,$2.25,$1.99,$2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.40,$2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.10,NA,NA,$2.25,NA,NA,NA,NA,NA,NA,NA,NA,$1.99,$2.40
Inpatient Rehabilitation Services,IV START KIT WITH SECUREMENT D,270,$14.00,$10.50,$9.30,$11.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11.20,$11.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$9.80,NA,NA,$10.50,NA,NA,NA,NA,NA,NA,NA,NA,$9.30,$11.20
Inpatient Rehabilitation Services,IV START KITS W/CHLORAPREP CHG,270,$3.00,$2.25,$1.99,$2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.40,$2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.10,NA,NA,$2.25,NA,NA,NA,NA,NA,NA,NA,NA,$1.99,$2.40
Inpatient Rehabilitation Services,IV START KITS WITH CHLORAPREP,270,$4.00,$3.00,$2.66,$3.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$3.20,$3.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.80,NA,NA,$3.00,NA,NA,NA,NA,NA,NA,NA,NA,$2.66,$3.20
Inpatient Rehabilitation Services,IV STATLOCK SELECT MICRO 6IN M,270,$20.00,$15.00,$13.28,$16.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16.00,$16.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14.00,NA,NA,$15.00,NA,NA,NA,NA,NA,NA,NA,NA,$13.28,$16.00
Inpatient Rehabilitation Services,JACKFROST LARGE 4.5IN X 10.5IN,270,$12.00,$9.00,$7.97,$10.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$9.60,$10.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$8.40,NA,NA,$9.00,NA,NA,NA,NA,NA,NA,NA,NA,$7.97,$9.60
Inpatient Rehabilitation Services,JACKFROST SMALL 4.5INX7IN,270,$9.00,$6.75,$5.98,$7.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$7.20,$7.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$6.30,NA,NA,$6.75,NA,NA,NA,NA,NA,NA,NA,NA,$5.98,$7.20
Inpatient Rehabilitation Services,JAMAR DIGITAL PINCH GAUGE,270,$648.00,$486.00,$430.27,$544.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$518.40,$544.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$453.60,NA,NA,$486.00,NA,NA,NA,NA,NA,NA,NA,NA,$430.27,$518.40
Inpatient Rehabilitation Services,JAMAR EZ READ GONIOMETER MEASU,270,$132.00,$99.00,$87.65,$110.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$105.60,$110.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$92.40,NA,NA,$99.00,NA,NA,NA,NA,NA,NA,NA,NA,$87.65,$105.60
Inpatient Rehabilitation Services,JAMAR HANDS ON - HAND EVALUATI,270,$1748.00,$1311.00,$1160.67,$1468.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1398.40,$1468.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1223.60,NA,NA,$1311.00,NA,NA,NA,NA,NA,NA,NA,NA,$1160.67,$1398.40
Inpatient Rehabilitation Services,JAMAR HYDRAULIC HAND EVALUATIO,270,$645.00,$483.75,$428.28,$541.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$516.00,$541.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$451.50,NA,NA,$483.75,NA,NA,NA,NA,NA,NA,NA,NA,$428.28,$516.00
Inpatient Rehabilitation Services,JAMAR PLUS DIGITAL DYNAMOMETER,270,$946.00,$709.50,$628.14,$794.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$756.80,$794.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$662.20,NA,NA,$709.50,NA,NA,NA,NA,NA,NA,NA,NA,$628.14,$756.80
Inpatient Rehabilitation Services,JAMAR PLUS HAND EVALUATION KIT,270,$1422.00,$1066.50,$944.21,$1194.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1137.60,$1194.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$995.40,NA,NA,$1066.50,NA,NA,NA,NA,NA,NA,NA,NA,$944.21,$1137.60
Inpatient Rehabilitation Services,JAMAR RETRACTABLE MONOFILAMENT,270,$1092.00,$819.00,$725.09,$917.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$873.60,$917.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$764.40,NA,NA,$819.00,NA,NA,NA,NA,NA,NA,NA,NA,$725.09,$873.60
Inpatient Rehabilitation Services,JAMAR STEEL 7IN ROBINSON GONIO,270,$37.00,$27.75,$24.57,$31.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29.60,$31.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25.90,NA,NA,$27.75,NA,NA,NA,NA,NA,NA,NA,NA,$24.57,$29.60
Inpatient Rehabilitation Services,JAMAR STEEL SMALL JOINT 6IN GO,270,$69.00,$51.75,$45.82,$57.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$55.20,$57.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48.30,NA,NA,$51.75,NA,NA,NA,NA,NA,NA,NA,NA,$45.82,$55.20
Inpatient Rehabilitation Services,JAY J2 DEEP CONTOUR 18X18 W/IN,270,$984.00,$738.00,$653.38,$826.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$787.20,$826.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$688.80,NA,NA,$738.00,NA,NA,NA,NA,NA,NA,NA,NA,$653.38,$787.20
Inpatient Rehabilitation Services,JAY-J2 CUSHION 18X16,270,$1156.00,$867.00,$767.58,$971.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$924.80,$971.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$809.20,NA,NA,$867.00,NA,NA,NA,NA,NA,NA,NA,NA,$767.58,$924.80
Inpatient Rehabilitation Services,J-LAT SUBLUXATION SUP LEFT 2X,270,$84.00,$63.00,$55.78,$70.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$67.20,$70.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$58.80,NA,NA,$63.00,NA,NA,NA,NA,NA,NA,NA,NA,$55.78,$67.20
Inpatient Rehabilitation Services,J-LAT SUBLUXATION SUP LEFT LG,270,$87.00,$65.25,$57.77,$73.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69.60,$73.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60.90,NA,NA,$65.25,NA,NA,NA,NA,NA,NA,NA,NA,$57.77,$69.60
Inpatient Rehabilitation Services,J-LAT SUBLUXATION SUP LEFT MED,270,$84.00,$63.00,$55.78,$70.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$67.20,$70.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$58.80,NA,NA,$63.00,NA,NA,NA,NA,NA,NA,NA,NA,$55.78,$67.20
Inpatient Rehabilitation Services,J-LAT SUBLUXATION SUP RGHT MED,270,$84.00,$63.00,$55.78,$70.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$67.20,$70.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$58.80,NA,NA,$63.00,NA,NA,NA,NA,NA,NA,NA,NA,$55.78,$67.20
Inpatient Rehabilitation Services,J-LAT SUBLUXATION SUP RIGHT 2X,270,$84.00,$63.00,$55.78,$70.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$67.20,$70.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$58.80,NA,NA,$63.00,NA,NA,NA,NA,NA,NA,NA,NA,$55.78,$67.20
Inpatient Rehabilitation Services,J-LAT SUBLUXATION SUP RIGHT LG,270,$84.00,$63.00,$55.78,$70.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$67.20,$70.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$58.80,NA,NA,$63.00,NA,NA,NA,NA,NA,NA,NA,NA,$55.78,$67.20
Inpatient Rehabilitation Services,JOBST FOR MEN KNEE HI 8-15MMHG,270,$58.00,$43.50,$38.51,$48.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46.40,$48.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40.60,NA,NA,$43.50,NA,NA,NA,NA,NA,NA,NA,NA,$38.51,$46.40
Inpatient Rehabilitation Services,JOBST SPORT SOCK LG. DARK GRAY,270,$115.00,$86.25,$76.36,$96.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$92.00,$96.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$80.50,NA,NA,$86.25,NA,NA,NA,NA,NA,NA,NA,NA,$76.36,$92.00
Inpatient Rehabilitation Services,JOBST SPORT SOCK MED. WHT. 20-,270,$100.00,$75.00,$66.40,$84.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$80.00,$84.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$70.00,NA,NA,$75.00,NA,NA,NA,NA,NA,NA,NA,NA,$66.40,$80.00
Inpatient Rehabilitation Services,JOBST SPORT SOCK XL. DARK GREY,270,$115.00,$86.25,$76.36,$96.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$92.00,$96.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$80.50,NA,NA,$86.25,NA,NA,NA,NA,NA,NA,NA,NA,$76.36,$92.00
Inpatient Rehabilitation Services,JOBST STOCKING DONNING GLOVES,270,$9.00,$6.75,$5.98,$7.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$7.20,$7.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$6.30,NA,NA,$6.75,NA,NA,NA,NA,NA,NA,NA,NA,$5.98,$7.20
Inpatient Rehabilitation Services,JOINT CINCH STRAP,270,$15.00,$11.25,$9.96,$12.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12.00,$12.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$10.50,NA,NA,$11.25,NA,NA,NA,NA,NA,NA,NA,NA,$9.96,$12.00
Inpatient Rehabilitation Services,JOSLIN ER SLING ADULT,270,$14.00,$10.50,$9.30,$11.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11.20,$11.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$9.80,NA,NA,$10.50,NA,NA,NA,NA,NA,NA,NA,NA,$9.30,$11.20
Inpatient Rehabilitation Services,JOSLIN SWATHE GOLIATH,270,$103.00,$77.25,$68.39,$86.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$82.40,$86.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$72.10,NA,NA,$77.25,NA,NA,NA,NA,NA,NA,NA,NA,$68.39,$82.40
Inpatient Rehabilitation Services,KABOOTI DONUT CUSHION BLUE,270,$85.00,$63.75,$56.44,$71.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$68.00,$71.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$59.50,NA,NA,$63.75,NA,NA,NA,NA,NA,NA,NA,NA,$56.44,$68.00
Inpatient Rehabilitation Services,KANGAROO EPUMP ENTERAL FEEDING,270,$851.00,$638.25,$565.06,$714.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$680.80,$714.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$595.70,NA,NA,$638.25,NA,NA,NA,NA,NA,NA,NA,NA,$565.06,$680.80
Inpatient Rehabilitation Services,KAWE COMBILIGHT OTOSCOPE KIT,270,$816.00,$612.00,$541.82,$685.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$652.80,$685.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$571.20,NA,NA,$612.00,NA,NA,NA,NA,NA,NA,NA,NA,$541.82,$652.80
Inpatient Rehabilitation Services,KAY SPLNT II 1/8X18X24 SOLID 4,270,$113.00,$84.75,$75.03,$94.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$90.40,$94.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$79.10,NA,NA,$84.75,NA,NA,NA,NA,NA,NA,NA,NA,$75.03,$90.40
Inpatient Rehabilitation Services,KAYSPLINT III 1/8INX18X24IN 1%,270,$239.00,$179.25,$158.70,$200.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$191.20,$200.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$167.30,NA,NA,$179.25,NA,NA,NA,NA,NA,NA,NA,NA,$158.70,$191.20
Inpatient Rehabilitation Services,KCI ULTAVAC,270,$193.00,$144.75,$128.15,$162.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$154.40,$162.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$135.10,NA,NA,$144.75,NA,NA,NA,NA,NA,NA,NA,NA,$128.15,$154.40
Inpatient Rehabilitation Services,KERLIX ROLL STERILE 12/RL 2.25,270,$3.00,$2.25,$1.99,$2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.40,$2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.10,NA,NA,$2.25,NA,NA,NA,NA,NA,NA,NA,NA,$1.99,$2.40
Inpatient Rehabilitation Services,KERLIX ROLL STERILE 3.4IN 96RL,270,$4.00,$3.00,$2.66,$3.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$3.20,$3.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2.80,NA,NA,$3.00,NA,NA,NA,NA,NA,NA,NA,NA,$2.66,$3.20
Inpatient Rehabilitation Services,KERLIX ROLL STERILE 4 1/2IN 10,270,$7.00,$5.25,$4.65,$5.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$5.60,$5.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$4.90,NA,NA,$5.25,NA,NA,NA,NA,NA,NA,NA,NA,$4.65,$5.60
Inpatient Rehabilitation Services,KINESIO CLASSIC BEIGE 2INX13FT,270,$32.00,$24.00,$21.25,$26.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25.60,$26.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22.40,NA,NA,$24.00,NA,NA,NA,NA,NA,NA,NA,NA,$21.25,$25.60
Inpatient Rehabilitation Services,KINESIO CLASSIC BLACK 2INX13FT,270,$32.00,$24.00,$21.25,$26.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25.60,$26.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22.40,NA,NA,$24.00,NA,NA,NA,NA,NA,NA,NA,NA,$21.25,$25.60
Inpatient Rehabilitation Services,KINESIO CLASSIC BLUE 2INX13FT,270,$32.00,$24.00,$21.25,$26.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25.60,$26.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22.40,NA,NA,$24.00,NA,NA,NA,NA,NA,NA,NA,NA,$21.25,$25.60
