Encompass Health Rehabilitation Hospital of Dothan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,BC FEP (BCFD) negotiated charge,BC/BS ALABAMA (BCAL) negotiated charge,BCBS AL BLUE ADVANTAGE (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HLTHCARE MEDICARE (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-C,NA,NA,$12803.27,$15498.70,NA,NA,NA,NA,NA,$12803.27,NA,NA,NA,$13477.13,NA,NA,$13477.13,NA,$15498.70,$13477.13,$13477.13,$13477.13,NA,$12803.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-D,NA,NA,$12087.51,$14632.24,NA,NA,NA,NA,NA,$12087.51,NA,NA,NA,$12723.69,NA,NA,$12723.69,NA,$14632.24,$12723.69,$12723.69,$12723.69,NA,$12087.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-A,NA,NA,$13872.52,$16793.05,NA,NA,NA,NA,NA,$13872.52,NA,NA,NA,$14602.65,NA,NA,$14602.65,NA,$16793.05,$14602.65,$14602.65,$14602.65,NA,$13872.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-B,NA,NA,$20470.39,$24779.95,NA,NA,NA,NA,NA,$20470.39,NA,NA,NA,$21547.78,NA,NA,$21547.78,NA,$24779.95,$21547.78,$21547.78,$21547.78,NA,$20470.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-C,NA,NA,$15907.86,$19256.88,NA,NA,NA,NA,NA,$15907.86,NA,NA,NA,$16745.11,NA,NA,$16745.11,NA,$19256.88,$16745.11,$16745.11,$16745.11,NA,$15907.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-D,NA,NA,$15018.50,$18180.28,NA,NA,NA,NA,NA,$15018.50,NA,NA,NA,$15808.94,NA,NA,$15808.94,NA,$18180.28,$15808.94,$15808.94,$15808.94,NA,$15018.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-A,NA,NA,$16110.38,$19502.04,NA,NA,NA,NA,NA,$16110.38,NA,NA,NA,$16958.30,NA,NA,$16958.30,NA,$19502.04,$16958.30,$16958.30,$16958.30,NA,$16110.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-B,NA,NA,$23773.73,$28778.73,NA,NA,NA,NA,NA,$23773.73,NA,NA,NA,$25024.98,NA,NA,$25024.98,NA,$28778.73,$25024.98,$25024.98,$25024.98,NA,$23773.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-C,NA,NA,$18475.30,$22364.84,NA,NA,NA,NA,NA,$18475.30,NA,NA,NA,$19447.69,NA,NA,$19447.69,NA,$22364.84,$19447.69,$19447.69,$19447.69,NA,$18475.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-D,NA,NA,$17442.54,$21114.65,NA,NA,NA,NA,NA,$17442.54,NA,NA,NA,$18360.57,NA,NA,$18360.57,NA,$21114.65,$18360.57,$18360.57,$18360.57,NA,$17442.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-A,NA,NA,$19186.04,$23225.20,NA,NA,NA,NA,NA,$19186.04,NA,NA,NA,$20195.83,NA,NA,$20195.83,NA,$23225.20,$20195.83,$20195.83,$20195.83,NA,$19186.04,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-B,NA,NA,$28311.10,$34271.34,NA,NA,NA,NA,NA,$28311.10,NA,NA,NA,$29801.16,NA,NA,$29801.16,NA,$34271.34,$29801.16,$29801.16,$29801.16,NA,$28311.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-C,NA,NA,$22002.56,$26634.67,NA,NA,NA,NA,NA,$22002.56,NA,NA,NA,$23160.59,NA,NA,$23160.59,NA,$26634.67,$23160.59,$23160.59,$23160.59,NA,$22002.56,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-D,NA,NA,$20772.29,$25145.41,NA,NA,NA,NA,NA,$20772.29,NA,NA,NA,$21865.57,NA,NA,$21865.57,NA,$25145.41,$21865.57,$21865.57,$21865.57,NA,$20772.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-A,NA,NA,$25031.67,$30301.49,NA,NA,NA,NA,NA,$25031.67,NA,NA,NA,$26349.12,NA,NA,$26349.12,NA,$30301.49,$26349.12,$26349.12,$26349.12,NA,$25031.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-B,NA,NA,$36935.51,$44711.41,NA,NA,NA,NA,NA,$36935.51,NA,NA,NA,$38879.49,NA,NA,$38879.49,NA,$44711.41,$38879.49,$38879.49,$38879.49,NA,$36935.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-C,NA,NA,$28704.84,$34747.96,NA,NA,NA,NA,NA,$28704.84,NA,NA,NA,$30215.62,NA,NA,$30215.62,NA,$34747.96,$30215.62,$30215.62,$30215.62,NA,$28704.84,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-D,NA,NA,$27099.71,$32804.91,NA,NA,NA,NA,NA,$27099.71,NA,NA,NA,$28526.01,NA,NA,$28526.01,NA,$32804.91,$28526.01,$28526.01,$28526.01,NA,$27099.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-A,NA,NA,$11032.10,$13354.64,NA,NA,NA,NA,NA,$11032.10,NA,NA,NA,$11612.73,NA,NA,$11612.73,NA,$13354.64,$11612.73,$11612.73,$11612.73,NA,$11032.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-B,NA,NA,$17199.76,$20820.76,NA,NA,NA,NA,NA,$17199.76,NA,NA,NA,$18105.01,NA,NA,$18105.01,NA,$20820.76,$18105.01,$18105.01,$18105.01,NA,$17199.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-C,NA,NA,$12947.93,$15673.81,NA,NA,NA,NA,NA,$12947.93,NA,NA,NA,$13629.40,NA,NA,$13629.40,NA,$15673.81,$13629.40,$13629.40,$13629.40,NA,$12947.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-D,NA,NA,$12137.82,$14693.15,NA,NA,NA,NA,NA,$12137.82,NA,NA,NA,$12776.66,NA,NA,$12776.66,NA,$14693.15,$12776.66,$12776.66,$12776.66,NA,$12137.82,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-A,NA,NA,$13730.37,$16620.97,NA,NA,NA,NA,NA,$13730.37,NA,NA,NA,$14453.02,NA,NA,$14453.02,NA,$16620.97,$14453.02,$14453.02,$14453.02,NA,$13730.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-B,NA,NA,$21405.04,$25911.36,NA,NA,NA,NA,NA,$21405.04,NA,NA,NA,$22531.62,NA,NA,$22531.62,NA,$25911.36,$22531.62,$22531.62,$22531.62,NA,$21405.04,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-C,NA,NA,$16112.90,$19505.09,NA,NA,NA,NA,NA,$16112.90,NA,NA,NA,$16960.95,NA,NA,$16960.95,NA,$19505.09,$16960.95,$16960.95,$16960.95,NA,$16112.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-D,NA,NA,$15105.29,$18285.36,NA,NA,NA,NA,NA,$15105.29,NA,NA,NA,$15900.31,NA,NA,$15900.31,NA,$18285.36,$15900.31,$15900.31,$15900.31,NA,$15105.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-A,NA,NA,$16309.14,$19742.64,NA,NA,NA,NA,NA,$16309.14,NA,NA,NA,$17167.51,NA,NA,$17167.51,NA,$19742.64,$17167.51,$17167.51,$17167.51,NA,$16309.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-B,NA,NA,$25427.92,$30781.16,NA,NA,NA,NA,NA,$25427.92,NA,NA,NA,$26766.23,NA,NA,$26766.23,NA,$30781.16,$26766.23,$26766.23,$26766.23,NA,$25427.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-C,NA,NA,$19140.75,$23170.38,NA,NA,NA,NA,NA,$19140.75,NA,NA,NA,$20148.16,NA,NA,$20148.16,NA,$23170.38,$20148.16,$20148.16,$20148.16,NA,$19140.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-D,NA,NA,$17943.20,$21720.71,NA,NA,NA,NA,NA,$17943.20,NA,NA,NA,$18887.58,NA,NA,$18887.58,NA,$21720.71,$18887.58,$18887.58,$18887.58,NA,$17943.20,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-A,NA,NA,$18925.64,$22909.99,NA,NA,NA,NA,NA,$18925.64,NA,NA,NA,$19921.73,NA,NA,$19921.73,NA,$22909.99,$19921.73,$19921.73,$19921.73,NA,$18925.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-B,NA,NA,$29506.14,$35717.96,NA,NA,NA,NA,NA,$29506.14,NA,NA,NA,$31059.10,NA,NA,$31059.10,NA,$35717.96,$31059.10,$31059.10,$31059.10,NA,$29506.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-C,NA,NA,$22211.37,$26887.45,NA,NA,NA,NA,NA,$22211.37,NA,NA,NA,$23380.39,NA,NA,$23380.39,NA,$26887.45,$23380.39,$23380.39,$23380.39,NA,$22211.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-D,NA,NA,$20821.35,$25204.80,NA,NA,NA,NA,NA,$20821.35,NA,NA,NA,$21917.21,NA,NA,$21917.21,NA,$25204.80,$21917.21,$21917.21,$21917.21,NA,$20821.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-A,NA,NA,$11083.67,$13417.08,NA,NA,NA,NA,NA,$11083.67,NA,NA,NA,$11667.02,NA,NA,$11667.02,NA,$13417.08,$11667.02,$11667.02,$11667.02,NA,$11083.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-B,NA,NA,$15690.23,$18993.44,NA,NA,NA,NA,NA,$15690.23,NA,NA,NA,$16516.04,NA,NA,$16516.04,NA,$18993.44,$16516.04,$16516.04,$16516.04,NA,$15690.23,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-C,NA,NA,$12724.02,$15402.76,NA,NA,NA,NA,NA,$12724.02,NA,NA,NA,$13393.71,NA,NA,$13393.71,NA,$15402.76,$13393.71,$13393.71,$13393.71,NA,$12724.02,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-D,NA,NA,$12057.32,$14595.70,NA,NA,NA,NA,NA,$12057.32,NA,NA,NA,$12691.91,NA,NA,$12691.91,NA,$14595.70,$12691.91,$12691.91,$12691.91,NA,$12057.32,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-A,NA,NA,$13857.42,$16774.77,NA,NA,NA,NA,NA,$13857.42,NA,NA,NA,$14586.76,NA,NA,$14586.76,NA,$16774.77,$14586.76,$14586.76,$14586.76,NA,$13857.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-B,NA,NA,$19617.51,$23747.51,NA,NA,NA,NA,NA,$19617.51,NA,NA,NA,$20650.01,NA,NA,$20650.01,NA,$23747.51,$20650.01,$20650.01,$20650.01,NA,$19617.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-C,NA,NA,$15909.11,$19258.40,NA,NA,NA,NA,NA,$15909.11,NA,NA,NA,$16746.44,NA,NA,$16746.44,NA,$19258.40,$16746.44,$16746.44,$16746.44,NA,$15909.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-D,NA,NA,$15076.36,$18250.33,NA,NA,NA,NA,NA,$15076.36,NA,NA,NA,$15869.85,NA,NA,$15869.85,NA,$18250.33,$15869.85,$15869.85,$15869.85,NA,$15076.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-A,NA,NA,$16843.76,$20389.82,NA,NA,NA,NA,NA,$16843.76,NA,NA,NA,$17730.27,NA,NA,$17730.27,NA,$20389.82,$17730.27,$17730.27,$17730.27,NA,$16843.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-B,NA,NA,$23845.43,$28865.52,NA,NA,NA,NA,NA,$23845.43,NA,NA,NA,$25100.45,NA,NA,$25100.45,NA,$28865.52,$25100.45,$25100.45,$25100.45,NA,$23845.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-C,NA,NA,$19338.25,$23409.46,NA,NA,NA,NA,NA,$19338.25,NA,NA,NA,$20356.05,NA,NA,$20356.05,NA,$23409.46,$20356.05,$20356.05,$20356.05,NA,$19338.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-D,NA,NA,$18325.61,$22183.63,NA,NA,NA,NA,NA,$18325.61,NA,NA,NA,$19290.12,NA,NA,$19290.12,NA,$22183.63,$19290.12,$19290.12,$19290.12,NA,$18325.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-A,NA,NA,$19246.42,$23298.30,NA,NA,NA,NA,NA,$19246.42,NA,NA,NA,$20259.39,NA,NA,$20259.39,NA,$23298.30,$20259.39,$20259.39,$20259.39,NA,$19246.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-B,NA,NA,$27246.89,$32983.08,NA,NA,NA,NA,NA,$27246.89,NA,NA,NA,$28680.94,NA,NA,$28680.94,NA,$32983.08,$28680.94,$28680.94,$28680.94,NA,$27246.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-C,NA,NA,$22096.90,$26748.88,NA,NA,NA,NA,NA,$22096.90,NA,NA,NA,$23259.90,NA,NA,$23259.90,NA,$26748.88,$23259.90,$23259.90,$23259.90,NA,$22096.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-D,NA,NA,$20939.60,$25347.94,NA,NA,NA,NA,NA,$20939.60,NA,NA,NA,$22041.68,NA,NA,$22041.68,NA,$25347.94,$22041.68,$22041.68,$22041.68,NA,$20939.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-A,NA,NA,$9515.03,$11518.19,NA,NA,NA,NA,NA,$9515.03,NA,NA,NA,$10015.82,NA,NA,$10015.82,NA,$11518.19,$10015.82,$10015.82,$10015.82,NA,$9515.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-B,NA,NA,$14174.42,$17158.51,NA,NA,NA,NA,NA,$14174.42,NA,NA,NA,$14920.44,NA,NA,$14920.44,NA,$17158.51,$14920.44,$14920.44,$14920.44,NA,$14174.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-C,NA,NA,$11406.96,$13808.43,NA,NA,NA,NA,NA,$11406.96,NA,NA,NA,$12007.33,NA,NA,$12007.33,NA,$13808.43,$12007.33,$12007.33,$12007.33,NA,$11406.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-D,NA,NA,$10215.70,$12366.37,NA,NA,NA,NA,NA,$10215.70,NA,NA,NA,$10753.37,NA,NA,$10753.37,NA,$12366.37,$10753.37,$10753.37,$10753.37,NA,$10215.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-A,NA,NA,$11186.82,$13541.94,NA,NA,NA,NA,NA,$11186.82,NA,NA,NA,$11775.60,NA,NA,$11775.60,NA,$13541.94,$11775.60,$11775.60,$11775.60,NA,$11186.82,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-B,NA,NA,$16665.13,$20173.58,NA,NA,NA,NA,NA,$16665.13,NA,NA,NA,$17542.25,NA,NA,$17542.25,NA,$20173.58,$17542.25,$17542.25,$17542.25,NA,$16665.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-C,NA,NA,$13410.85,$16234.19,NA,NA,NA,NA,NA,$13410.85,NA,NA,NA,$14116.69,NA,NA,$14116.69,NA,$16234.19,$14116.69,$14116.69,$14116.69,NA,$13410.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-D,NA,NA,$12010.77,$14539.35,NA,NA,NA,NA,NA,$12010.77,NA,NA,NA,$12642.92,NA,NA,$12642.92,NA,$14539.35,$12642.92,$12642.92,$12642.92,NA,$12010.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-A,NA,NA,$12496.33,$15127.14,NA,NA,NA,NA,NA,$12496.33,NA,NA,NA,$13154.04,NA,NA,$13154.04,NA,$15127.14,$13154.04,$13154.04,$13154.04,NA,$12496.33,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-B,NA,NA,$18616.19,$22535.39,NA,NA,NA,NA,NA,$18616.19,NA,NA,NA,$19595.99,NA,NA,$19595.99,NA,$22535.39,$19595.99,$19595.99,$19595.99,NA,$18616.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-C,NA,NA,$14980.76,$18134.60,NA,NA,NA,NA,NA,$14980.76,NA,NA,NA,$15769.22,NA,NA,$15769.22,NA,$18134.60,$15769.22,$15769.22,$15769.22,NA,$14980.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-D,NA,NA,$13417.14,$16241.81,NA,NA,NA,NA,NA,$13417.14,NA,NA,NA,$14123.31,NA,NA,$14123.31,NA,$16241.81,$14123.31,$14123.31,$14123.31,NA,$13417.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-A,NA,NA,$14402.11,$17434.13,NA,NA,NA,NA,NA,$14402.11,NA,NA,NA,$15160.11,NA,NA,$15160.11,NA,$17434.13,$15160.11,$15160.11,$15160.11,NA,$14402.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-B,NA,NA,$21455.35,$25972.27,NA,NA,NA,NA,NA,$21455.35,NA,NA,NA,$22584.58,NA,NA,$22584.58,NA,$25972.27,$22584.58,$22584.58,$22584.58,NA,$21455.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-C,NA,NA,$17266.43,$20901.46,NA,NA,NA,NA,NA,$17266.43,NA,NA,NA,$18175.19,NA,NA,$18175.19,NA,$20901.46,$18175.19,$18175.19,$18175.19,NA,$17266.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-D,NA,NA,$15463.81,$18719.34,NA,NA,NA,NA,NA,$15463.81,NA,NA,NA,$16277.69,NA,NA,$16277.69,NA,$18719.34,$16277.69,$16277.69,$16277.69,NA,$15463.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-A,NA,NA,$16782.12,$20315.20,NA,NA,NA,NA,NA,$16782.12,NA,NA,NA,$17665.39,NA,NA,$17665.39,NA,$20315.20,$17665.39,$17665.39,$17665.39,NA,$16782.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-B,NA,NA,$25000.22,$30263.42,NA,NA,NA,NA,NA,$25000.22,NA,NA,NA,$26316.02,NA,NA,$26316.02,NA,$30263.42,$26316.02,$26316.02,$26316.02,NA,$25000.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-C,NA,NA,$20119.43,$24355.09,NA,NA,NA,NA,NA,$20119.43,NA,NA,NA,$21178.34,NA,NA,$21178.34,NA,$24355.09,$21178.34,$21178.34,$21178.34,NA,$20119.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-D,NA,NA,$18018.67,$21812.08,NA,NA,NA,NA,NA,$18018.67,NA,NA,NA,$18967.02,NA,NA,$18967.02,NA,$21812.08,$18967.02,$18967.02,$18967.02,NA,$18018.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-A,NA,NA,$10406.90,$12597.83,NA,NA,NA,NA,NA,$10406.90,NA,NA,NA,$10954.64,NA,NA,$10954.64,NA,$12597.83,$10954.64,$10954.64,$10954.64,NA,$10406.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-B,NA,NA,$15234.86,$18442.20,NA,NA,NA,NA,NA,$15234.86,NA,NA,NA,$16036.70,NA,NA,$16036.70,NA,$18442.20,$16036.70,$16036.70,$16036.70,NA,$15234.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-C,NA,NA,$12140.34,$14696.20,NA,NA,NA,NA,NA,$12140.34,NA,NA,NA,$12779.30,NA,NA,$12779.30,NA,$14696.20,$12779.30,$12779.30,$12779.30,NA,$12140.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-D,NA,NA,$11488.73,$13907.41,NA,NA,NA,NA,NA,$11488.73,NA,NA,NA,$12093.40,NA,NA,$12093.40,NA,$13907.41,$12093.40,$12093.40,$12093.40,NA,$11488.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-A,NA,NA,$12958.00,$15686.00,NA,NA,NA,NA,NA,$12958.00,NA,NA,NA,$13640.00,NA,NA,$13640.00,NA,$15686.00,$13640.00,$13640.00,$13640.00,NA,$12958.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-B,NA,NA,$18967.16,$22960.24,NA,NA,NA,NA,NA,$18967.16,NA,NA,NA,$19965.43,NA,NA,$19965.43,NA,$22960.24,$19965.43,$19965.43,$19965.43,NA,$18967.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-C,NA,NA,$15114.10,$18296.01,NA,NA,NA,NA,NA,$15114.10,NA,NA,NA,$15909.58,NA,NA,$15909.58,NA,$18296.01,$15909.58,$15909.58,$15909.58,NA,$15114.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-D,NA,NA,$14303.99,$17315.35,NA,NA,NA,NA,NA,$14303.99,NA,NA,NA,$15056.83,NA,NA,$15056.83,NA,$17315.35,$15056.83,$15056.83,$15056.83,NA,$14303.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-A,NA,NA,$15248.70,$18458.95,NA,NA,NA,NA,NA,$15248.70,NA,NA,NA,$16051.26,NA,NA,$16051.26,NA,$18458.95,$16051.26,$16051.26,$16051.26,NA,$15248.70,NA,NA,NA,NA
