Encompass Health Rehabilitation Hospital of Gadsden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,BC FEP (BCFD) negotiated charge,BC/BS ALABAMA (BCAL) negotiated charge,BCBS AL MEDICARE ADVANTAG (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HLTHCARE MEDICARE (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-B,NA,NA,$50784.77,$61476.31,NA,NA,NA,NA,NA,$51853.93,NA,NA,NA,$53457.66,NA,$53457.66,NA,$53457.66,NA,$61476.31,$53457.66,$53457.66,$53457.66,NA,$50784.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-C,NA,NA,$43093.48,$52165.80,NA,NA,NA,NA,NA,$44000.71,NA,NA,NA,$45361.56,NA,$45361.56,NA,$45361.56,NA,$52165.80,$45361.56,$45361.56,$45361.56,NA,$43093.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-D,NA,NA,$38819.99,$46992.63,NA,NA,NA,NA,NA,$39637.26,NA,NA,NA,$40863.15,NA,$40863.15,NA,$40863.15,NA,$46992.63,$40863.15,$40863.15,$40863.15,NA,$38819.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-A,NA,NA,$10974.31,$13284.69,NA,NA,NA,NA,NA,$11205.35,NA,NA,NA,$11551.90,NA,$11551.90,NA,$11551.90,NA,$13284.69,$11551.90,$11551.90,$11551.90,NA,$10974.31,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-B,NA,NA,$16194.99,$19604.46,NA,NA,NA,NA,NA,$16535.94,NA,NA,NA,$17047.36,NA,$17047.36,NA,$17047.36,NA,$19604.46,$17047.36,$17047.36,$17047.36,NA,$16194.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-C,NA,NA,$12585.52,$15235.11,NA,NA,NA,NA,NA,$12850.48,NA,NA,NA,$13247.92,NA,$13247.92,NA,$13247.92,NA,$15235.11,$13247.92,$13247.92,$13247.92,NA,$12585.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-D,NA,NA,$11881.93,$14383.39,NA,NA,NA,NA,NA,$12132.08,NA,NA,NA,$12507.30,NA,$12507.30,NA,$12507.30,NA,$14383.39,$12507.30,$12507.30,$12507.30,NA,$11881.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-A,NA,NA,$13636.58,$16507.44,NA,NA,NA,NA,NA,$13923.67,NA,NA,NA,$14354.30,NA,$14354.30,NA,$14354.30,NA,$16507.44,$14354.30,$14354.30,$14354.30,NA,$13636.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-B,NA,NA,$20122.25,$24358.51,NA,NA,NA,NA,NA,$20545.87,NA,NA,NA,$21181.31,NA,$21181.31,NA,$21181.31,NA,$24358.51,$21181.31,$21181.31,$21181.31,NA,$20122.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-C,NA,NA,$15637.31,$18929.37,NA,NA,NA,NA,NA,$15966.51,NA,NA,NA,$16460.32,NA,$16460.32,NA,$16460.32,NA,$18929.37,$16460.32,$16460.32,$16460.32,NA,$15637.31,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-D,NA,NA,$14763.07,$17871.09,NA,NA,NA,NA,NA,$15073.87,NA,NA,NA,$15540.08,NA,$15540.08,NA,$15540.08,NA,$17871.09,$15540.08,$15540.08,$15540.08,NA,$14763.07,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-A,NA,NA,$15836.39,$19170.37,NA,NA,NA,NA,NA,$16169.79,NA,NA,NA,$16669.89,NA,$16669.89,NA,$16669.89,NA,$19170.37,$16669.89,$16669.89,$16669.89,NA,$15836.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-B,NA,NA,$23369.40,$28289.28,NA,NA,NA,NA,NA,$23861.39,NA,NA,NA,$24599.37,NA,$24599.37,NA,$24599.37,NA,$28289.28,$24599.37,$24599.37,$24599.37,NA,$23369.40,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-C,NA,NA,$18161.09,$21984.48,NA,NA,NA,NA,NA,$18543.43,NA,NA,NA,$19116.94,NA,$19116.94,NA,$19116.94,NA,$21984.48,$19116.94,$19116.94,$19116.94,NA,$18161.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-D,NA,NA,$17145.89,$20755.55,NA,NA,NA,NA,NA,$17506.86,NA,NA,NA,$18048.30,NA,$18048.30,NA,$18048.30,NA,$20755.55,$18048.30,$18048.30,$18048.30,NA,$17145.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-A,NA,NA,$18859.74,$22830.21,NA,NA,NA,NA,NA,$19256.78,NA,NA,NA,$19852.35,NA,$19852.35,NA,$19852.35,NA,$22830.21,$19852.35,$19852.35,$19852.35,NA,$18859.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-B,NA,NA,$27829.61,$33688.48,NA,NA,NA,NA,NA,$28415.50,NA,NA,NA,$29294.33,NA,$29294.33,NA,$29294.33,NA,$33688.48,$29294.33,$29294.33,$29294.33,NA,$27829.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-C,NA,NA,$21628.35,$26181.69,NA,NA,NA,NA,NA,$22083.69,NA,NA,NA,$22766.69,NA,$22766.69,NA,$22766.69,NA,$26181.69,$22766.69,$22766.69,$22766.69,NA,$21628.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-D,NA,NA,$20419.02,$24717.76,NA,NA,NA,NA,NA,$20848.89,NA,NA,NA,$21493.70,NA,$21493.70,NA,$21493.70,NA,$24717.76,$21493.70,$21493.70,$21493.70,NA,$20419.02,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-A,NA,NA,$24605.95,$29786.15,NA,NA,NA,NA,NA,$25123.97,NA,NA,NA,$25901.00,NA,$25901.00,NA,$25901.00,NA,$29786.15,$25901.00,$25901.00,$25901.00,NA,$24605.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-B,NA,NA,$36307.34,$43950.99,NA,NA,NA,NA,NA,$37071.71,NA,NA,NA,$38218.25,NA,$38218.25,NA,$38218.25,NA,$43950.99,$38218.25,$38218.25,$38218.25,NA,$36307.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-C,NA,NA,$28216.65,$34157.00,NA,NA,NA,NA,NA,$28810.68,NA,NA,NA,$29701.74,NA,$29701.74,NA,$29701.74,NA,$34157.00,$29701.74,$29701.74,$29701.74,NA,$28216.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-D,NA,NA,$26638.82,$32246.99,NA,NA,NA,NA,NA,$27199.64,NA,NA,NA,$28040.86,NA,$28040.86,NA,$28040.86,NA,$32246.99,$28040.86,$28040.86,$28040.86,NA,$26638.82,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-A,NA,NA,$10844.47,$13127.52,NA,NA,NA,NA,NA,$11072.78,NA,NA,NA,$11415.23,NA,$11415.23,NA,$11415.23,NA,$13127.52,$11415.23,$11415.23,$11415.23,NA,$10844.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-B,NA,NA,$16907.24,$20466.65,NA,NA,NA,NA,NA,$17263.18,NA,NA,NA,$17797.09,NA,$17797.09,NA,$17797.09,NA,$20466.65,$17797.09,$17797.09,$17797.09,NA,$16907.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-C,NA,NA,$12727.73,$15407.25,NA,NA,NA,NA,NA,$12995.68,NA,NA,NA,$13397.61,NA,$13397.61,NA,$13397.61,NA,$15407.25,$13397.61,$13397.61,$13397.61,NA,$12727.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-D,NA,NA,$11931.39,$14443.26,NA,NA,NA,NA,NA,$12182.58,NA,NA,NA,$12559.36,NA,$12559.36,NA,$12559.36,NA,$14443.26,$12559.36,$12559.36,$12559.36,NA,$11931.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-A,NA,NA,$13496.85,$16338.30,NA,NA,NA,NA,NA,$13781.00,NA,NA,NA,$14207.22,NA,$14207.22,NA,$14207.22,NA,$16338.30,$14207.22,$14207.22,$14207.22,NA,$13496.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-B,NA,NA,$21041.00,$25470.68,NA,NA,NA,NA,NA,$21483.96,NA,NA,NA,$22148.42,NA,$22148.42,NA,$22148.42,NA,$25470.68,$22148.42,$22148.42,$22148.42,NA,$21041.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-C,NA,NA,$15838.86,$19173.36,NA,NA,NA,NA,NA,$16172.31,NA,NA,NA,$16672.49,NA,$16672.49,NA,$16672.49,NA,$19173.36,$16672.49,$16672.49,$16672.49,NA,$15838.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-D,NA,NA,$14848.39,$17974.37,NA,NA,NA,NA,NA,$15160.99,NA,NA,NA,$15629.89,NA,$15629.89,NA,$15629.89,NA,$17974.37,$15629.89,$15629.89,$15629.89,NA,$14848.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-A,NA,NA,$16031.77,$19406.87,NA,NA,NA,NA,NA,$16369.28,NA,NA,NA,$16875.54,NA,$16875.54,NA,$16875.54,NA,$19406.87,$16875.54,$16875.54,$16875.54,NA,$16031.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-B,NA,NA,$24995.46,$30257.66,NA,NA,NA,NA,NA,$25521.68,NA,NA,NA,$26311.01,NA,$26311.01,NA,$26311.01,NA,$30257.66,$26311.01,$26311.01,$26311.01,NA,$24995.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-C,NA,NA,$18815.22,$22776.32,NA,NA,NA,NA,NA,$19211.33,NA,NA,NA,$19805.50,NA,$19805.50,NA,$19805.50,NA,$22776.32,$19805.50,$19805.50,$19805.50,NA,$18815.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-D,NA,NA,$17638.03,$21351.30,NA,NA,NA,NA,NA,$18009.36,NA,NA,NA,$18566.35,NA,$18566.35,NA,$18566.35,NA,$21351.30,$18566.35,$18566.35,$18566.35,NA,$17638.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-A,NA,NA,$18603.77,$22520.36,NA,NA,NA,NA,NA,$18995.43,NA,NA,NA,$19582.92,NA,$19582.92,NA,$19582.92,NA,$22520.36,$19582.92,$19582.92,$19582.92,NA,$18603.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-B,NA,NA,$29004.33,$35110.50,NA,NA,NA,NA,NA,$29614.94,NA,NA,NA,$30530.87,NA,$30530.87,NA,$30530.87,NA,$35110.50,$30530.87,$30530.87,$30530.87,NA,$29004.33,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-C,NA,NA,$21833.62,$26430.17,NA,NA,NA,NA,NA,$22293.27,NA,NA,NA,$22982.76,NA,$22982.76,NA,$22982.76,NA,$26430.17,$22982.76,$22982.76,$22982.76,NA,$21833.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-D,NA,NA,$20467.24,$24776.13,NA,NA,NA,NA,NA,$20898.13,NA,NA,NA,$21544.46,NA,$21544.46,NA,$21544.46,NA,$24776.13,$21544.46,$21544.46,$21544.46,NA,$20467.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-A,NA,NA,$10895.17,$13188.89,NA,NA,NA,NA,NA,$11124.54,NA,NA,NA,$11468.60,NA,$11468.60,NA,$11468.60,NA,$13188.89,$11468.60,$11468.60,$11468.60,NA,$10895.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-B,NA,NA,$15423.39,$18670.42,NA,NA,NA,NA,NA,$15748.09,NA,NA,NA,$16235.14,NA,$16235.14,NA,$16235.14,NA,$18670.42,$16235.14,$16235.14,$16235.14,NA,$15423.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-C,NA,NA,$12507.62,$15140.80,NA,NA,NA,NA,NA,$12770.94,NA,NA,NA,$13165.92,NA,$13165.92,NA,$13165.92,NA,$15140.80,$13165.92,$13165.92,$13165.92,NA,$12507.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-D,NA,NA,$11852.25,$14347.46,NA,NA,NA,NA,NA,$12101.77,NA,NA,NA,$12476.06,NA,$12476.06,NA,$12476.06,NA,$14347.46,$12476.06,$12476.06,$12476.06,NA,$11852.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-A,NA,NA,$13621.75,$16489.48,NA,NA,NA,NA,NA,$13908.52,NA,NA,NA,$14338.68,NA,$14338.68,NA,$14338.68,NA,$16489.48,$14338.68,$14338.68,$14338.68,NA,$13621.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-B,NA,NA,$19283.87,$23343.63,NA,NA,NA,NA,NA,$19689.85,NA,NA,NA,$20298.81,NA,$20298.81,NA,$20298.81,NA,$23343.63,$20298.81,$20298.81,$20298.81,NA,$19283.87,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-C,NA,NA,$15638.54,$18930.87,NA,NA,NA,NA,NA,$15967.78,NA,NA,NA,$16461.63,NA,$16461.63,NA,$16461.63,NA,$18930.87,$16461.63,$16461.63,$16461.63,NA,$15638.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-D,NA,NA,$14819.95,$17939.94,NA,NA,NA,NA,NA,$15131.95,NA,NA,NA,$15599.95,NA,$15599.95,NA,$15599.95,NA,$17939.94,$15599.95,$15599.95,$15599.95,NA,$14819.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-A,NA,NA,$16557.30,$20043.04,NA,NA,NA,NA,NA,$16905.87,NA,NA,NA,$17428.73,NA,$17428.73,NA,$17428.73,NA,$20043.04,$17428.73,$17428.73,$17428.73,NA,$16557.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-B,NA,NA,$23439.89,$28374.60,NA,NA,NA,NA,NA,$23933.36,NA,NA,NA,$24673.57,NA,$24673.57,NA,$24673.57,NA,$28374.60,$24673.57,$24673.57,$24673.57,NA,$23439.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-C,NA,NA,$19009.36,$23011.33,NA,NA,NA,NA,NA,$19409.55,NA,NA,NA,$20009.85,NA,$20009.85,NA,$20009.85,NA,$23011.33,$20009.85,$20009.85,$20009.85,NA,$19009.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-D,NA,NA,$18013.94,$21806.35,NA,NA,NA,NA,NA,$18393.18,NA,NA,NA,$18962.04,NA,$18962.04,NA,$18962.04,NA,$21806.35,$18962.04,$18962.04,$18962.04,NA,$18013.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-A,NA,NA,$18919.09,$22902.06,NA,NA,NA,NA,NA,$19317.39,NA,NA,NA,$19914.83,NA,$19914.83,NA,$19914.83,NA,$22902.06,$19914.83,$19914.83,$19914.83,NA,$18919.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-B,NA,NA,$26783.50,$32422.13,NA,NA,NA,NA,NA,$27347.36,NA,NA,NA,$28193.15,NA,$28193.15,NA,$28193.15,NA,$32422.13,$28193.15,$28193.15,$28193.15,NA,$26783.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-C,NA,NA,$21721.09,$26293.96,NA,NA,NA,NA,NA,$22178.38,NA,NA,NA,$22864.31,NA,$22864.31,NA,$22864.31,NA,$26293.96,$22864.31,$22864.31,$22864.31,NA,$21721.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-D,NA,NA,$20583.48,$24916.84,NA,NA,NA,NA,NA,$21016.81,NA,NA,NA,$21666.82,NA,$21666.82,NA,$21666.82,NA,$24916.84,$21666.82,$21666.82,$21666.82,NA,$20583.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-A,NA,NA,$9353.20,$11322.30,NA,NA,NA,NA,NA,$9550.11,NA,NA,NA,$9845.48,NA,$9845.48,NA,$9845.48,NA,$11322.30,$9845.48,$9845.48,$9845.48,NA,$9353.20,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-B,NA,NA,$13933.35,$16866.69,NA,NA,NA,NA,NA,$14226.69,NA,NA,NA,$14666.69,NA,$14666.69,NA,$14666.69,NA,$16866.69,$14666.69,$14666.69,$14666.69,NA,$13933.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-C,NA,NA,$11212.96,$13573.58,NA,NA,NA,NA,NA,$11449.02,NA,NA,NA,$11803.12,NA,$11803.12,NA,$11803.12,NA,$13573.58,$11803.12,$11803.12,$11803.12,NA,$11212.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-D,NA,NA,$10041.96,$12156.05,NA,NA,NA,NA,NA,$10253.37,NA,NA,NA,$10570.48,NA,$10570.48,NA,$10570.48,NA,$12156.05,$10570.48,$10570.48,$10570.48,NA,$10041.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-A,NA,NA,$10996.57,$13311.63,NA,NA,NA,NA,NA,$11228.07,NA,NA,NA,$11575.33,NA,$11575.33,NA,$11575.33,NA,$13311.63,$11575.33,$11575.33,$11575.33,NA,$10996.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-B,NA,NA,$16381.71,$19830.49,NA,NA,NA,NA,NA,$16726.58,NA,NA,NA,$17243.90,NA,$17243.90,NA,$17243.90,NA,$19830.49,$17243.90,$17243.90,$17243.90,NA,$16381.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-C,NA,NA,$13182.77,$15958.09,NA,NA,NA,NA,NA,$13460.30,NA,NA,NA,$13876.60,NA,$13876.60,NA,$13876.60,NA,$15958.09,$13876.60,$13876.60,$13876.60,NA,$13182.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-D,NA,NA,$11806.50,$14292.08,NA,NA,NA,NA,NA,$12055.06,NA,NA,NA,$12427.90,NA,$12427.90,NA,$12427.90,NA,$14292.08,$12427.90,$12427.90,$12427.90,NA,$11806.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-A,NA,NA,$12283.81,$14869.87,NA,NA,NA,NA,NA,$12542.41,NA,NA,NA,$12930.32,NA,$12930.32,NA,$12930.32,NA,$14869.87,$12930.32,$12930.32,$12930.32,NA,$12283.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-B,NA,NA,$18299.58,$22152.13,NA,NA,NA,NA,NA,$18684.84,NA,NA,NA,$19262.72,NA,$19262.72,NA,$19262.72,NA,$22152.13,$19262.72,$19262.72,$19262.72,NA,$18299.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-C,NA,NA,$14725.98,$17826.18,NA,NA,NA,NA,NA,$15036.00,NA,NA,NA,$15501.03,NA,$15501.03,NA,$15501.03,NA,$17826.18,$15501.03,$15501.03,$15501.03,NA,$14725.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-D,NA,NA,$13188.96,$15965.58,NA,NA,NA,NA,NA,$13466.62,NA,NA,NA,$13883.11,NA,$13883.11,NA,$13883.11,NA,$15965.58,$13883.11,$13883.11,$13883.11,NA,$13188.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-A,NA,NA,$14157.17,$17137.62,NA,NA,NA,NA,NA,$14455.21,NA,NA,NA,$14902.28,NA,$14902.28,NA,$14902.28,NA,$17137.62,$14902.28,$14902.28,$14902.28,NA,$14157.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-B,NA,NA,$21090.46,$25530.55,NA,NA,NA,NA,NA,$21534.47,NA,NA,NA,$22200.48,NA,$22200.48,NA,$22200.48,NA,$25530.55,$22200.48,$22200.48,$22200.48,NA,$21090.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-C,NA,NA,$16972.77,$20545.99,NA,NA,NA,NA,NA,$17330.09,NA,NA,NA,$17866.08,NA,$17866.08,NA,$17866.08,NA,$20545.99,$17866.08,$17866.08,$17866.08,NA,$16972.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-D,NA,NA,$15200.81,$18400.98,NA,NA,NA,NA,NA,$15520.83,NA,NA,NA,$16000.85,NA,$16000.85,NA,$16000.85,NA,$18400.98,$16000.85,$16000.85,$16000.85,NA,$15200.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-A,NA,NA,$16496.70,$19969.70,NA,NA,NA,NA,NA,$16844.00,NA,NA,NA,$17364.95,NA,$17364.95,NA,$17364.95,NA,$19969.70,$17364.95,$17364.95,$17364.95,NA,$16496.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-B,NA,NA,$24575.03,$29748.72,NA,NA,NA,NA,NA,$25092.40,NA,NA,NA,$25868.46,NA,$25868.46,NA,$25868.46,NA,$29748.72,$25868.46,$25868.46,$25868.46,NA,$24575.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-C,NA,NA,$19777.25,$23940.88,NA,NA,NA,NA,NA,$20193.61,NA,NA,NA,$20818.16,NA,$20818.16,NA,$20818.16,NA,$23940.88,$20818.16,$20818.16,$20818.16,NA,$19777.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-D,NA,NA,$17712.23,$21441.12,NA,NA,NA,NA,NA,$18085.11,NA,NA,NA,$18644.45,NA,$18644.45,NA,$18644.45,NA,$21441.12,$18644.45,$18644.45,$18644.45,NA,$17712.23,NA,NA,NA,NA
