Encompass Health Rehabilitation Hospital of Altamonte Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL NETWORK BLUE (BCNB) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HUMANA MILITARY HEALTH (TRI) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,ONECALL MEDICAL (OCL) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-B,NA,NA,$20470.38,$23543.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40942.76,NA,NA,NA,NA,$40942.76,$40942.76,$40942.76,NA,NA,$47084.17,$40942.76,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-C,NA,NA,$15908.03,$18296.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31817.62,NA,NA,NA,NA,$31817.62,$31817.62,$31817.62,NA,NA,$36590.27,$31817.62,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-D,NA,NA,$15018.69,$17273.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30038.85,NA,NA,NA,NA,$30038.85,$30038.85,$30038.85,NA,NA,$34544.69,$30038.85,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-A,NA,NA,$17236.57,$19823.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34474.82,NA,NA,NA,NA,$34474.82,$34474.82,$34474.82,NA,NA,$39646.04,$34474.82,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-B,NA,NA,$25434.41,$29252.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50871.31,NA,NA,NA,NA,$50871.31,$50871.31,$50871.31,NA,NA,$58502.00,$50871.31,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-C,NA,NA,$19765.47,$22732.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39532.88,NA,NA,NA,NA,$39532.88,$39532.88,$39532.88,NA,NA,$45462.81,$39532.88,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-D,NA,NA,$18660.44,$21461.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37322.71,NA,NA,NA,NA,$37322.71,$37322.71,$37322.71,NA,NA,$42921.12,$37322.71,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-A,NA,NA,$20017.11,$23021.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40036.18,NA,NA,NA,NA,$40036.18,$40036.18,$40036.18,NA,NA,$46041.61,$40036.18,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-B,NA,NA,$29538.80,$33972.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$59080.49,NA,NA,NA,NA,$59080.49,$59080.49,$59080.49,NA,NA,$67942.56,$59080.49,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-C,NA,NA,$22955.52,$26401.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45913.28,NA,NA,NA,NA,$45913.28,$45913.28,$45913.28,NA,NA,$52800.27,$45913.28,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-D,NA,NA,$21672.31,$24925.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43346.74,NA,NA,NA,NA,$43346.74,$43346.74,$43346.74,NA,NA,$49848.74,$43346.74,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-A,NA,NA,$23838.60,$27417.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47679.54,NA,NA,NA,NA,$47679.54,$47679.54,$47679.54,NA,NA,$54831.47,$47679.54,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-B,NA,NA,$35176.47,$40456.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$70356.39,NA,NA,NA,NA,$70356.39,$70356.39,$70356.39,NA,NA,$80909.84,$70356.39,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-C,NA,NA,$27338.12,$31441.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54678.91,NA,NA,NA,NA,$54678.91,$54678.91,$54678.91,NA,NA,$62880.75,$54678.91,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-D,NA,NA,$25809.52,$29683.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$51621.57,NA,NA,NA,NA,$51621.57,$51621.57,$51621.57,NA,NA,$59364.81,$51621.57,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-A,NA,NA,$31101.78,$35770.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$62206.60,NA,NA,NA,NA,$62206.60,$62206.60,$62206.60,NA,NA,$71537.60,$62206.60,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-B,NA,NA,$45892.28,$52781.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$91789.05,NA,NA,NA,NA,$91789.05,$91789.05,$91789.05,NA,NA,$105557.41,$91789.05,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-C,NA,NA,$35665.69,$41019.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$71334.87,NA,NA,NA,NA,$71334.87,$71334.87,$71334.87,NA,NA,$82035.09,$71334.87,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-D,NA,NA,$33671.32,$38725.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$67345.94,NA,NA,NA,NA,$67345.94,$67345.94,$67345.94,NA,NA,$77447.83,$67345.94,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-A,NA,NA,$13707.35,$15765.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27416.04,NA,NA,NA,NA,$27416.04,$27416.04,$27416.04,NA,NA,$31528.45,$27416.04,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-B,NA,NA,$21370.65,$24578.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42743.39,NA,NA,NA,NA,$42743.39,$42743.39,$42743.39,NA,NA,$49154.91,$42743.39,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-C,NA,NA,$16087.77,$18502.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32177.12,NA,NA,NA,NA,$32177.12,$32177.12,$32177.12,NA,NA,$37003.69,$32177.12,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-D,NA,NA,$15081.21,$17345.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30163.90,NA,NA,NA,NA,$30163.90,$30163.90,$30163.90,NA,NA,$34688.49,$30163.90,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-A,NA,NA,$17059.95,$19620.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34121.57,NA,NA,NA,NA,$34121.57,$34121.57,$34121.57,NA,NA,$39239.80,$34121.57,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-B,NA,NA,$26595.70,$30588.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53194.01,NA,NA,NA,NA,$53194.01,$53194.01,$53194.01,NA,NA,$61173.11,$53194.01,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-C,NA,NA,$20020.24,$23025.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40042.44,NA,NA,NA,NA,$40042.44,$40042.44,$40042.44,NA,NA,$46048.80,$40042.44,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-D,NA,NA,$18768.29,$21585.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37538.42,NA,NA,NA,NA,$37538.42,$37538.42,$37538.42,NA,NA,$43169.17,$37538.42,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-A,NA,NA,$20264.06,$23305.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40530.11,NA,NA,NA,NA,$40530.11,$40530.11,$40530.11,NA,NA,$46609.62,$40530.11,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-B,NA,NA,$31594.12,$36336.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$63191.33,NA,NA,NA,NA,$63191.33,$63191.33,$63191.33,NA,NA,$72670.03,$63191.33,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-C,NA,NA,$23782.33,$27352.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47566.99,NA,NA,NA,NA,$47566.99,$47566.99,$47566.99,NA,NA,$54702.04,$47566.99,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-D,NA,NA,$22294.38,$25641.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44590.94,NA,NA,NA,NA,$44590.94,$44590.94,$44590.94,NA,NA,$51279.57,$44590.94,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-A,NA,NA,$23515.06,$27044.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47032.43,NA,NA,NA,NA,$47032.43,$47032.43,$47032.43,NA,NA,$54087.29,$47032.43,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-B,NA,NA,$36661.31,$42164.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$73326.20,NA,NA,NA,NA,$73326.20,$73326.20,$73326.20,NA,NA,$84325.13,$73326.20,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-C,NA,NA,$27597.57,$31740.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$55197.84,NA,NA,NA,NA,$55197.84,$55197.84,$55197.84,NA,NA,$63477.53,$55197.84,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-D,NA,NA,$25870.48,$29753.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$51743.49,NA,NA,NA,NA,$51743.49,$51743.49,$51743.49,NA,NA,$59505.01,$51743.49,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-A,NA,NA,$13771.43,$15838.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27544.21,NA,NA,NA,NA,$27544.21,$27544.21,$27544.21,NA,NA,$31675.85,$27544.21,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-B,NA,NA,$19495.07,$22421.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38992.05,NA,NA,NA,NA,$38992.05,$38992.05,$38992.05,NA,NA,$44840.87,$38992.05,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-C,NA,NA,$15809.56,$18182.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31620.67,NA,NA,NA,NA,$31620.67,$31620.67,$31620.67,NA,NA,$36363.78,$31620.67,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-D,NA,NA,$14981.18,$17230.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29963.83,NA,NA,NA,NA,$29963.83,$29963.83,$29963.83,NA,NA,$34458.41,$29963.83,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-A,NA,NA,$17217.81,$19802.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34437.31,NA,NA,NA,NA,$34437.31,$34437.31,$34437.31,NA,NA,$39602.90,$34437.31,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-B,NA,NA,$24374.70,$28033.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48751.79,NA,NA,NA,NA,$48751.79,$48751.79,$48751.79,NA,NA,$56064.56,$48751.79,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-C,NA,NA,$19767.03,$22734.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39536.00,NA,NA,NA,NA,$39536.00,$39536.00,$39536.00,NA,NA,$45466.40,$39536.00,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-D,NA,NA,$18732.34,$21544.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37466.51,NA,NA,NA,NA,$37466.51,$37466.51,$37466.51,NA,NA,$43086.49,$37466.51,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-A,NA,NA,$20928.33,$24069.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41858.71,NA,NA,NA,NA,$41858.71,$41858.71,$41858.71,NA,NA,$48137.51,$41858.71,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-B,NA,NA,$29627.89,$34075.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$59258.68,NA,NA,NA,NA,$59258.68,$59258.68,$59258.68,NA,NA,$68147.48,$59258.68,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-C,NA,NA,$24027.72,$27634.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48057.79,NA,NA,NA,NA,$48057.79,$48057.79,$48057.79,NA,NA,$55266.47,$48057.79,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-D,NA,NA,$22769.52,$26187.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45541.27,NA,NA,NA,NA,$45541.27,$45541.27,$45541.27,NA,NA,$52372.46,$45541.27,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-A,NA,NA,$23913.62,$27503.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47829.59,NA,NA,NA,NA,$47829.59,$47829.59,$47829.59,NA,NA,$55004.03,$47829.59,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-B,NA,NA,$33854.19,$38936.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$67711.69,NA,NA,NA,NA,$67711.69,$67711.69,$67711.69,NA,NA,$77868.45,$67711.69,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-C,NA,NA,$27455.34,$31576.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54913.37,NA,NA,NA,NA,$54913.37,$54913.37,$54913.37,NA,NA,$63150.37,$54913.37,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-D,NA,NA,$26017.40,$29922.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52037.35,NA,NA,NA,NA,$52037.35,$52037.35,$52037.35,NA,NA,$59842.95,$52037.35,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-A,NA,NA,$11822.40,$13597.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23645.95,NA,NA,NA,NA,$23645.95,$23645.95,$23645.95,NA,NA,$27192.85,$23645.95,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-B,NA,NA,$17611.68,$20255.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35225.09,NA,NA,NA,NA,$35225.09,$35225.09,$35225.09,NA,NA,$40508.85,$35225.09,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-C,NA,NA,$14173.12,$16300.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28347.63,NA,NA,NA,NA,$28347.63,$28347.63,$28347.63,NA,NA,$32599.77,$28347.63,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-D,NA,NA,$12692.98,$14598.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25387.20,NA,NA,NA,NA,$25387.20,$25387.20,$25387.20,NA,NA,$29195.27,$25387.20,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-A,NA,NA,$13899.60,$15986.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27800.56,NA,NA,NA,NA,$27800.56,$27800.56,$27800.56,NA,NA,$31970.64,$27800.56,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-B,NA,NA,$20706.39,$23814.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41414.80,NA,NA,NA,NA,$41414.80,$41414.80,$41414.80,NA,NA,$47627.01,$41414.80,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-C,NA,NA,$16662.95,$19164.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33327.53,NA,NA,NA,NA,$33327.53,$33327.53,$33327.53,NA,NA,$38326.66,$33327.53,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-D,NA,NA,$14923.35,$17163.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29848.16,NA,NA,NA,NA,$29848.16,$29848.16,$29848.16,NA,NA,$34325.38,$29848.16,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-A,NA,NA,$15526.66,$17857.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31054.84,NA,NA,NA,NA,$31054.84,$31054.84,$31054.84,NA,NA,$35713.07,$31054.84,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-B,NA,NA,$23130.57,$26602.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46263.40,NA,NA,NA,NA,$46263.40,$46263.40,$46263.40,NA,NA,$53202.92,$46263.40,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-C,NA,NA,$18613.55,$21407.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37228.92,NA,NA,NA,NA,$37228.92,$37228.92,$37228.92,NA,NA,$42813.27,$37228.92,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-D,NA,NA,$16670.77,$19173.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33343.17,NA,NA,NA,NA,$33343.17,$33343.17,$33343.17,NA,NA,$38344.64,$33343.17,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-A,NA,NA,$17894.58,$20580.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35790.91,NA,NA,NA,NA,$35790.91,$35790.91,$35790.91,NA,NA,$41159.55,$35790.91,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-B,NA,NA,$26658.22,$30659.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53319.05,NA,NA,NA,NA,$53319.05,$53319.05,$53319.05,NA,NA,$61316.91,$53319.05,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-C,NA,NA,$21453.49,$24673.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42909.08,NA,NA,NA,NA,$42909.08,$42909.08,$42909.08,NA,NA,$49345.44,$42909.08,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-D,NA,NA,$19213.74,$22097.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38429.36,NA,NA,NA,NA,$38429.36,$38429.36,$38429.36,NA,NA,$44193.76,$38429.36,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-A,NA,NA,$20851.74,$23981.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41705.52,NA,NA,NA,NA,$41705.52,$41705.52,$41705.52,NA,NA,$47961.35,$41705.52,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-B,NA,NA,$31062.70,$35725.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$62128.44,NA,NA,NA,NA,$62128.44,$62128.44,$62128.44,NA,NA,$71447.72,$62128.44,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-C,NA,NA,$24998.33,$28750.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49999.11,NA,NA,NA,NA,$49999.11,$49999.11,$49999.11,NA,NA,$57498.98,$49999.11,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-D,NA,NA,$22388.15,$25748.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44778.50,NA,NA,NA,NA,$44778.50,$44778.50,$44778.50,NA,NA,$51495.28,$44778.50,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-A,NA,NA,$12930.55,$14871.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25862.37,NA,NA,NA,NA,$25862.37,$25862.37,$25862.37,NA,NA,$29741.72,$25862.37,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-B,NA,NA,$18929.28,$21770.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37860.41,NA,NA,NA,NA,$37860.41,$37860.41,$37860.41,NA,NA,$43539.47,$37860.41,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-C,NA,NA,$15084.34,$17348.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30170.16,NA,NA,NA,NA,$30170.16,$30170.16,$30170.16,NA,NA,$34695.68,$30170.16,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-D,NA,NA,$14274.71,$16417.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28550.82,NA,NA,NA,NA,$28550.82,$28550.82,$28550.82,NA,NA,$32833.45,$28550.82,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-A,NA,NA,$16100.28,$18517.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32202.13,NA,NA,NA,NA,$32202.13,$32202.13,$32202.13,NA,NA,$37032.45,$32202.13,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-B,NA,NA,$23566.64,$27104.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47135.59,NA,NA,NA,NA,$47135.59,$47135.59,$47135.59,NA,NA,$54205.93,$47135.59,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-C,NA,NA,$18779.23,$21598.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37560.30,NA,NA,NA,NA,$37560.30,$37560.30,$37560.30,NA,NA,$43194.34,$37560.30,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-D,NA,NA,$17772.67,$20440.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35547.08,NA,NA,NA,NA,$35547.08,$35547.08,$35547.08,NA,NA,$40879.14,$35547.08,NA,NA,NA
