Encompass Health Rehabilitation Hospital of Littleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WC ACCESS (AETW) negotiated charge,ANTHEM BC OF CO MEDICARE (BCAM) negotiated charge,ANTHEM BC OF COLORADO (BCAC) negotiated charge,BRIGHT HEALTH EXCHANGE (BRHZ) negotiated charge,BRIGHT HEALTH PLAN (BRH) negotiated charge,BRIGHT HEALTH PLAN MCR (BRHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICE CARE NETWORK (CHO) negotiated charge,CHOICE CARE NETWORK MCR (CHOM) negotiated charge,CIGNA (CIG) negotiated charge,CIGNA EXCHANGE (CIGZ) negotiated charge,CIGNA MEDICARE (CIGM) negotiated charge,CO ACCESS CHP HMO MCD (CAHD) negotiated charge,COLORADO ACCESS MEDICAID (CAAD) negotiated charge,COVENTRY (CHC) negotiated charge,COVENTRY WORK COMP (CHCW) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WC (FTHW) negotiated charge,HEALTHNET FEDERAL SVCS (HFS) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,LONGEVITY HEALTH PLAN MCR (LHPM) negotiated charge,MY INNOVAGE PACE DUAL (MIPB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PINNACOL ASSURANCE (PIN) negotiated charge,PINNACOL ASSURANCE WC (PINW) negotiated charge,PRIME HEALTH SERVICES (PRH) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,ROCKY MOUNTAIN HMO (RMH) negotiated charge,ROCKY MOUNTAIN MEDICARE (RMHM) negotiated charge,TRIWEST VETERANS (TWV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-C,NA,NA,$36345.52,$46441.49,NA,$40383.91,NA,$40383.91,NA,$38364.71,$38364.71,$38768.55,NA,NA,$40383.91,NA,$36345.52,NA,NA,$40383.91,NA,NA,NA,NA,NA,NA,$40383.91,NA,$36345.52,$40383.91,$40383.91,NA,NA,NA,NA,NA,$46441.49,$40383.91,NA,NA,$40383.91,NA,$40383.91,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-D,NA,NA,$32648.76,$41717.85,NA,$36276.40,NA,$36276.40,NA,$34462.58,$34462.58,$34825.34,NA,NA,$36276.40,NA,$32648.76,NA,NA,$36276.40,NA,NA,NA,NA,NA,NA,$36276.40,NA,$32648.76,$36276.40,$36276.40,NA,NA,NA,NA,NA,$41717.85,$36276.40,NA,NA,$36276.40,NA,$36276.40,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-A,NA,NA,$13828.74,$17670.06,NA,$15365.27,NA,$15365.27,NA,$14597.00,$14597.00,$14750.66,NA,NA,$15365.27,NA,$13828.74,NA,NA,$15365.27,NA,NA,NA,NA,NA,NA,$15365.27,NA,$13828.74,$15365.27,$15365.27,NA,NA,NA,NA,NA,$17670.06,$15365.27,NA,NA,$15365.27,NA,$15365.27,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-B,NA,NA,$19918.00,$25450.78,NA,$22131.11,NA,$22131.11,NA,$21024.55,$21024.55,$21245.87,NA,NA,$22131.11,NA,$19918.00,NA,NA,$22131.11,NA,NA,NA,NA,NA,NA,$22131.11,NA,$19918.00,$22131.11,$22131.11,NA,NA,NA,NA,NA,$25450.78,$22131.11,NA,NA,$22131.11,NA,$22131.11,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-C,NA,NA,$16146.52,$20631.67,NA,$17940.58,NA,$17940.58,NA,$17043.55,$17043.55,$17222.96,NA,NA,$17940.58,NA,$16146.52,NA,NA,$17940.58,NA,NA,NA,NA,NA,NA,$17940.58,NA,$16146.52,$17940.58,$17940.58,NA,NA,NA,NA,NA,$20631.67,$17940.58,NA,NA,$17940.58,NA,$17940.58,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-D,NA,NA,$14918.60,$19062.66,NA,$16576.22,NA,$16576.22,NA,$15747.41,$15747.41,$15913.18,NA,NA,$16576.22,NA,$14918.60,NA,NA,$16576.22,NA,NA,NA,NA,NA,NA,$16576.22,NA,$14918.60,$16576.22,$16576.22,NA,NA,NA,NA,NA,$19062.66,$16576.22,NA,NA,$16576.22,NA,$16576.22,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-A,NA,NA,$17717.16,$22638.59,NA,$19685.73,NA,$19685.73,NA,$18701.45,$18701.45,$18898.30,NA,NA,$19685.73,NA,$17717.16,NA,NA,$19685.73,NA,NA,NA,NA,NA,NA,$19685.73,NA,$17717.16,$19685.73,$19685.73,NA,NA,NA,NA,NA,$22638.59,$19685.73,NA,NA,$19685.73,NA,$19685.73,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-B,NA,NA,$25518.36,$32606.80,NA,$28353.74,NA,$28353.74,NA,$26936.05,$26936.05,$27219.59,NA,NA,$28353.74,NA,$25518.36,NA,NA,$28353.74,NA,NA,NA,NA,NA,NA,$28353.74,NA,$25518.36,$28353.74,$28353.74,NA,NA,NA,NA,NA,$32606.80,$28353.74,NA,NA,$28353.74,NA,$28353.74,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-C,NA,NA,$20687.89,$26434.52,NA,$22986.54,NA,$22986.54,NA,$21837.21,$21837.21,$22067.08,NA,NA,$22986.54,NA,$20687.89,NA,NA,$22986.54,NA,NA,NA,NA,NA,NA,$22986.54,NA,$20687.89,$22986.54,$22986.54,NA,NA,NA,NA,NA,$26434.52,$22986.54,NA,NA,$22986.54,NA,$22986.54,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-D,NA,NA,$19114.00,$24423.45,NA,$21237.78,NA,$21237.78,NA,$20175.89,$20175.89,$20388.27,NA,NA,$21237.78,NA,$19114.00,NA,NA,$21237.78,NA,NA,NA,NA,NA,NA,$21237.78,NA,$19114.00,$21237.78,$21237.78,NA,NA,NA,NA,NA,$24423.45,$21237.78,NA,NA,$21237.78,NA,$21237.78,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-A,NA,NA,$21209.27,$27100.73,NA,$23565.85,NA,$23565.85,NA,$22387.56,$22387.56,$22623.22,NA,NA,$23565.85,NA,$21209.27,NA,NA,$23565.85,NA,NA,NA,NA,NA,NA,$23565.85,NA,$21209.27,$23565.85,$23565.85,NA,NA,NA,NA,NA,$27100.73,$23565.85,NA,NA,$23565.85,NA,$23565.85,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-B,NA,NA,$30548.62,$39034.35,NA,$33942.91,NA,$33942.91,NA,$32245.76,$32245.76,$32585.19,NA,NA,$33942.91,NA,$30548.62,NA,NA,$33942.91,NA,NA,NA,NA,NA,NA,$33942.91,NA,$30548.62,$33942.91,$33942.91,NA,NA,NA,NA,NA,$39034.35,$33942.91,NA,NA,$33942.91,NA,$33942.91,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-C,NA,NA,$24764.72,$31643.81,NA,$27516.35,NA,$27516.35,NA,$26140.53,$26140.53,$26415.70,NA,NA,$27516.35,NA,$24764.72,NA,NA,$27516.35,NA,NA,NA,NA,NA,NA,$27516.35,NA,$24764.72,$27516.35,$27516.35,NA,NA,NA,NA,NA,$31643.81,$27516.35,NA,NA,$27516.35,NA,$27516.35,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-D,NA,NA,$22880.60,$29236.33,NA,$25422.89,NA,$25422.89,NA,$24151.75,$24151.75,$24405.98,NA,NA,$25422.89,NA,$22880.60,NA,NA,$25422.89,NA,NA,NA,NA,NA,NA,$25422.89,NA,$22880.60,$25422.89,$25422.89,NA,NA,NA,NA,NA,$29236.33,$25422.89,NA,NA,$25422.89,NA,$25422.89,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-A,NA,NA,$23795.05,$30404.78,NA,$26438.94,NA,$26438.94,NA,$25117.00,$25117.00,$25381.39,NA,NA,$26438.94,NA,$23795.05,NA,NA,$26438.94,NA,NA,NA,NA,NA,NA,$26438.94,NA,$23795.05,$26438.94,$26438.94,NA,NA,NA,NA,NA,$30404.78,$26438.94,NA,NA,$26438.94,NA,$26438.94,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-B,NA,NA,$34272.99,$43793.27,NA,$38081.10,NA,$38081.10,NA,$36177.05,$36177.05,$36557.86,NA,NA,$38081.10,NA,$34272.99,NA,NA,$38081.10,NA,NA,NA,NA,NA,NA,$38081.10,NA,$34272.99,$38081.10,$38081.10,NA,NA,NA,NA,NA,$43793.27,$38081.10,NA,NA,$38081.10,NA,$38081.10,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-C,NA,NA,$27782.55,$35499.92,NA,$30869.50,NA,$30869.50,NA,$29326.02,$29326.02,$29634.72,NA,NA,$30869.50,NA,$27782.55,NA,NA,$30869.50,NA,NA,NA,NA,NA,NA,$30869.50,NA,$27782.55,$30869.50,$30869.50,NA,NA,NA,NA,NA,$35499.92,$30869.50,NA,NA,$30869.50,NA,$30869.50,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-D,NA,NA,$25671.04,$32801.89,NA,$28523.38,NA,$28523.38,NA,$27097.21,$27097.21,$27382.44,NA,NA,$28523.38,NA,$25671.04,NA,NA,$28523.38,NA,NA,NA,NA,NA,NA,$28523.38,NA,$25671.04,$28523.38,$28523.38,NA,NA,NA,NA,NA,$32801.89,$28523.38,NA,NA,$28523.38,NA,$28523.38,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-A,NA,NA,$25991.01,$33210.74,NA,$28878.91,NA,$28878.91,NA,$27434.96,$27434.96,$27723.75,NA,NA,$28878.91,NA,$25991.01,NA,NA,$28878.91,NA,NA,NA,NA,NA,NA,$28878.91,NA,$25991.01,$28878.91,$28878.91,NA,NA,NA,NA,NA,$33210.74,$28878.91,NA,NA,$28878.91,NA,$28878.91,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-B,NA,NA,$37437.00,$47836.17,NA,$41596.67,NA,$41596.67,NA,$39516.84,$39516.84,$39932.80,NA,NA,$41596.67,NA,$37437.00,NA,NA,$41596.67,NA,NA,NA,NA,NA,NA,$41596.67,NA,$37437.00,$41596.67,$41596.67,NA,NA,NA,NA,NA,$47836.17,$41596.67,NA,NA,$41596.67,NA,$41596.67,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-C,NA,NA,$30348.84,$38779.07,NA,$33720.93,NA,$33720.93,NA,$32034.89,$32034.89,$32372.09,NA,NA,$33720.93,NA,$30348.84,NA,NA,$33720.93,NA,NA,NA,NA,NA,NA,$33720.93,NA,$30348.84,$33720.93,$33720.93,NA,NA,NA,NA,NA,$38779.07,$33720.93,NA,NA,$33720.93,NA,$33720.93,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-D,NA,NA,$28040.80,$35829.91,NA,$31156.44,NA,$31156.44,NA,$29598.62,$29598.62,$29910.19,NA,NA,$31156.44,NA,$28040.80,NA,NA,$31156.44,NA,NA,NA,NA,NA,NA,$31156.44,NA,$28040.80,$31156.44,$31156.44,NA,NA,NA,NA,NA,$35829.91,$31156.44,NA,NA,$31156.44,NA,$31156.44,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-A,NA,NA,$15784.32,$20168.85,NA,$17538.13,NA,$17538.13,NA,$16661.23,$16661.23,$16836.61,NA,NA,$17538.13,NA,$15784.32,NA,NA,$17538.13,NA,NA,NA,NA,NA,NA,$17538.13,NA,$15784.32,$17538.13,$17538.13,NA,NA,NA,NA,NA,$20168.85,$17538.13,NA,NA,$17538.13,NA,$17538.13,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-B,NA,NA,$22226.04,$28399.94,NA,$24695.60,NA,$24695.60,NA,$23460.82,$23460.82,$23707.77,NA,NA,$24695.60,NA,$22226.04,NA,NA,$24695.60,NA,NA,NA,NA,NA,NA,$24695.60,NA,$22226.04,$24695.60,$24695.60,NA,NA,NA,NA,NA,$28399.94,$24695.60,NA,NA,$24695.60,NA,$24695.60,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-C,NA,NA,$18860.62,$24099.68,NA,$20956.25,NA,$20956.25,NA,$19908.43,$19908.43,$20118.00,NA,NA,$20956.25,NA,$18860.62,NA,NA,$20956.25,NA,NA,NA,NA,NA,NA,$20956.25,NA,$18860.62,$20956.25,$20956.25,NA,NA,NA,NA,NA,$24099.68,$20956.25,NA,NA,$20956.25,NA,$20956.25,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-D,NA,NA,$16989.50,$21708.81,NA,$18877.22,NA,$18877.22,NA,$17933.36,$17933.36,$18122.14,NA,NA,$18877.22,NA,$16989.50,NA,NA,$18877.22,NA,NA,NA,NA,NA,NA,$18877.22,NA,$16989.50,$18877.22,$18877.22,NA,NA,NA,NA,NA,$21708.81,$18877.22,NA,NA,$18877.22,NA,$18877.22,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-A,NA,NA,$20540.08,$26245.66,NA,$22822.31,NA,$22822.31,NA,$21681.20,$21681.20,$21909.42,NA,NA,$22822.31,NA,$20540.08,NA,NA,$22822.31,NA,NA,NA,NA,NA,NA,$22822.31,NA,$20540.08,$22822.31,$22822.31,NA,NA,NA,NA,NA,$26245.66,$22822.31,NA,NA,$22822.31,NA,$22822.31,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-B,NA,NA,$28922.76,$36956.86,NA,$32136.40,NA,$32136.40,NA,$30529.58,$30529.58,$30850.94,NA,NA,$32136.40,NA,$28922.76,NA,NA,$32136.40,NA,NA,NA,NA,NA,NA,$32136.40,NA,$28922.76,$32136.40,$32136.40,NA,NA,NA,NA,NA,$36956.86,$32136.40,NA,NA,$32136.40,NA,$32136.40,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-C,NA,NA,$24542.20,$31359.47,NA,$27269.11,NA,$27269.11,NA,$25905.65,$25905.65,$26178.34,NA,NA,$27269.11,NA,$24542.20,NA,NA,$27269.11,NA,NA,NA,NA,NA,NA,$27269.11,NA,$24542.20,$27269.11,$27269.11,NA,NA,NA,NA,NA,$31359.47,$27269.11,NA,NA,$27269.11,NA,$27269.11,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-D,NA,NA,$22107.47,$28248.43,NA,$24563.85,NA,$24563.85,NA,$23335.66,$23335.66,$23581.30,NA,NA,$24563.85,NA,$22107.47,NA,NA,$24563.85,NA,NA,NA,NA,NA,NA,$24563.85,NA,$22107.47,$24563.85,$24563.85,NA,NA,NA,NA,NA,$28248.43,$24563.85,NA,NA,$24563.85,NA,$24563.85,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-A,NA,NA,$24651.02,$31498.53,NA,$27390.02,NA,$27390.02,NA,$26020.52,$26020.52,$26294.42,NA,NA,$27390.02,NA,$24651.02,NA,NA,$27390.02,NA,NA,NA,NA,NA,NA,$27390.02,NA,$24651.02,$27390.02,$27390.02,NA,NA,NA,NA,NA,$31498.53,$27390.02,NA,NA,$27390.02,NA,$27390.02,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-B,NA,NA,$34711.53,$44353.63,NA,$38568.37,NA,$38568.37,NA,$36639.95,$36639.95,$37025.64,NA,NA,$38568.37,NA,$34711.53,NA,NA,$38568.37,NA,NA,NA,NA,NA,NA,$38568.37,NA,$34711.53,$38568.37,$38568.37,NA,NA,NA,NA,NA,$44353.63,$38568.37,NA,NA,$38568.37,NA,$38568.37,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-C,NA,NA,$29455.51,$37637.59,NA,$32728.34,NA,$32728.34,NA,$31091.93,$31091.93,$31419.21,NA,NA,$32728.34,NA,$29455.51,NA,NA,$32728.34,NA,NA,NA,NA,NA,NA,$32728.34,NA,$29455.51,$32728.34,$32728.34,NA,NA,NA,NA,NA,$37637.59,$32728.34,NA,NA,$32728.34,NA,$32728.34,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-D,NA,NA,$26533.51,$33903.93,NA,$29481.68,NA,$29481.68,NA,$28007.59,$28007.59,$28302.41,NA,NA,$29481.68,NA,$26533.51,NA,NA,$29481.68,NA,NA,NA,NA,NA,NA,$29481.68,NA,$26533.51,$29481.68,$29481.68,NA,NA,NA,NA,NA,$33903.93,$29481.68,NA,NA,$29481.68,NA,$29481.68,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-A,NA,NA,$41739.60,$53333.94,NA,$46377.33,NA,$46377.33,NA,$44058.47,$44058.47,$44522.24,NA,NA,$46377.33,NA,$41739.60,NA,NA,$46377.33,NA,NA,NA,NA,NA,NA,$46377.33,NA,$41739.60,$46377.33,$46377.33,NA,NA,NA,NA,NA,$53333.94,$46377.33,NA,NA,$46377.33,NA,$46377.33,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-B,NA,NA,$58772.96,$75098.78,NA,$65303.29,NA,$65303.29,NA,$62038.12,$62038.12,$62691.16,NA,NA,$65303.29,NA,$58772.96,NA,NA,$65303.29,NA,NA,NA,NA,NA,NA,$65303.29,NA,$58772.96,$65303.29,$65303.29,NA,NA,NA,NA,NA,$75098.78,$65303.29,NA,NA,$65303.29,NA,$65303.29,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-C,NA,NA,$49873.77,$63727.60,NA,$55415.30,NA,$55415.30,NA,$52644.54,$52644.54,$53198.69,NA,NA,$55415.30,NA,$49873.77,NA,NA,$55415.30,NA,NA,NA,NA,NA,NA,$55415.30,NA,$49873.77,$55415.30,$55415.30,NA,NA,NA,NA,NA,$63727.60,$55415.30,NA,NA,$55415.30,NA,$55415.30,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-D,NA,NA,$44926.35,$57405.89,NA,$49918.17,NA,$49918.17,NA,$47422.26,$47422.26,$47921.44,NA,NA,$49918.17,NA,$44926.35,NA,NA,$49918.17,NA,NA,NA,NA,NA,NA,$49918.17,NA,$44926.35,$49918.17,$49918.17,NA,NA,NA,NA,NA,$57405.89,$49918.17,NA,NA,$49918.17,NA,$49918.17,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-A,NA,NA,$31656.35,$40449.78,NA,$35173.72,NA,$35173.72,NA,$33415.03,$33415.03,$33766.77,NA,NA,$35173.72,NA,$31656.35,NA,NA,$35173.72,NA,NA,NA,NA,NA,NA,$35173.72,NA,$31656.35,$35173.72,$35173.72,NA,NA,NA,NA,NA,$40449.78,$35173.72,NA,NA,$35173.72,NA,$35173.72,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-B,NA,NA,$44575.52,$56957.60,NA,$49528.35,NA,$49528.35,NA,$47051.93,$47051.93,$47547.22,NA,NA,$49528.35,NA,$44575.52,NA,NA,$49528.35,NA,NA,NA,NA,NA,NA,$49528.35,NA,$44575.52,$49528.35,$49528.35,NA,NA,NA,NA,NA,$56957.60,$49528.35,NA,NA,$49528.35,NA,$49528.35,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-C,NA,NA,$37825.19,$48332.19,NA,$42027.99,NA,$42027.99,NA,$39926.59,$39926.59,$40346.87,NA,NA,$42027.99,NA,$37825.19,NA,NA,$42027.99,NA,NA,NA,NA,NA,NA,$42027.99,NA,$37825.19,$42027.99,$42027.99,NA,NA,NA,NA,NA,$48332.19,$42027.99,NA,NA,$42027.99,NA,$42027.99,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-D,NA,NA,$34073.21,$43537.99,NA,$37859.12,NA,$37859.12,NA,$35966.17,$35966.17,$36344.76,NA,NA,$37859.12,NA,$34073.21,NA,NA,$37859.12,NA,NA,NA,NA,NA,NA,$37859.12,NA,$34073.21,$37859.12,$37859.12,NA,NA,NA,NA,NA,$43537.99,$37859.12,NA,NA,$37859.12,NA,$37859.12,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-A,NA,NA,$41489.47,$53014.32,NA,$46099.41,NA,$46099.41,NA,$43794.44,$43794.44,$44255.43,NA,NA,$46099.41,NA,$41489.47,NA,NA,$46099.41,NA,NA,NA,NA,NA,NA,$46099.41,NA,$41489.47,$46099.41,$46099.41,NA,NA,NA,NA,NA,$53014.32,$46099.41,NA,NA,$46099.41,NA,$46099.41,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-B,NA,NA,$58422.12,$74650.49,NA,$64913.47,NA,$64913.47,NA,$61667.80,$61667.80,$62316.93,NA,NA,$64913.47,NA,$58422.12,NA,NA,$64913.47,NA,NA,NA,NA,NA,NA,$64913.47,NA,$58422.12,$64913.47,$64913.47,NA,NA,NA,NA,NA,$74650.49,$64913.47,NA,NA,$64913.47,NA,$64913.47,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-C,NA,NA,$49574.91,$63345.72,NA,$55083.24,NA,$55083.24,NA,$52329.07,$52329.07,$52879.91,NA,NA,$55083.24,NA,$49574.91,NA,NA,$55083.24,NA,NA,NA,NA,NA,NA,$55083.24,NA,$49574.91,$55083.24,$55083.24,NA,NA,NA,NA,NA,$63345.72,$55083.24,NA,NA,$55083.24,NA,$55083.24,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-D,NA,NA,$44656.73,$57061.37,NA,$49618.59,NA,$49618.59,NA,$47137.66,$47137.66,$47633.84,NA,NA,$49618.59,NA,$44656.73,NA,NA,$49618.59,NA,NA,NA,NA,NA,NA,$49618.59,NA,$44656.73,$49618.59,$49618.59,NA,NA,NA,NA,NA,$57061.37,$49618.59,NA,NA,$49618.59,NA,$49618.59,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-A,NA,NA,$47372.45,$60531.46,NA,$52636.06,NA,$52636.06,NA,$50004.25,$50004.25,$50530.61,NA,NA,$52636.06,NA,$47372.45,NA,NA,$52636.06,NA,NA,NA,NA,NA,NA,$52636.06,NA,$47372.45,$52636.06,$52636.06,NA,NA,NA,NA,NA,$60531.46,$52636.06,NA,NA,$52636.06,NA,$52636.06,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-B,NA,NA,$66707.35,$85237.17,NA,$74119.28,NA,$74119.28,NA,$70413.31,$70413.31,$71154.50,NA,NA,$74119.28,NA,$66707.35,NA,NA,$74119.28,NA,NA,NA,NA,NA,NA,$74119.28,NA,$66707.35,$74119.28,$74119.28,NA,NA,NA,NA,NA,$85237.17,$74119.28,NA,NA,$74119.28,NA,$74119.28,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-C,NA,NA,$56604.60,$72328.10,NA,$62894.00,NA,$62894.00,NA,$59749.30,$59749.30,$60378.24,NA,NA,$62894.00,NA,$56604.60,NA,NA,$62894.00,NA,NA,NA,NA,NA,NA,$62894.00,NA,$56604.60,$62894.00,$62894.00,NA,NA,NA,NA,NA,$72328.10,$62894.00,NA,NA,$62894.00,NA,$62894.00,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-D,NA,NA,$50991.25,$65155.48,NA,$56656.94,NA,$56656.94,NA,$53824.09,$53824.09,$54390.66,NA,NA,$56656.94,NA,$50991.25,NA,NA,$56656.94,NA,NA,NA,NA,NA,NA,$56656.94,NA,$50991.25,$56656.94,$56656.94,NA,NA,NA,NA,NA,$65155.48,$56656.94,NA,NA,$56656.94,NA,$56656.94,NA,NA
