Encompass Health Rehabilitation Hospital of Tallahassee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,ADVANET WORK COMP (ADVW) negotiated charge,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL NETWORK BLUE (BCNB) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,FIRST HEALTH (FTH) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HEALTHEASE STAYWELL (WLCS) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,NOVANET (NOVA) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-A,NA,NA,$13954.02,$16891.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14688.45,NA,NA,NA,NA,$14688.45,NA,NA,NA,NA,NA,$14688.45,NA,$16891.71,$14688.45,NA,$14688.45,$14688.45,NA,$13954.02,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-B,NA,NA,$19648.78,$23785.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20682.93,NA,NA,NA,NA,$20682.93,NA,NA,NA,NA,NA,$20682.93,NA,$23785.37,$20682.93,NA,$20682.93,$20682.93,NA,$19648.78,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-C,NA,NA,$16673.61,$20183.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17551.17,NA,NA,NA,NA,$17551.17,NA,NA,NA,NA,NA,$17551.17,NA,$20183.84,$17551.17,NA,$17551.17,$17551.17,NA,$16673.61,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-D,NA,NA,$15019.46,$18181.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15809.96,NA,NA,NA,NA,$15809.96,NA,NA,NA,NA,NA,$15809.96,NA,$18181.45,$15809.96,NA,$15809.96,$15809.96,NA,$15019.46,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-A,NA,NA,$18158.32,$21981.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19114.02,NA,NA,NA,NA,$19114.02,NA,NA,NA,NA,NA,$19114.02,NA,$21981.13,$19114.02,NA,$19114.02,$19114.02,NA,$18158.32,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-B,NA,NA,$25568.98,$30951.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26914.71,NA,NA,NA,NA,$26914.71,NA,NA,NA,NA,NA,$26914.71,NA,$30951.92,$26914.71,NA,$26914.71,$26914.71,NA,$25568.98,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-C,NA,NA,$21696.37,$26264.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22838.28,NA,NA,NA,NA,$22838.28,NA,NA,NA,NA,NA,$22838.28,NA,$26264.02,$22838.28,NA,$22838.28,$22838.28,NA,$21696.37,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-D,NA,NA,$19543.96,$23658.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20572.59,NA,NA,NA,NA,$20572.59,NA,NA,NA,NA,NA,$20572.59,NA,$23658.48,$20572.59,NA,$20572.59,$20572.59,NA,$19543.96,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-A,NA,NA,$21792.57,$26380.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22939.55,NA,NA,NA,NA,$22939.55,NA,NA,NA,NA,NA,$22939.55,NA,$26380.48,$22939.55,NA,$22939.55,$22939.55,NA,$21792.57,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-B,NA,NA,$30686.50,$37146.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32301.58,NA,NA,NA,NA,$32301.58,NA,NA,NA,NA,NA,$32301.58,NA,$37146.82,$32301.58,NA,$32301.58,$32301.58,NA,$30686.50,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-C,NA,NA,$26039.95,$31522.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27410.47,NA,NA,NA,NA,$27410.47,NA,NA,NA,NA,NA,$27410.47,NA,$31522.04,$27410.47,NA,$27410.47,$27410.47,NA,$26039.95,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-D,NA,NA,$23456.77,$28395.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24691.34,NA,NA,NA,NA,$24691.34,NA,NA,NA,NA,NA,$24691.34,NA,$28395.04,$24691.34,NA,$24691.34,$24691.34,NA,$23456.77,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-A,NA,NA,$36899.62,$44667.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38841.70,NA,NA,NA,NA,$38841.70,NA,NA,NA,NA,NA,$38841.70,NA,$44667.96,$38841.70,NA,$38841.70,$38841.70,NA,$36899.62,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-B,NA,NA,$51957.85,$62896.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54692.47,NA,NA,NA,NA,$54692.47,NA,NA,NA,NA,NA,$54692.47,NA,$62896.34,$54692.47,NA,$54692.47,$54692.47,NA,$51957.85,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-C,NA,NA,$44090.58,$53372.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46411.14,NA,NA,NA,NA,$46411.14,NA,NA,NA,NA,NA,$46411.14,NA,$53372.81,$46411.14,NA,$46411.14,$46411.14,NA,$44090.58,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-D,NA,NA,$39716.84,$48078.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41807.20,NA,NA,NA,NA,$41807.20,NA,NA,NA,NA,NA,$41807.20,NA,$48078.29,$41807.20,NA,$41807.20,$41807.20,NA,$39716.84,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-A,NA,NA,$27985.59,$33877.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29458.51,NA,NA,NA,NA,$29458.51,NA,NA,NA,NA,NA,$29458.51,NA,$33877.29,$29458.51,NA,$29458.51,$29458.51,NA,$27985.59,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-B,NA,NA,$39406.69,$47702.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41480.73,NA,NA,NA,NA,$41480.73,NA,NA,NA,NA,NA,$41480.73,NA,$47702.84,$41480.73,NA,$41480.73,$41480.73,NA,$39406.69,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-C,NA,NA,$33439.11,$40478.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35199.07,NA,NA,NA,NA,$35199.07,NA,NA,NA,NA,NA,$35199.07,NA,$40478.93,$35199.07,NA,$35199.07,$35199.07,NA,$33439.11,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-D,NA,NA,$30122.20,$36463.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31707.58,NA,NA,NA,NA,$31707.58,NA,NA,NA,NA,NA,$31707.58,NA,$36463.71,$31707.58,NA,$31707.58,$31707.58,NA,$30122.20,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-A,NA,NA,$36678.49,$44400.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38608.94,NA,NA,NA,NA,$38608.94,NA,NA,NA,NA,NA,$38608.94,NA,$44400.28,$38608.94,NA,$38608.94,$38608.94,NA,$36678.49,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-B,NA,NA,$51647.69,$62520.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54365.99,NA,NA,NA,NA,$54365.99,NA,NA,NA,NA,NA,$54365.99,NA,$62520.89,$54365.99,NA,$54365.99,$54365.99,NA,$51647.69,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-C,NA,NA,$43826.37,$53052.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46133.03,NA,NA,NA,NA,$46133.03,NA,NA,NA,NA,NA,$46133.03,NA,$53052.98,$46133.03,NA,$46133.03,$46133.03,NA,$43826.37,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-D,NA,NA,$39478.49,$47789.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41556.30,NA,NA,NA,NA,$41556.30,NA,NA,NA,NA,NA,$41556.30,NA,$47789.75,$41556.30,NA,$41556.30,$41556.30,NA,$39478.49,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-A,NA,NA,$41879.30,$50696.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44083.48,NA,NA,NA,NA,$44083.48,NA,NA,NA,NA,NA,$44083.48,NA,$50696.00,$44083.48,NA,$44083.48,$44083.48,NA,$41879.30,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-B,NA,NA,$58972.19,$71387.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$62075.99,NA,NA,NA,NA,$62075.99,NA,NA,NA,NA,NA,$62075.99,NA,$71387.39,$62075.99,NA,$62075.99,$62075.99,NA,$58972.19,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-C,NA,NA,$50040.93,$60575.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52674.66,NA,NA,NA,NA,$52674.66,NA,NA,NA,NA,NA,$52674.66,NA,$60575.86,$52674.66,NA,$52674.66,$52674.66,NA,$50040.93,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-D,NA,NA,$45078.48,$54568.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47451.03,NA,NA,NA,NA,$47451.03,NA,NA,NA,NA,NA,$47451.03,NA,$54568.68,$47451.03,NA,$47451.03,$47451.03,NA,$45078.48,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-A,NA,NA,$12743.56,$15426.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13414.28,NA,NA,NA,NA,$13414.28,NA,NA,NA,NA,NA,$13414.28,NA,$15426.42,$13414.28,NA,$13414.28,$13414.28,NA,$12743.56,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-B,NA,NA,$18805.91,$22765.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19795.70,NA,NA,NA,NA,$19795.70,NA,NA,NA,NA,NA,$19795.70,NA,$22765.05,$19795.70,NA,$19795.70,$19795.70,NA,$18805.91,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-C,NA,NA,$14614.54,$17691.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15383.72,NA,NA,NA,NA,$15383.72,NA,NA,NA,NA,NA,$15383.72,NA,$17691.28,$15383.72,NA,$15383.72,$15383.72,NA,$14614.54,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-D,NA,NA,$13797.51,$16702.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14523.70,NA,NA,NA,NA,$14523.70,NA,NA,NA,NA,NA,$14523.70,NA,$16702.25,$14523.70,NA,$14523.70,$14523.70,NA,$13797.51,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-A,NA,NA,$15835.05,$19168.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16668.47,NA,NA,NA,NA,$16668.47,NA,NA,NA,NA,NA,$16668.47,NA,$19168.74,$16668.47,NA,$16668.47,$16668.47,NA,$15835.05,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-B,NA,NA,$23366.31,$28285.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24596.12,NA,NA,NA,NA,$24596.12,NA,NA,NA,NA,NA,$24596.12,NA,$28285.54,$24596.12,NA,$24596.12,$24596.12,NA,$23366.31,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-C,NA,NA,$18158.32,$21981.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19114.02,NA,NA,NA,NA,$19114.02,NA,NA,NA,NA,NA,$19114.02,NA,$21981.13,$19114.02,NA,$19114.02,$19114.02,NA,$18158.32,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-D,NA,NA,$17143.15,$20752.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18045.42,NA,NA,NA,NA,$18045.42,NA,NA,NA,NA,NA,$18045.42,NA,$20752.23,$18045.42,NA,$18045.42,$18045.42,NA,$17143.15,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-A,NA,NA,$18389.50,$22260.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19357.37,NA,NA,NA,NA,$19357.37,NA,NA,NA,NA,NA,$19357.37,NA,$22260.98,$19357.37,NA,$19357.37,$19357.37,NA,$18389.50,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-B,NA,NA,$27136.97,$32850.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28565.23,NA,NA,NA,NA,$28565.23,NA,NA,NA,NA,NA,$28565.23,NA,$32850.02,$28565.23,NA,$28565.23,$28565.23,NA,$27136.97,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-C,NA,NA,$21088.98,$25528.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22198.93,NA,NA,NA,NA,$22198.93,NA,NA,NA,NA,NA,$22198.93,NA,$25528.77,$22198.93,NA,$22198.93,$22198.93,NA,$21088.98,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-D,NA,NA,$19910.11,$24101.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20958.02,NA,NA,NA,NA,$20958.02,NA,NA,NA,NA,NA,$20958.02,NA,$24101.72,$20958.02,NA,$20958.02,$20958.02,NA,$19910.11,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-A,NA,NA,$21900.26,$26510.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23052.91,NA,NA,NA,NA,$23052.91,NA,NA,NA,NA,NA,$23052.91,NA,$26510.85,$23052.91,NA,$23052.91,$23052.91,NA,$21900.26,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-B,NA,NA,$32316.24,$39119.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34017.10,NA,NA,NA,NA,$34017.10,NA,NA,NA,NA,NA,$34017.10,NA,$39119.66,$34017.10,NA,$34017.10,$34017.10,NA,$32316.24,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-C,NA,NA,$25115.23,$30402.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26437.09,NA,NA,NA,NA,$26437.09,NA,NA,NA,NA,NA,$26437.09,NA,$30402.65,$26437.09,NA,$26437.09,$26437.09,NA,$25115.23,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-D,NA,NA,$23710.93,$28702.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24958.87,NA,NA,NA,NA,$24958.87,NA,NA,NA,NA,NA,$24958.87,NA,$28702.70,$24958.87,NA,$24958.87,$24958.87,NA,$23710.93,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-A,NA,NA,$28572.87,$34588.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30076.70,NA,NA,NA,NA,$30076.70,NA,NA,NA,NA,NA,$30076.70,NA,$34588.21,$30076.70,NA,$30076.70,$30076.70,NA,$28572.87,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-B,NA,NA,$42160.74,$51036.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44379.72,NA,NA,NA,NA,$44379.72,NA,NA,NA,NA,NA,$44379.72,NA,$51036.68,$44379.72,NA,$44379.72,$44379.72,NA,$42160.74,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-C,NA,NA,$32765.68,$39663.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34490.19,NA,NA,NA,NA,$34490.19,NA,NA,NA,NA,NA,$34490.19,NA,$39663.72,$34490.19,NA,$34490.19,$34490.19,NA,$32765.68,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-D,NA,NA,$30933.48,$37445.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32561.56,NA,NA,NA,NA,$32561.56,NA,NA,NA,NA,NA,$32561.56,NA,$37445.79,$32561.56,NA,$32561.56,$32561.56,NA,$30933.48,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-A,NA,NA,$12592.80,$15243.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13255.57,NA,NA,NA,NA,$13255.57,NA,NA,NA,NA,NA,$13255.57,NA,$15243.91,$13255.57,NA,$13255.57,$13255.57,NA,$12592.80,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-B,NA,NA,$19632.99,$23766.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20666.30,NA,NA,NA,NA,$20666.30,NA,NA,NA,NA,NA,$20666.30,NA,$23766.25,$20666.30,NA,$20666.30,$20666.30,NA,$19632.99,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-C,NA,NA,$14779.66,$17891.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15557.54,NA,NA,NA,NA,$15557.54,NA,NA,NA,NA,NA,$15557.54,NA,$17891.17,$15557.54,NA,$15557.54,$15557.54,NA,$14779.66,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-D,NA,NA,$13854.95,$16771.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14584.15,NA,NA,NA,NA,$14584.15,NA,NA,NA,NA,NA,$14584.15,NA,$16771.78,$14584.15,NA,$14584.15,$14584.15,NA,$13854.95,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-A,NA,NA,$15672.79,$18972.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16497.67,NA,NA,NA,NA,$16497.67,NA,NA,NA,NA,NA,$16497.67,NA,$18972.32,$16497.67,NA,$16497.67,$16497.67,NA,$15672.79,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-B,NA,NA,$24433.18,$29577.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25719.14,NA,NA,NA,NA,$25719.14,NA,NA,NA,NA,NA,$25719.14,NA,$29577.01,$25719.14,NA,$25719.14,$25719.14,NA,$24433.18,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-C,NA,NA,$18392.37,$22264.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19360.39,NA,NA,NA,NA,$19360.39,NA,NA,NA,NA,NA,$19360.39,NA,$22264.45,$19360.39,NA,$19360.39,$19360.39,NA,$18392.37,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-D,NA,NA,$17242.22,$20872.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18149.71,NA,NA,NA,NA,$18149.71,NA,NA,NA,NA,NA,$18149.71,NA,$20872.16,$18149.71,NA,$18149.71,$18149.71,NA,$17242.22,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-A,NA,NA,$18616.37,$22535.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19596.18,NA,NA,NA,NA,$19596.18,NA,NA,NA,NA,NA,$19596.18,NA,$22535.61,$19596.18,NA,$19596.18,$19596.18,NA,$18616.37,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-B,NA,NA,$29025.17,$35135.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30552.81,NA,NA,NA,NA,$30552.81,NA,NA,NA,NA,NA,$30552.81,NA,$35135.74,$30552.81,NA,$30552.81,$30552.81,NA,$29025.17,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-C,NA,NA,$21848.57,$26448.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22998.50,NA,NA,NA,NA,$22998.50,NA,NA,NA,NA,NA,$22998.50,NA,$26448.27,$22998.50,NA,$22998.50,$22998.50,NA,$21848.57,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-D,NA,NA,$20481.60,$24793.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21559.58,NA,NA,NA,NA,$21559.58,NA,NA,NA,NA,NA,$21559.58,NA,$24793.52,$21559.58,NA,$21559.58,$21559.58,NA,$20481.60,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-A,NA,NA,$21603.03,$26151.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22740.04,NA,NA,NA,NA,$22740.04,NA,NA,NA,NA,NA,$22740.04,NA,$26151.04,$22740.04,NA,$22740.04,$22740.04,NA,$21603.03,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-B,NA,NA,$33680.34,$40770.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35452.99,NA,NA,NA,NA,$35452.99,NA,NA,NA,NA,NA,$35452.99,NA,$40770.94,$35452.99,NA,$35452.99,$35452.99,NA,$33680.34,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-C,NA,NA,$25353.59,$30691.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26687.99,NA,NA,NA,NA,$26687.99,NA,NA,NA,NA,NA,$26687.99,NA,$30691.19,$26687.99,NA,$26687.99,$26687.99,NA,$25353.59,NA,NA
