Encompass Health Rehabilitation Hospital of Largo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,ADVANET WORK COMP (ADVW) negotiated charge,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,AVMED HEALTH PLAN (AVMD) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,CARE PLUS HEALTH PLAN (CPH) negotiated charge,CAREPLUS HEALTH MEDICARE (CPHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA EXCHANGE (HUMZ) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,HUMANA MILITARY (TRICARE) (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIME HEALTH SERVICES WC (PRMW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-A,NA,NA,$22044.89,$26685.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23205.15,NA,NA,NA,$23205.15,NA,NA,NA,NA,$23205.15,NA,$23205.15,NA,NA,NA,$26685.92,$23205.15,NA,$23205.15,NA,$22044.89,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-B,NA,NA,$31752.16,$38436.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33423.33,NA,NA,NA,$33423.33,NA,NA,NA,NA,$33423.33,NA,$33423.33,NA,NA,NA,$38436.83,$33423.33,NA,$33423.33,NA,$31752.16,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-C,NA,NA,$25739.10,$31157.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27093.79,NA,NA,NA,$27093.79,NA,NA,NA,NA,$27093.79,NA,$27093.79,NA,NA,NA,$31157.86,$27093.79,NA,$27093.79,NA,$25739.10,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-D,NA,NA,$23782.90,$28789.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25034.63,NA,NA,NA,$25034.63,NA,NA,NA,NA,$25034.63,NA,$25034.63,NA,NA,NA,$28789.82,$25034.63,NA,$25034.63,NA,$23782.90,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-A,NA,NA,$24079.34,$29148.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25346.67,NA,NA,NA,$25346.67,NA,NA,NA,NA,$25346.67,NA,$25346.67,NA,NA,NA,$29148.67,$25346.67,NA,$25346.67,NA,$24079.34,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-B,NA,NA,$34683.46,$41985.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36508.90,NA,NA,NA,$36508.90,NA,NA,NA,NA,$36508.90,NA,$36508.90,NA,NA,NA,$41985.24,$36508.90,NA,$36508.90,NA,$34683.46,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-C,NA,NA,$28116.64,$34035.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29596.46,NA,NA,NA,$29596.46,NA,NA,NA,NA,$29596.46,NA,$29596.46,NA,NA,NA,$34035.93,$29596.46,NA,$29596.46,NA,$28116.64,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-D,NA,NA,$25978.36,$31447.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27345.64,NA,NA,NA,$27345.64,NA,NA,NA,NA,$27345.64,NA,$27345.64,NA,NA,NA,$31447.49,$27345.64,NA,$27345.64,NA,$25978.36,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-A,NA,NA,$14623.36,$17701.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15393.01,NA,NA,NA,$15393.01,NA,NA,NA,NA,$15393.01,NA,$15393.01,NA,NA,NA,$17701.96,$15393.01,NA,$15393.01,NA,$14623.36,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-B,NA,NA,$20591.28,$24926.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21675.03,NA,NA,NA,$21675.03,NA,NA,NA,NA,$21675.03,NA,$21675.03,NA,NA,NA,$24926.29,$21675.03,NA,$21675.03,NA,$20591.28,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-C,NA,NA,$17473.40,$21152.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18393.05,NA,NA,NA,$18393.05,NA,NA,NA,NA,$18393.05,NA,$18393.05,NA,NA,NA,$21152.01,$18393.05,NA,$18393.05,NA,$17473.40,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-D,NA,NA,$15739.90,$19053.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16568.32,NA,NA,NA,$16568.32,NA,NA,NA,NA,$16568.32,NA,$16568.32,NA,NA,NA,$19053.56,$16568.32,NA,$16568.32,NA,$15739.90,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-A,NA,NA,$19029.33,$23035.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20030.87,NA,NA,NA,$20030.87,NA,NA,NA,NA,$20030.87,NA,$20030.87,NA,NA,NA,$23035.50,$20030.87,NA,$20030.87,NA,$19029.33,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-B,NA,NA,$26795.45,$32436.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28205.74,NA,NA,NA,$28205.74,NA,NA,NA,NA,$28205.74,NA,$28205.74,NA,NA,NA,$32436.60,$28205.74,NA,$28205.74,NA,$26795.45,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-C,NA,NA,$22737.08,$27523.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23933.77,NA,NA,NA,$23933.77,NA,NA,NA,NA,$23933.77,NA,$23933.77,NA,NA,NA,$27523.84,$23933.77,NA,$23933.77,NA,$22737.08,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-D,NA,NA,$20481.43,$24793.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21559.40,NA,NA,NA,$21559.40,NA,NA,NA,NA,$21559.40,NA,$21559.40,NA,NA,NA,$24793.31,$21559.40,NA,$21559.40,NA,$20481.43,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-A,NA,NA,$22837.90,$27645.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24039.90,NA,NA,NA,$24039.90,NA,NA,NA,NA,$24039.90,NA,$24039.90,NA,NA,NA,$27645.88,$24039.90,NA,$24039.90,NA,$22837.90,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-B,NA,NA,$32158.45,$38928.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33851.00,NA,NA,NA,$33851.00,NA,NA,NA,NA,$33851.00,NA,$33851.00,NA,NA,NA,$38928.65,$33851.00,NA,$33851.00,NA,$32158.45,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-C,NA,NA,$27289.01,$33034.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28725.28,NA,NA,NA,$28725.28,NA,NA,NA,NA,$28725.28,NA,$28725.28,NA,NA,NA,$33034.07,$28725.28,NA,$28725.28,NA,$27289.01,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-D,NA,NA,$24581.93,$29757.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25875.72,NA,NA,NA,$25875.72,NA,NA,NA,NA,$25875.72,NA,$25875.72,NA,NA,NA,$29757.08,$25875.72,NA,$25875.72,NA,$24581.93,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-A,NA,NA,$38669.59,$46810.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40704.84,NA,NA,NA,$40704.84,NA,NA,NA,NA,$40704.84,NA,$40704.84,NA,NA,NA,$46810.56,$40704.84,NA,$40704.84,NA,$38669.59,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-B,NA,NA,$54450.12,$65913.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$57315.92,NA,NA,NA,$57315.92,NA,NA,NA,NA,$57315.92,NA,$57315.92,NA,NA,NA,$65913.31,$57315.92,NA,$57315.92,NA,$54450.12,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-C,NA,NA,$46205.48,$55932.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48637.35,NA,NA,NA,$48637.35,NA,NA,NA,NA,$48637.35,NA,$48637.35,NA,NA,NA,$55932.95,$48637.35,NA,$48637.35,NA,$46205.48,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-D,NA,NA,$41621.95,$50384.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43812.58,NA,NA,NA,$43812.58,NA,NA,NA,NA,$43812.58,NA,$43812.58,NA,NA,NA,$50384.47,$43812.58,NA,$43812.58,NA,$41621.95,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-A,NA,NA,$29327.98,$35502.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30871.56,NA,NA,NA,$30871.56,NA,NA,NA,NA,$30871.56,NA,$30871.56,NA,NA,NA,$35502.29,$30871.56,NA,$30871.56,NA,$29327.98,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-B,NA,NA,$41296.92,$49991.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43470.45,NA,NA,NA,$43470.45,NA,NA,NA,NA,$43470.45,NA,$43470.45,NA,NA,NA,$49991.01,$43470.45,NA,$43470.45,NA,$41296.92,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-C,NA,NA,$35043.10,$42420.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36887.47,NA,NA,NA,$36887.47,NA,NA,NA,NA,$36887.47,NA,$36887.47,NA,NA,NA,$42420.59,$36887.47,NA,$36887.47,NA,$35043.10,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-D,NA,NA,$31567.08,$38212.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33228.50,NA,NA,NA,$33228.50,NA,NA,NA,NA,$33228.50,NA,$33228.50,NA,NA,NA,$38212.78,$33228.50,NA,$33228.50,NA,$31567.08,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-A,NA,NA,$38437.86,$46530.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40460.90,NA,NA,NA,$40460.90,NA,NA,NA,NA,$40460.90,NA,$40460.90,NA,NA,NA,$46530.04,$40460.90,NA,$40460.90,NA,$38437.86,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-B,NA,NA,$54125.09,$65519.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$56973.78,NA,NA,NA,$56973.78,NA,NA,NA,NA,$56973.78,NA,$56973.78,NA,NA,NA,$65519.85,$56973.78,NA,$56973.78,NA,$54125.09,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-C,NA,NA,$45928.61,$55597.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48345.90,NA,NA,NA,$48345.90,NA,NA,NA,NA,$48345.90,NA,$48345.90,NA,NA,NA,$55597.79,$48345.90,NA,$48345.90,NA,$45928.61,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-D,NA,NA,$41372.16,$50082.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43549.64,NA,NA,NA,$43549.64,NA,NA,NA,NA,$43549.64,NA,$43549.64,NA,NA,NA,$50082.09,$43549.64,NA,$43549.64,NA,$41372.16,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-A,NA,NA,$43888.14,$53127.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46198.04,NA,NA,NA,$46198.04,NA,NA,NA,NA,$46198.04,NA,$46198.04,NA,NA,NA,$53127.75,$46198.04,NA,$46198.04,NA,$43888.14,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-B,NA,NA,$61800.93,$74811.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$65053.61,NA,NA,NA,$65053.61,NA,NA,NA,NA,$65053.61,NA,$65053.61,NA,NA,NA,$74811.65,$65053.61,NA,$65053.61,NA,$61800.93,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-C,NA,NA,$52441.25,$63481.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$55201.32,NA,NA,NA,$55201.32,NA,NA,NA,NA,$55201.32,NA,$55201.32,NA,NA,NA,$63481.52,$55201.32,NA,$55201.32,NA,$52441.25,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-D,NA,NA,$47240.77,$57186.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49727.12,NA,NA,NA,$49727.12,NA,NA,NA,NA,$49727.12,NA,$49727.12,NA,NA,NA,$57186.19,$49727.12,NA,$49727.12,NA,$47240.77,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-A,NA,NA,$13354.84,$16166.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14057.72,NA,NA,NA,$14057.72,NA,NA,NA,NA,$14057.72,NA,$14057.72,NA,NA,NA,$16166.38,$14057.72,NA,$14057.72,NA,$13354.84,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-B,NA,NA,$19707.98,$23857.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20745.24,NA,NA,NA,$20745.24,NA,NA,NA,NA,$20745.24,NA,$20745.24,NA,NA,NA,$23857.03,$20745.24,NA,$20745.24,NA,$19707.98,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-C,NA,NA,$15315.55,$18539.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16121.64,NA,NA,NA,$16121.64,NA,NA,NA,NA,$16121.64,NA,$16121.64,NA,NA,NA,$18539.88,$16121.64,NA,$16121.64,NA,$15315.55,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-D,NA,NA,$14459.34,$17503.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15220.36,NA,NA,NA,$15220.36,NA,NA,NA,NA,$15220.36,NA,$15220.36,NA,NA,NA,$17503.41,$15220.36,NA,$15220.36,NA,$14459.34,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-A,NA,NA,$16594.61,$20088.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17468.01,NA,NA,NA,$17468.01,NA,NA,NA,NA,$17468.01,NA,$17468.01,NA,NA,NA,$20088.21,$17468.01,NA,$17468.01,NA,$16594.61,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-B,NA,NA,$24487.13,$29642.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25775.93,NA,NA,NA,$25775.93,NA,NA,NA,NA,$25775.93,NA,$25775.93,NA,NA,NA,$29642.32,$25775.93,NA,$25775.93,NA,$24487.13,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-C,NA,NA,$19029.33,$23035.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20030.87,NA,NA,NA,$20030.87,NA,NA,NA,NA,$20030.87,NA,$20030.87,NA,NA,NA,$23035.50,$20030.87,NA,$20030.87,NA,$19029.33,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-D,NA,NA,$17965.46,$21747.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18911.01,NA,NA,NA,$18911.01,NA,NA,NA,NA,$18911.01,NA,$18911.01,NA,NA,NA,$21747.66,$18911.01,NA,$18911.01,NA,$17965.46,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-A,NA,NA,$19271.60,$23328.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20285.89,NA,NA,NA,$20285.89,NA,NA,NA,NA,$20285.89,NA,$20285.89,NA,NA,NA,$23328.77,$20285.89,NA,$20285.89,NA,$19271.60,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-B,NA,NA,$28438.66,$34425.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29935.43,NA,NA,NA,$29935.43,NA,NA,NA,NA,$29935.43,NA,$29935.43,NA,NA,NA,$34425.74,$29935.43,NA,$29935.43,NA,$28438.66,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-C,NA,NA,$22100.57,$26753.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23263.75,NA,NA,NA,$23263.75,NA,NA,NA,NA,$23263.75,NA,$23263.75,NA,NA,NA,$26753.32,$23263.75,NA,$23263.75,NA,$22100.57,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-D,NA,NA,$20865.15,$25257.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21963.31,NA,NA,NA,$21963.31,NA,NA,NA,NA,$21963.31,NA,$21963.31,NA,NA,NA,$25257.81,$21963.31,NA,$21963.31,NA,$20865.15,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-A,NA,NA,$22950.76,$27782.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24158.70,NA,NA,NA,$24158.70,NA,NA,NA,NA,$24158.70,NA,$24158.70,NA,NA,NA,$27782.50,$24158.70,NA,$24158.70,NA,$22950.76,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-B,NA,NA,$33866.37,$40996.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35648.81,NA,NA,NA,$35648.81,NA,NA,NA,NA,$35648.81,NA,$35648.81,NA,NA,NA,$40996.13,$35648.81,NA,$35648.81,NA,$33866.37,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-C,NA,NA,$26319.94,$31860.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27705.20,NA,NA,NA,$27705.20,NA,NA,NA,NA,$27705.20,NA,$27705.20,NA,NA,NA,$31860.98,$27705.20,NA,$27705.20,NA,$26319.94,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-D,NA,NA,$24848.28,$30079.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26156.08,NA,NA,NA,$26156.08,NA,NA,NA,NA,$26156.08,NA,$26156.08,NA,NA,NA,$30079.49,$26156.08,NA,$26156.08,NA,$24848.28,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-A,NA,NA,$29943.43,$36247.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31519.40,NA,NA,NA,$31519.40,NA,NA,NA,NA,$31519.40,NA,$31519.40,NA,NA,NA,$36247.31,$31519.40,NA,$31519.40,NA,$29943.43,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-B,NA,NA,$44183.07,$53484.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46508.50,NA,NA,NA,$46508.50,NA,NA,NA,NA,$46508.50,NA,$46508.50,NA,NA,NA,$53484.77,$46508.50,NA,$46508.50,NA,$44183.07,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-C,NA,NA,$34337.36,$41566.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36144.59,NA,NA,NA,$36144.59,NA,NA,NA,NA,$36144.59,NA,$36144.59,NA,NA,NA,$41566.28,$36144.59,NA,$36144.59,NA,$34337.36,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-D,NA,NA,$32417.27,$39241.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34123.44,NA,NA,NA,$34123.44,NA,NA,NA,NA,$34123.44,NA,$34123.44,NA,NA,NA,$39241.96,$34123.44,NA,$34123.44,NA,$32417.27,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-A,NA,NA,$13196.84,$15975.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13891.41,NA,NA,NA,$13891.41,NA,NA,NA,NA,$13891.41,NA,$13891.41,NA,NA,NA,$15975.12,$13891.41,NA,$13891.41,NA,$13196.84,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-B,NA,NA,$20574.73,$24906.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21657.61,NA,NA,NA,$21657.61,NA,NA,NA,NA,$21657.61,NA,$21657.61,NA,NA,NA,$24906.25,$21657.61,NA,$21657.61,NA,$20574.73,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-C,NA,NA,$15488.60,$18749.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16303.79,NA,NA,NA,$16303.79,NA,NA,NA,NA,$16303.79,NA,$16303.79,NA,NA,NA,$18749.36,$16303.79,NA,$16303.79,NA,$15488.60,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-D,NA,NA,$14519.53,$17576.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15283.72,NA,NA,NA,$15283.72,NA,NA,NA,NA,$15283.72,NA,$15283.72,NA,NA,NA,$17576.27,$15283.72,NA,$15283.72,NA,$14519.53,NA,NA,NA
