Encompass Health Rehabilitation Hospital of New England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALLWAYS HEALTH PART EXCH (ALLZ) negotiated charge,ALLWAYS HEALTH PART MCD (ALLD) negotiated charge,ALLWAYS HEALTH PARTNERS (ALL) negotiated charge,AMERICAS CHOICE PROV NET (ACPN) negotiated charge,BCBS OF MA (BCMA) negotiated charge,BCBS OF MA EXCHANGE (BMAZ) negotiated charge,BCBS OF MA MEDICARE (BMAM) negotiated charge,BCMA BLUE BENEFIT ADMIN (BCMB) negotiated charge,BMC HEALTH PLAN DUAL (BMCB) negotiated charge,BMC HEALTH PLAN MEDICAID (BMCD) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COMMONWEALTH ALLIANCE DUA (COM) negotiated charge,COMMONWEALTH CARE MEDICAR (COCM) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,FALLON (FAL) negotiated charge,FALLON EXCHANGE (FALZ) negotiated charge,FALLON MEDICAID (FALD) negotiated charge,FALLON MEDICARE (FALM) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,GMMI INC (GMI) negotiated charge,HARVARD PILGRIM (HPH) negotiated charge,HARVARD PILGRIM EXCHANGE (HPHZ) negotiated charge,HARVARD PILGRIM MEDICARE (HPIM) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK HEALTH COM CARES (NTHD) negotiated charge,NETWORK HEALTH EXCHANGE (NTHZ) negotiated charge,NETWORK HEALTH MEDICAID (NTH) negotiated charge,NETWORK HEATLH DUAL ELIG (NTHB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,SENIOR WHOLE HEALTH MCR (WHSM) negotiated charge,TUFTS (TFT) negotiated charge,TUFTS MEDICARE (TFTS) negotiated charge,UNICARE (UNC) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,UNITED HEALTHCARE VA CCN (UHV) negotiated charge,WELLSENSE MEDICARE (WLSM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-B,NA,NA,$30112.05,$38476.51,NA,$33457.83,NA,NA,NA,NA,NA,NA,NA,NA,$33457.83,NA,NA,NA,$33457.83,NA,$30112.05,$30112.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33457.83,$33457.83,NA,NA,NA,NA,$33457.83,NA,$38476.51,$33457.83,$33457.83,NA,NA,NA,NA,$30112.05,$33457.83,$33457.83,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-C,NA,NA,$24619.21,$31457.87,NA,$27354.67,NA,NA,NA,NA,NA,NA,NA,NA,$27354.67,NA,NA,NA,$27354.67,NA,$24619.21,$24619.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27354.67,$27354.67,NA,NA,NA,NA,$27354.67,NA,$31457.87,$27354.67,$27354.67,NA,NA,NA,NA,$24619.21,$27354.67,$27354.67,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0203-D,NA,NA,$22114.91,$28257.94,NA,$24572.13,NA,NA,NA,NA,NA,NA,NA,NA,$24572.13,NA,NA,NA,$24572.13,NA,$22114.91,$22114.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24572.13,$24572.13,NA,NA,NA,NA,$24572.13,NA,$28257.94,$24572.13,$24572.13,NA,NA,NA,NA,$22114.91,$24572.13,$24572.13,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-A,NA,NA,$25727.81,$32874.42,NA,$28586.45,NA,NA,NA,NA,NA,NA,NA,NA,$28586.45,NA,NA,NA,$28586.45,NA,$25727.81,$25727.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28586.45,$28586.45,NA,NA,NA,NA,$28586.45,NA,$32874.42,$28586.45,$28586.45,NA,NA,NA,NA,$25727.81,$28586.45,$28586.45,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-B,NA,NA,$37476.19,$47886.24,NA,$41640.21,NA,NA,NA,NA,NA,NA,NA,NA,$41640.21,NA,NA,NA,$41640.21,NA,$37476.19,$37476.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41640.21,$41640.21,NA,NA,NA,NA,$41640.21,NA,$47886.24,$41640.21,$41640.21,NA,NA,NA,NA,$37476.19,$41640.21,$41640.21,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-C,NA,NA,$30643.00,$39154.94,NA,$34047.78,NA,NA,NA,NA,NA,NA,NA,NA,$34047.78,NA,NA,NA,$34047.78,NA,$30643.00,$30643.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34047.78,$34047.78,NA,NA,NA,NA,$34047.78,NA,$39154.94,$34047.78,$34047.78,NA,NA,NA,NA,$30643.00,$34047.78,$34047.78,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-D,NA,NA,$27524.74,$35170.50,NA,$30583.04,NA,NA,NA,NA,NA,NA,NA,NA,$30583.04,NA,NA,NA,$30583.04,NA,$27524.74,$27524.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30583.04,$30583.04,NA,NA,NA,NA,$30583.04,NA,$35170.50,$30583.04,$30583.04,NA,NA,NA,NA,$27524.74,$30583.04,$30583.04,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-A,NA,NA,$32493.55,$41519.53,NA,$36103.94,NA,NA,NA,NA,NA,NA,NA,NA,$36103.94,NA,NA,NA,$36103.94,NA,$32493.55,$32493.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36103.94,$36103.94,NA,NA,NA,NA,$36103.94,NA,$41519.53,$36103.94,$36103.94,NA,NA,NA,NA,$32493.55,$36103.94,$36103.94,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-B,NA,NA,$47334.25,$60482.65,NA,$52593.61,NA,NA,NA,NA,NA,NA,NA,NA,$52593.61,NA,NA,NA,$52593.61,NA,$47334.25,$47334.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52593.61,$52593.61,NA,NA,NA,NA,$52593.61,NA,$60482.65,$52593.61,$52593.61,NA,NA,NA,NA,$47334.25,$52593.61,$52593.61,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-C,NA,NA,$38700.67,$49450.85,NA,$43000.74,NA,NA,NA,NA,NA,NA,NA,NA,$43000.74,NA,NA,NA,$43000.74,NA,$38700.67,$38700.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43000.74,$43000.74,NA,NA,NA,NA,$43000.74,NA,$49450.85,$43000.74,$43000.74,NA,NA,NA,NA,$38700.67,$43000.74,$43000.74,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-D,NA,NA,$34764.36,$44421.13,NA,$38627.07,NA,NA,NA,NA,NA,NA,NA,NA,$38627.07,NA,NA,NA,$38627.07,NA,$34764.36,$34764.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38627.07,$38627.07,NA,NA,NA,NA,$38627.07,NA,$44421.13,$38627.07,$38627.07,NA,NA,NA,NA,$34764.36,$38627.07,$38627.07,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-A,NA,NA,$14724.83,$18815.06,NA,$16360.92,NA,NA,NA,NA,NA,NA,NA,NA,$16360.92,NA,NA,NA,$16360.92,NA,$14724.83,$14724.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16360.92,$16360.92,NA,NA,NA,NA,$16360.92,NA,$18815.06,$16360.92,$16360.92,NA,NA,NA,NA,$14724.83,$16360.92,$16360.92,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-B,NA,NA,$21208.66,$27099.96,NA,$23565.18,NA,NA,NA,NA,NA,NA,NA,NA,$23565.18,NA,NA,NA,$23565.18,NA,$21208.66,$21208.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23565.18,$23565.18,NA,NA,NA,NA,$23565.18,NA,$27099.96,$23565.18,$23565.18,NA,NA,NA,NA,$21208.66,$23565.18,$23565.18,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-C,NA,NA,$17192.80,$21968.58,NA,$19103.11,NA,NA,NA,NA,NA,NA,NA,NA,$19103.11,NA,NA,NA,$19103.11,NA,$17192.80,$17192.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19103.11,$19103.11,NA,NA,NA,NA,$19103.11,NA,$21968.58,$19103.11,$19103.11,NA,NA,NA,NA,$17192.80,$19103.11,$19103.11,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-D,NA,NA,$15885.31,$20297.90,NA,$17650.35,NA,NA,NA,NA,NA,NA,NA,NA,$17650.35,NA,NA,NA,$17650.35,NA,$15885.31,$15885.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17650.35,$17650.35,NA,NA,NA,NA,$17650.35,NA,$20297.90,$17650.35,$17650.35,NA,NA,NA,NA,$15885.31,$17650.35,$17650.35,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-A,NA,NA,$18865.21,$24105.55,NA,$20961.35,NA,NA,NA,NA,NA,NA,NA,NA,$20961.35,NA,NA,NA,$20961.35,NA,$18865.21,$18865.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20961.35,$20961.35,NA,NA,NA,NA,$20961.35,NA,$24105.55,$20961.35,$20961.35,NA,NA,NA,NA,$18865.21,$20961.35,$20961.35,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-B,NA,NA,$27171.92,$34719.68,NA,$30191.03,NA,NA,NA,NA,NA,NA,NA,NA,$30191.03,NA,NA,NA,$30191.03,NA,$27171.92,$27171.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30191.03,$30191.03,NA,NA,NA,NA,$30191.03,NA,$34719.68,$30191.03,$30191.03,NA,NA,NA,NA,$27171.92,$30191.03,$30191.03,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-C,NA,NA,$22028.44,$28147.45,NA,$24476.04,NA,NA,NA,NA,NA,NA,NA,NA,$24476.04,NA,NA,NA,$24476.04,NA,$22028.44,$22028.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24476.04,$24476.04,NA,NA,NA,NA,$24476.04,NA,$28147.45,$24476.04,$24476.04,NA,NA,NA,NA,$22028.44,$24476.04,$24476.04,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-D,NA,NA,$20352.57,$26006.06,NA,$22613.97,NA,NA,NA,NA,NA,NA,NA,NA,$22613.97,NA,NA,NA,$22613.97,NA,$20352.57,$20352.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22613.97,$22613.97,NA,NA,NA,NA,$22613.97,NA,$26006.06,$22613.97,$22613.97,NA,NA,NA,NA,$20352.57,$22613.97,$22613.97,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-A,NA,NA,$22583.60,$28856.83,NA,$25092.89,NA,NA,NA,NA,NA,NA,NA,NA,$25092.89,NA,NA,NA,$25092.89,NA,$22583.60,$22583.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25092.89,$25092.89,NA,NA,NA,NA,$25092.89,NA,$28856.83,$25092.89,$25092.89,NA,NA,NA,NA,$22583.60,$25092.89,$25092.89,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-B,NA,NA,$32528.14,$41563.73,NA,$36142.37,NA,NA,NA,NA,NA,NA,NA,NA,$36142.37,NA,NA,NA,$36142.37,NA,$32528.14,$32528.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36142.37,$36142.37,NA,NA,NA,NA,$36142.37,NA,$41563.73,$36142.37,$36142.37,NA,NA,NA,NA,$32528.14,$36142.37,$36142.37,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-C,NA,NA,$26369.44,$33694.29,NA,$29299.38,NA,NA,NA,NA,NA,NA,NA,NA,$29299.38,NA,NA,NA,$29299.38,NA,$26369.44,$26369.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29299.38,$29299.38,NA,NA,NA,NA,$29299.38,NA,$33694.29,$29299.38,$29299.38,NA,NA,NA,NA,$26369.44,$29299.38,$29299.38,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-D,NA,NA,$24363.24,$31130.81,NA,$27070.27,NA,NA,NA,NA,NA,NA,NA,NA,$27070.27,NA,NA,NA,$27070.27,NA,$24363.24,$24363.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27070.27,$27070.27,NA,NA,NA,NA,$27070.27,NA,$31130.81,$27070.27,$27070.27,NA,NA,NA,NA,$24363.24,$27070.27,$27070.27,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-A,NA,NA,$25336.94,$32374.98,NA,$28152.16,NA,NA,NA,NA,NA,NA,NA,NA,$28152.16,NA,NA,NA,$28152.16,NA,$25336.94,$25336.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28152.16,$28152.16,NA,NA,NA,NA,$28152.16,NA,$32374.98,$28152.16,$28152.16,NA,NA,NA,NA,$25336.94,$28152.16,$28152.16,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-B,NA,NA,$36493.84,$46631.02,NA,$40548.72,NA,NA,NA,NA,NA,NA,NA,NA,$40548.72,NA,NA,NA,$40548.72,NA,$36493.84,$36493.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40548.72,$40548.72,NA,NA,NA,NA,$40548.72,NA,$46631.02,$40548.72,$40548.72,NA,NA,NA,NA,$36493.84,$40548.72,$40548.72,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-C,NA,NA,$29582.83,$37800.28,NA,$32869.81,NA,NA,NA,NA,NA,NA,NA,NA,$32869.81,NA,NA,NA,$32869.81,NA,$29582.83,$29582.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32869.81,$32869.81,NA,NA,NA,NA,$32869.81,NA,$37800.28,$32869.81,$32869.81,NA,NA,NA,NA,$29582.83,$32869.81,$32869.81,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-D,NA,NA,$27334.50,$34927.41,NA,$30371.66,NA,NA,NA,NA,NA,NA,NA,NA,$30371.66,NA,NA,NA,$30371.66,NA,$27334.50,$27334.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30371.66,$30371.66,NA,NA,NA,NA,$30371.66,NA,$34927.41,$30371.66,$30371.66,NA,NA,NA,NA,$27334.50,$30371.66,$30371.66,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-A,NA,NA,$27675.20,$35362.76,NA,$30750.23,NA,NA,NA,NA,NA,NA,NA,NA,$30750.23,NA,NA,NA,$30750.23,NA,$27675.20,$27675.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30750.23,$30750.23,NA,NA,NA,NA,$30750.23,NA,$35362.76,$30750.23,$30750.23,NA,NA,NA,NA,$27675.20,$30750.23,$30750.23,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-B,NA,NA,$39862.88,$50935.90,NA,$44292.09,NA,NA,NA,NA,NA,NA,NA,NA,$44292.09,NA,NA,NA,$44292.09,NA,$39862.88,$39862.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44292.09,$44292.09,NA,NA,NA,NA,$44292.09,NA,$50935.90,$44292.09,$44292.09,NA,NA,NA,NA,$39862.88,$44292.09,$44292.09,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-C,NA,NA,$32315.41,$41291.91,NA,$35906.01,NA,NA,NA,NA,NA,NA,NA,NA,$35906.01,NA,NA,NA,$35906.01,NA,$32315.41,$32315.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35906.01,$35906.01,NA,NA,NA,NA,$35906.01,NA,$41291.91,$35906.01,$35906.01,NA,NA,NA,NA,$32315.41,$35906.01,$35906.01,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-D,NA,NA,$29857.81,$38151.65,NA,$33175.35,NA,NA,NA,NA,NA,NA,NA,NA,$33175.35,NA,NA,NA,$33175.35,NA,$29857.81,$29857.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33175.35,$33175.35,NA,NA,NA,NA,$33175.35,NA,$38151.65,$33175.35,$33175.35,NA,NA,NA,NA,$29857.81,$33175.35,$33175.35,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-A,NA,NA,$16807.13,$21475.77,NA,$18674.58,NA,NA,NA,NA,NA,NA,NA,NA,$18674.58,NA,NA,NA,$18674.58,NA,$16807.13,$16807.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18674.58,$18674.58,NA,NA,NA,NA,$18674.58,NA,$21475.77,$18674.58,$18674.58,NA,NA,NA,NA,$16807.13,$18674.58,$18674.58,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-B,NA,NA,$23666.26,$30240.22,NA,$26295.84,NA,NA,NA,NA,NA,NA,NA,NA,$26295.84,NA,NA,NA,$26295.84,NA,$23666.26,$23666.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26295.84,$26295.84,NA,NA,NA,NA,$26295.84,NA,$30240.22,$26295.84,$26295.84,NA,NA,NA,NA,$23666.26,$26295.84,$26295.84,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-C,NA,NA,$20082.77,$25661.32,NA,$22314.19,NA,NA,NA,NA,NA,NA,NA,NA,$22314.19,NA,NA,NA,$22314.19,NA,$20082.77,$20082.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22314.19,$22314.19,NA,NA,NA,NA,$22314.19,NA,$25661.32,$22314.19,$22314.19,NA,NA,NA,NA,$20082.77,$22314.19,$22314.19,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-D,NA,NA,$18090.40,$23115.52,NA,$20100.45,NA,NA,NA,NA,NA,NA,NA,NA,$20100.45,NA,NA,NA,$20100.45,NA,$18090.40,$18090.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20100.45,$20100.45,NA,NA,NA,NA,$20100.45,NA,$23115.52,$20100.45,$20100.45,NA,NA,NA,NA,$18090.40,$20100.45,$20100.45,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-A,NA,NA,$21871.06,$27946.35,NA,$24301.17,NA,NA,NA,NA,NA,NA,NA,NA,$24301.17,NA,NA,NA,$24301.17,NA,$21871.06,$21871.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24301.17,$24301.17,NA,NA,NA,NA,$24301.17,NA,$27946.35,$24301.17,$24301.17,NA,NA,NA,NA,$21871.06,$24301.17,$24301.17,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-B,NA,NA,$30796.92,$39351.62,NA,$34218.80,NA,NA,NA,NA,NA,NA,NA,NA,$34218.80,NA,NA,NA,$34218.80,NA,$30796.92,$30796.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34218.80,$34218.80,NA,NA,NA,NA,$34218.80,NA,$39351.62,$34218.80,$34218.80,NA,NA,NA,NA,$30796.92,$34218.80,$34218.80,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-C,NA,NA,$26132.50,$33391.53,NA,$29036.12,NA,NA,NA,NA,NA,NA,NA,NA,$29036.12,NA,NA,NA,$29036.12,NA,$26132.50,$26132.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29036.12,$29036.12,NA,NA,NA,NA,$29036.12,NA,$33391.53,$29036.12,$29036.12,NA,NA,NA,NA,$26132.50,$29036.12,$29036.12,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-D,NA,NA,$23540.01,$30078.90,NA,$26155.56,NA,NA,NA,NA,NA,NA,NA,NA,$26155.56,NA,NA,NA,$26155.56,NA,$23540.01,$23540.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26155.56,$26155.56,NA,NA,NA,NA,$26155.56,NA,$30078.90,$26155.56,$26155.56,NA,NA,NA,NA,$23540.01,$26155.56,$26155.56,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-A,NA,NA,$26248.38,$33539.60,NA,$29164.87,NA,NA,NA,NA,NA,NA,NA,NA,$29164.87,NA,NA,NA,$29164.87,NA,$26248.38,$26248.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29164.87,$29164.87,NA,NA,NA,NA,$29164.87,NA,$33539.60,$29164.87,$29164.87,NA,NA,NA,NA,$26248.38,$29164.87,$29164.87,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-B,NA,NA,$36960.80,$47227.69,NA,$41067.56,NA,NA,NA,NA,NA,NA,NA,NA,$41067.56,NA,NA,NA,$41067.56,NA,$36960.80,$36960.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41067.56,$41067.56,NA,NA,NA,NA,$41067.56,NA,$47227.69,$41067.56,$41067.56,NA,NA,NA,NA,$36960.80,$41067.56,$41067.56,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-C,NA,NA,$31364.19,$40076.47,NA,$34849.10,NA,NA,NA,NA,NA,NA,NA,NA,$34849.10,NA,NA,NA,$34849.10,NA,$31364.19,$31364.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34849.10,$34849.10,NA,NA,NA,NA,$34849.10,NA,$40076.47,$34849.10,$34849.10,NA,NA,NA,NA,$31364.19,$34849.10,$34849.10,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-D,NA,NA,$28252.85,$36100.87,NA,$31392.06,NA,NA,NA,NA,NA,NA,NA,NA,$31392.06,NA,NA,NA,$31392.06,NA,$28252.85,$28252.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31392.06,$31392.06,NA,NA,NA,NA,$31392.06,NA,$36100.87,$31392.06,$31392.06,NA,NA,NA,NA,$28252.85,$31392.06,$31392.06,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-A,NA,NA,$44444.28,$56789.92,NA,$49382.54,NA,NA,NA,NA,NA,NA,NA,NA,$49382.54,NA,NA,NA,$49382.54,NA,$44444.28,$44444.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49382.54,$49382.54,NA,NA,NA,NA,$49382.54,NA,$56789.92,$49382.54,$49382.54,NA,NA,NA,NA,$44444.28,$49382.54,$49382.54,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-B,NA,NA,$62581.38,$79965.10,NA,$69534.87,NA,NA,NA,NA,NA,NA,NA,NA,$69534.87,NA,NA,NA,$69534.87,NA,$62581.38,$62581.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69534.87,$69534.87,NA,NA,NA,NA,$69534.87,NA,$79965.10,$69534.87,$69534.87,NA,NA,NA,NA,$62581.38,$69534.87,$69534.87,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-C,NA,NA,$53105.54,$67857.08,NA,$59006.15,NA,NA,NA,NA,NA,NA,NA,NA,$59006.15,NA,NA,NA,$59006.15,NA,$53105.54,$53105.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,$59006.15,$59006.15,NA,NA,NA,NA,$59006.15,NA,$67857.08,$59006.15,$59006.15,NA,NA,NA,NA,$53105.54,$59006.15,$59006.15,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-D,NA,NA,$47837.53,$61125.73,NA,$53152.81,NA,NA,NA,NA,NA,NA,NA,NA,$53152.81,NA,NA,NA,$53152.81,NA,$47837.53,$47837.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53152.81,$53152.81,NA,NA,NA,NA,$53152.81,NA,$61125.73,$53152.81,$53152.81,NA,NA,NA,NA,$47837.53,$53152.81,$53152.81,NA,NA
