Encompass Health Rehabilitation Hospital of Miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,ADVANET WORK COMP (ADVW) negotiated charge,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,AVMED HEALTH MEDICARE (AVMM) negotiated charge,AVMED HEALTH PLAN (AVMD) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREPLUS HEALTH MEDICARE (CPHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HEALTHEASE STAYWELL (WLCS) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA EXCHANGE (HUMZ) negotiated charge,HUMANA MEDICAID (HUMD) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,MEDICAL PARTNERS OF AM (MPAM) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,VISTA HEALTHCARE MEDICARE (VISM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-B,NA,NA,$44617.75,$54010.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46966.05,NA,NA,NA,NA,NA,NA,$46966.05,NA,NA,NA,NA,NA,NA,$46966.05,NA,$46966.05,NA,NA,$54010.96,$46966.05,NA,$46966.05,$46966.05,NA,$44617.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-C,NA,NA,$36479.64,$44159.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38399.63,NA,NA,NA,NA,NA,NA,$38399.63,NA,NA,NA,NA,NA,NA,$38399.63,NA,$38399.63,NA,NA,$44159.57,$38399.63,NA,$38399.63,$38399.63,NA,$36479.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-D,NA,NA,$32769.24,$39668.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34493.94,NA,NA,NA,NA,NA,NA,$34493.94,NA,NA,NA,NA,NA,NA,$34493.94,NA,$34493.94,NA,NA,$39668.03,$34493.94,NA,$34493.94,$34493.94,NA,$32769.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-A,NA,NA,$13879.77,$16801.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14610.29,NA,NA,NA,NA,NA,NA,$14610.29,NA,NA,NA,NA,NA,NA,$14610.29,NA,$14610.29,NA,NA,$16801.83,$14610.29,NA,$14610.29,$14610.29,NA,$13879.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-B,NA,NA,$19991.50,$24200.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21043.69,NA,NA,NA,NA,NA,NA,$21043.69,NA,NA,NA,NA,NA,NA,$21043.69,NA,$21043.69,NA,NA,$24200.24,$21043.69,NA,$21043.69,$21043.69,NA,$19991.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-C,NA,NA,$16206.11,$19617.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17059.06,NA,NA,NA,NA,NA,NA,$17059.06,NA,NA,NA,NA,NA,NA,$17059.06,NA,$17059.06,NA,NA,$19617.92,$17059.06,NA,$17059.06,$17059.06,NA,$16206.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-D,NA,NA,$14973.66,$18126.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15761.74,NA,NA,NA,NA,NA,NA,$15761.74,NA,NA,NA,NA,NA,NA,$15761.74,NA,$15761.74,NA,NA,$18126.01,$15761.74,NA,$15761.74,$15761.74,NA,$14973.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-A,NA,NA,$17782.54,$21526.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18718.47,NA,NA,NA,NA,NA,NA,$18718.47,NA,NA,NA,NA,NA,NA,$18718.47,NA,$18718.47,NA,NA,$21526.24,$18718.47,NA,$18718.47,$18718.47,NA,$17782.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-B,NA,NA,$25612.53,$31004.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26960.56,NA,NA,NA,NA,NA,NA,$26960.56,NA,NA,NA,NA,NA,NA,$26960.56,NA,$26960.56,NA,NA,$31004.65,$26960.56,NA,$26960.56,$26960.56,NA,$25612.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-C,NA,NA,$20764.23,$25135.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21857.09,NA,NA,NA,NA,NA,NA,$21857.09,NA,NA,NA,NA,NA,NA,$21857.09,NA,$21857.09,NA,NA,$25135.65,$21857.09,NA,$21857.09,$21857.09,NA,$20764.23,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-D,NA,NA,$19184.54,$23223.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20194.25,NA,NA,NA,NA,NA,NA,$20194.25,NA,NA,NA,NA,NA,NA,$20194.25,NA,$20194.25,NA,NA,$23223.39,$20194.25,NA,$20194.25,$20194.25,NA,$19184.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-A,NA,NA,$21287.54,$25769.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22407.93,NA,NA,NA,NA,NA,NA,$22407.93,NA,NA,NA,NA,NA,NA,$22407.93,NA,$22407.93,NA,NA,$25769.12,$22407.93,NA,$22407.93,$22407.93,NA,$21287.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-B,NA,NA,$30661.36,$37116.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32275.11,NA,NA,NA,NA,NA,NA,$32275.11,NA,NA,NA,NA,NA,NA,$32275.11,NA,$32275.11,NA,NA,$37116.38,$32275.11,NA,$32275.11,$32275.11,NA,$30661.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-C,NA,NA,$24856.11,$30088.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26164.32,NA,NA,NA,NA,NA,NA,$26164.32,NA,NA,NA,NA,NA,NA,$26164.32,NA,$26164.32,NA,NA,$30088.97,$26164.32,NA,$26164.32,$26164.32,NA,$24856.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-D,NA,NA,$22965.04,$27799.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24173.73,NA,NA,NA,NA,NA,NA,$24173.73,NA,NA,NA,NA,NA,NA,$24173.73,NA,$24173.73,NA,NA,$27799.79,$24173.73,NA,$24173.73,$24173.73,NA,$22965.04,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-A,NA,NA,$23882.86,$28910.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25139.85,NA,NA,NA,NA,NA,NA,$25139.85,NA,NA,NA,NA,NA,NA,$25139.85,NA,$25139.85,NA,NA,$28910.83,$25139.85,NA,$25139.85,$25139.85,NA,$23882.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-B,NA,NA,$34399.47,$41641.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36209.97,NA,NA,NA,NA,NA,NA,$36209.97,NA,NA,NA,NA,NA,NA,$36209.97,NA,$36209.97,NA,NA,$41641.47,$36209.97,NA,$36209.97,$36209.97,NA,$34399.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-C,NA,NA,$27885.07,$33755.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29352.71,NA,NA,NA,NA,NA,NA,$29352.71,NA,NA,NA,NA,NA,NA,$29352.71,NA,$29352.71,NA,NA,$33755.62,$29352.71,NA,$29352.71,$29352.71,NA,$27885.07,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-D,NA,NA,$25765.78,$31190.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27121.87,NA,NA,NA,NA,NA,NA,$27121.87,NA,NA,NA,NA,NA,NA,$27121.87,NA,$27121.87,NA,NA,$31190.15,$27121.87,NA,$27121.87,$27121.87,NA,$25765.78,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-A,NA,NA,$26086.93,$31578.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27459.93,NA,NA,NA,NA,NA,NA,$27459.93,NA,NA,NA,NA,NA,NA,$27459.93,NA,$27459.93,NA,NA,$31578.92,$27459.93,NA,$27459.93,$27459.93,NA,$26086.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-B,NA,NA,$37575.16,$45485.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39552.80,NA,NA,NA,NA,NA,NA,$39552.80,NA,NA,NA,NA,NA,NA,$39552.80,NA,$39552.80,NA,NA,$45485.72,$39552.80,NA,$39552.80,$39552.80,NA,$37575.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-C,NA,NA,$30460.84,$36873.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32064.04,NA,NA,NA,NA,NA,NA,$32064.04,NA,NA,NA,NA,NA,NA,$32064.04,NA,$32064.04,NA,NA,$36873.65,$32064.04,NA,$32064.04,$32064.04,NA,$30460.84,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-D,NA,NA,$28144.28,$34069.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29625.56,NA,NA,NA,NA,NA,NA,$29625.56,NA,NA,NA,NA,NA,NA,$29625.56,NA,$29625.56,NA,NA,$34069.39,$29625.56,NA,$29625.56,$29625.56,NA,$28144.28,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-A,NA,NA,$15842.57,$19177.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16676.39,NA,NA,NA,NA,NA,NA,$16676.39,NA,NA,NA,NA,NA,NA,$16676.39,NA,$16676.39,NA,NA,$19177.85,$16676.39,NA,$16676.39,$16676.39,NA,$15842.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-B,NA,NA,$22308.06,$27004.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23482.17,NA,NA,NA,NA,NA,NA,$23482.17,NA,NA,NA,NA,NA,NA,$23482.17,NA,$23482.17,NA,NA,$27004.49,$23482.17,NA,$23482.17,$23482.17,NA,$22308.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-C,NA,NA,$18930.22,$22915.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19926.55,NA,NA,NA,NA,NA,NA,$19926.55,NA,NA,NA,NA,NA,NA,$19926.55,NA,$19926.55,NA,NA,$22915.53,$19926.55,NA,$19926.55,$19926.55,NA,$18930.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-D,NA,NA,$17052.20,$20642.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17949.68,NA,NA,NA,NA,NA,NA,$17949.68,NA,NA,NA,NA,NA,NA,$17949.68,NA,$17949.68,NA,NA,$20642.14,$17949.68,NA,$17949.68,$17949.68,NA,$17052.20,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-A,NA,NA,$20615.88,$24956.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21700.93,NA,NA,NA,NA,NA,NA,$21700.93,NA,NA,NA,NA,NA,NA,$21700.93,NA,$21700.93,NA,NA,$24956.07,$21700.93,NA,$21700.93,$21700.93,NA,$20615.88,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-B,NA,NA,$29029.50,$35140.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30557.36,NA,NA,NA,NA,NA,NA,$30557.36,NA,NA,NA,NA,NA,NA,$30557.36,NA,$30557.36,NA,NA,$35140.97,$30557.36,NA,$30557.36,$30557.36,NA,$29029.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-C,NA,NA,$24632.77,$29818.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25929.23,NA,NA,NA,NA,NA,NA,$25929.23,NA,NA,NA,NA,NA,NA,$25929.23,NA,$25929.23,NA,NA,$29818.61,$25929.23,NA,$25929.23,$25929.23,NA,$24632.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-D,NA,NA,$22189.05,$26860.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23356.90,NA,NA,NA,NA,NA,NA,$23356.90,NA,NA,NA,NA,NA,NA,$23356.90,NA,$23356.90,NA,NA,$26860.43,$23356.90,NA,$23356.90,$23356.90,NA,$22189.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-A,NA,NA,$24741.99,$29950.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26044.20,NA,NA,NA,NA,NA,NA,$26044.20,NA,NA,NA,NA,NA,NA,$26044.20,NA,$26044.20,NA,NA,$29950.83,$26044.20,NA,$26044.20,$26044.20,NA,$24741.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-B,NA,NA,$34839.63,$42174.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36673.30,NA,NA,NA,NA,NA,NA,$36673.30,NA,NA,NA,NA,NA,NA,$36673.30,NA,$36673.30,NA,NA,$42174.29,$36673.30,NA,$36673.30,$36673.30,NA,$34839.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-C,NA,NA,$29564.21,$35788.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31120.22,NA,NA,NA,NA,NA,NA,$31120.22,NA,NA,NA,NA,NA,NA,$31120.22,NA,$31120.22,NA,NA,$35788.26,$31120.22,NA,$31120.22,$31120.22,NA,$29564.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-D,NA,NA,$26631.43,$32238.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28033.08,NA,NA,NA,NA,NA,NA,$28033.08,NA,NA,NA,NA,NA,NA,$28033.08,NA,$28033.08,NA,NA,$32238.04,$28033.08,NA,$28033.08,$28033.08,NA,$26631.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-A,NA,NA,$41893.64,$50713.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44098.56,NA,NA,NA,NA,NA,NA,$44098.56,NA,NA,NA,NA,NA,NA,$44098.56,NA,$44098.56,NA,NA,$50713.35,$44098.56,NA,$44098.56,$44098.56,NA,$41893.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-B,NA,NA,$58989.85,$71408.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$62094.58,NA,NA,NA,NA,NA,NA,$62094.58,NA,NA,NA,NA,NA,NA,$62094.58,NA,$62094.58,NA,NA,$71408.77,$62094.58,NA,$62094.58,$62094.58,NA,$58989.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-C,NA,NA,$50057.83,$60596.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52692.45,NA,NA,NA,NA,NA,NA,$52692.45,NA,NA,NA,NA,NA,NA,$52692.45,NA,$52692.45,NA,NA,$60596.32,$52692.45,NA,$52692.45,$52692.45,NA,$50057.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-D,NA,NA,$45092.15,$54585.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47465.42,NA,NA,NA,NA,NA,NA,$47465.42,NA,NA,NA,NA,NA,NA,$47465.42,NA,$47465.42,NA,NA,$54585.23,$47465.42,NA,$47465.42,$47465.42,NA,$45092.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-A,NA,NA,$31773.17,$38462.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33445.44,NA,NA,NA,NA,NA,NA,$33445.44,NA,NA,NA,NA,NA,NA,$33445.44,NA,$33445.44,NA,NA,$38462.26,$33445.44,NA,$33445.44,$33445.44,NA,$31773.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-B,NA,NA,$44740.02,$54158.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47094.75,NA,NA,NA,NA,NA,NA,$47094.75,NA,NA,NA,NA,NA,NA,$47094.75,NA,$47094.75,NA,NA,$54158.97,$47094.75,NA,$47094.75,$47094.75,NA,$44740.02,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-C,NA,NA,$37964.78,$45957.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39962.93,NA,NA,NA,NA,NA,NA,$39962.93,NA,NA,NA,NA,NA,NA,$39962.93,NA,$39962.93,NA,NA,$45957.37,$39962.93,NA,$39962.93,$39962.93,NA,$37964.78,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-D,NA,NA,$34198.95,$41398.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35998.90,NA,NA,NA,NA,NA,NA,$35998.90,NA,NA,NA,NA,NA,NA,$35998.90,NA,$35998.90,NA,NA,$41398.73,$35998.90,NA,$35998.90,$35998.90,NA,$34198.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-A,NA,NA,$41642.58,$50409.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43834.30,NA,NA,NA,NA,NA,NA,$43834.30,NA,NA,NA,NA,NA,NA,$43834.30,NA,$43834.30,NA,NA,$50409.44,$43834.30,NA,$43834.30,$43834.30,NA,$41642.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-B,NA,NA,$58637.72,$70982.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$61723.92,NA,NA,NA,NA,NA,NA,$61723.92,NA,NA,NA,NA,NA,NA,$61723.92,NA,$61723.92,NA,NA,$70982.51,$61723.92,NA,$61723.92,$61723.92,NA,$58637.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-C,NA,NA,$49757.86,$60233.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52376.70,NA,NA,NA,NA,NA,NA,$52376.70,NA,NA,NA,NA,NA,NA,$52376.70,NA,$52376.70,NA,NA,$60233.20,$52376.70,NA,$52376.70,$52376.70,NA,$49757.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-D,NA,NA,$44821.53,$54257.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47180.56,NA,NA,NA,NA,NA,NA,$47180.56,NA,NA,NA,NA,NA,NA,$47180.56,NA,$47180.56,NA,NA,$54257.64,$47180.56,NA,$47180.56,$47180.56,NA,$44821.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-A,NA,NA,$47547.27,$57557.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50049.76,NA,NA,NA,NA,NA,NA,$50049.76,NA,NA,NA,NA,NA,NA,$50049.76,NA,$50049.76,NA,NA,$57557.22,$50049.76,NA,$50049.76,$50049.76,NA,$47547.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-B,NA,NA,$66953.52,$81049.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$70477.39,NA,NA,NA,NA,NA,NA,$70477.39,NA,NA,NA,NA,NA,NA,$70477.39,NA,$70477.39,NA,NA,$81049.00,$70477.39,NA,$70477.39,$70477.39,NA,$66953.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-C,NA,NA,$56813.50,$68774.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$59803.68,NA,NA,NA,NA,NA,NA,$59803.68,NA,NA,NA,NA,NA,NA,$59803.68,NA,$59803.68,NA,NA,$68774.23,$59803.68,NA,$59803.68,$59803.68,NA,$56813.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-D,NA,NA,$51179.42,$61954.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53873.08,NA,NA,NA,NA,NA,NA,$53873.08,NA,NA,NA,NA,NA,NA,$53873.08,NA,$53873.08,NA,NA,$61954.04,$53873.08,NA,$53873.08,$53873.08,NA,$51179.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-A,NA,NA,$14468.29,$17514.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15229.78,NA,NA,NA,NA,NA,NA,$15229.78,NA,NA,NA,NA,NA,NA,$15229.78,NA,$15229.78,NA,NA,$17514.24,$15229.78,NA,$15229.78,$15229.78,NA,$14468.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-B,NA,NA,$21351.12,$25846.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22474.86,NA,NA,NA,NA,NA,NA,$22474.86,NA,NA,NA,NA,NA,NA,$22474.86,NA,$22474.86,NA,NA,$25846.09,$22474.86,NA,$22474.86,$22474.86,NA,$21351.12,NA,NA,NA,NA
