Encompass Health Rehabilitation Hospital of Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,AMERICAN PROG TODAYS OPT (AMPM) negotiated charge,BC FEP (BCFD) negotiated charge,BCBS AL (BCAL) negotiated charge,BCBS AL MEDICARE ADVANTAG (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COVENTRY-NATIONAL (CHCN) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-C,NA,NA,$41400.95,$50116.95,NA,NA,NA,$43579.95,NA,NA,$42272.55,NA,NA,NA,$43579.95,NA,NA,$43579.95,NA,$43579.95,NA,$50116.95,$43579.95,$43579.95,NA,$41400.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-D,NA,NA,$37293.69,$45144.99,NA,NA,NA,$39256.51,NA,NA,$38078.82,NA,NA,NA,$39256.51,NA,NA,$39256.51,NA,$39256.51,NA,$45144.99,$39256.51,$39256.51,NA,$37293.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-A,NA,NA,$39561.64,$47890.40,NA,NA,NA,$41643.83,NA,NA,$40394.51,NA,NA,NA,$41643.83,NA,NA,$41643.83,NA,$41643.83,NA,$47890.40,$41643.83,$41643.83,NA,$39561.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-B,NA,NA,$55708.58,$67436.70,NA,NA,NA,$58640.61,NA,NA,$56881.39,NA,NA,NA,$58640.61,NA,NA,$58640.61,NA,$58640.61,NA,$67436.70,$58640.61,$58640.61,NA,$55708.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-C,NA,NA,$47271.58,$57223.50,NA,NA,NA,$49759.56,NA,NA,$48266.77,NA,NA,NA,$49759.56,NA,NA,$49759.56,NA,$49759.56,NA,$57223.50,$49759.56,$49759.56,NA,$47271.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-D,NA,NA,$42583.76,$51548.76,NA,NA,NA,$44825.01,NA,NA,$43480.26,NA,NA,NA,$44825.01,NA,NA,$44825.01,NA,$44825.01,NA,$51548.76,$44825.01,$44825.01,NA,$42583.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-A,NA,NA,$12038.32,$14572.70,NA,NA,NA,$12671.91,NA,NA,$12291.75,NA,NA,NA,$12671.91,NA,NA,$12671.91,NA,$12671.91,NA,$14572.70,$12671.91,$12671.91,NA,$12038.32,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-B,NA,NA,$17765.16,$21505.20,NA,NA,NA,$18700.17,NA,NA,$18139.17,NA,NA,NA,$18700.17,NA,NA,$18700.17,NA,$18700.17,NA,$21505.20,$18700.17,$18700.17,NA,$17765.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-C,NA,NA,$13805.74,$16712.22,NA,NA,NA,$14532.36,NA,NA,$14096.39,NA,NA,NA,$14532.36,NA,NA,$14532.36,NA,$14532.36,NA,$16712.22,$14532.36,$14532.36,NA,$13805.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-D,NA,NA,$13033.94,$15777.92,NA,NA,NA,$13719.93,NA,NA,$13308.33,NA,NA,NA,$13719.93,NA,NA,$13719.93,NA,$13719.93,NA,$15777.92,$13719.93,$13719.93,NA,$13033.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-A,NA,NA,$14958.71,$18107.91,NA,NA,NA,$15746.01,NA,NA,$15273.63,NA,NA,NA,$15746.01,NA,NA,$15746.01,NA,$15746.01,NA,$18107.91,$15746.01,$15746.01,NA,$14958.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-B,NA,NA,$22073.18,$26720.17,NA,NA,NA,$23234.93,NA,NA,$22537.88,NA,NA,NA,$23234.93,NA,NA,$23234.93,NA,$23234.93,NA,$26720.17,$23234.93,$23234.93,NA,$22073.18,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-C,NA,NA,$17153.41,$20764.66,NA,NA,NA,$18056.22,NA,NA,$17514.54,NA,NA,NA,$18056.22,NA,NA,$18056.22,NA,$18056.22,NA,$20764.66,$18056.22,$18056.22,NA,$17153.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-D,NA,NA,$16194.42,$19603.77,NA,NA,NA,$17046.75,NA,NA,$16535.35,NA,NA,NA,$17046.75,NA,NA,$17046.75,NA,$17046.75,NA,$19603.77,$17046.75,$17046.75,NA,$16194.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-A,NA,NA,$17371.80,$21029.02,NA,NA,NA,$18286.10,NA,NA,$17737.52,NA,NA,NA,$18286.10,NA,NA,$18286.10,NA,$18286.10,NA,$21029.02,$18286.10,$18286.10,NA,$17371.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-B,NA,NA,$25635.17,$31032.05,NA,NA,NA,$26984.39,NA,NA,$26174.86,NA,NA,NA,$26984.39,NA,NA,$26984.39,NA,$26984.39,NA,$31032.05,$26984.39,$26984.39,NA,$25635.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-C,NA,NA,$19921.89,$24115.97,NA,NA,NA,$20970.41,NA,NA,$20341.29,NA,NA,NA,$20970.41,NA,NA,$20970.41,NA,$20970.41,NA,$24115.97,$20970.41,$20970.41,NA,$19921.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-D,NA,NA,$18808.26,$22767.89,NA,NA,NA,$19798.17,NA,NA,$19204.22,NA,NA,NA,$19798.17,NA,NA,$19798.17,NA,$19798.17,NA,$22767.89,$19798.17,$19798.17,NA,$18808.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-A,NA,NA,$20688.27,$25043.69,NA,NA,NA,$21777.13,NA,NA,$21123.81,NA,NA,NA,$21777.13,NA,NA,$21777.13,NA,$21777.13,NA,$25043.69,$21777.13,$21777.13,NA,$20688.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-B,NA,NA,$30527.81,$36954.72,NA,NA,NA,$32134.54,NA,NA,$31170.50,NA,NA,NA,$32134.54,NA,NA,$32134.54,NA,$32134.54,NA,$36954.72,$32134.54,$32134.54,NA,$30527.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-C,NA,NA,$23725.32,$28720.12,NA,NA,NA,$24974.02,NA,NA,$24224.80,NA,NA,NA,$24974.02,NA,NA,$24974.02,NA,$24974.02,NA,$28720.12,$24974.02,$24974.02,NA,$23725.32,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-D,NA,NA,$22398.73,$27114.25,NA,NA,NA,$23577.61,NA,NA,$22870.28,NA,NA,NA,$23577.61,NA,NA,$23577.61,NA,$23577.61,NA,$27114.25,$23577.61,$23577.61,NA,$22398.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-A,NA,NA,$26991.60,$32674.04,NA,NA,NA,$28412.21,NA,NA,$27559.84,NA,NA,NA,$28412.21,NA,NA,$28412.21,NA,$28412.21,NA,$32674.04,$28412.21,$28412.21,NA,$26991.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-B,NA,NA,$39827.50,$48212.23,NA,NA,NA,$41923.68,NA,NA,$40665.97,NA,NA,NA,$41923.68,NA,NA,$41923.68,NA,$41923.68,NA,$48212.23,$41923.68,$41923.68,NA,$39827.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-C,NA,NA,$30952.38,$37468.66,NA,NA,NA,$32581.45,NA,NA,$31604.00,NA,NA,NA,$32581.45,NA,NA,$32581.45,NA,$32581.45,NA,$37468.66,$32581.45,$32581.45,NA,$30952.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-D,NA,NA,$29221.57,$35373.48,NA,NA,NA,$30759.55,NA,NA,$29836.76,NA,NA,NA,$30759.55,NA,NA,$30759.55,NA,$30759.55,NA,$35373.48,$30759.55,$30759.55,NA,$29221.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-A,NA,NA,$11895.89,$14400.29,NA,NA,NA,$12521.99,NA,NA,$12146.33,NA,NA,NA,$12521.99,NA,NA,$12521.99,NA,$12521.99,NA,$14400.29,$12521.99,$12521.99,NA,$11895.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-B,NA,NA,$18546.47,$22450.99,NA,NA,NA,$19522.60,NA,NA,$18936.92,NA,NA,NA,$19522.60,NA,NA,$19522.60,NA,$19522.60,NA,$22450.99,$19522.60,$19522.60,NA,$18546.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-C,NA,NA,$13961.73,$16901.05,NA,NA,NA,$14696.56,NA,NA,$14255.66,NA,NA,NA,$14696.56,NA,NA,$14696.56,NA,$14696.56,NA,$16901.05,$14696.56,$14696.56,NA,$13961.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-D,NA,NA,$13088.19,$15843.60,NA,NA,NA,$13777.04,NA,NA,$13363.73,NA,NA,NA,$13777.04,NA,NA,$13777.04,NA,$13777.04,NA,$15843.60,$13777.04,$13777.04,NA,$13088.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-A,NA,NA,$14805.43,$17922.37,NA,NA,NA,$15584.67,NA,NA,$15117.13,NA,NA,NA,$15584.67,NA,NA,$15584.67,NA,$15584.67,NA,$17922.37,$15584.67,$15584.67,NA,$14805.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-B,NA,NA,$23081.01,$27940.17,NA,NA,NA,$24295.80,NA,NA,$23566.93,NA,NA,NA,$24295.80,NA,NA,$24295.80,NA,$24295.80,NA,$27940.17,$24295.80,$24295.80,NA,$23081.01,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-C,NA,NA,$17374.51,$21032.30,NA,NA,NA,$18288.96,NA,NA,$17740.29,NA,NA,NA,$18288.96,NA,NA,$18288.96,NA,$18288.96,NA,$21032.30,$18288.96,$18288.96,NA,$17374.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-D,NA,NA,$16288.01,$19717.07,NA,NA,NA,$17145.27,NA,NA,$16630.92,NA,NA,NA,$17145.27,NA,NA,$17145.27,NA,$17145.27,NA,$19717.07,$17145.27,$17145.27,NA,$16288.01,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-A,NA,NA,$17586.11,$21288.45,NA,NA,NA,$18511.70,NA,NA,$17956.35,NA,NA,NA,$18511.70,NA,NA,$18511.70,NA,$18511.70,NA,$21288.45,$18511.70,$18511.70,NA,$17586.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-B,NA,NA,$27418.88,$33191.27,NA,NA,NA,$28861.97,NA,NA,$27996.11,NA,NA,NA,$28861.97,NA,NA,$28861.97,NA,$28861.97,NA,$33191.27,$28861.97,$28861.97,NA,$27418.88,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-C,NA,NA,$20639.44,$24984.58,NA,NA,NA,$21725.72,NA,NA,$21073.95,NA,NA,NA,$21725.72,NA,NA,$21725.72,NA,$21725.72,NA,$24984.58,$21725.72,$21725.72,NA,$20639.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-D,NA,NA,$19348.12,$23421.40,NA,NA,NA,$20366.44,NA,NA,$19755.45,NA,NA,NA,$20366.44,NA,NA,$20366.44,NA,$20366.44,NA,$23421.40,$20366.44,$20366.44,NA,$19348.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-A,NA,NA,$20407.49,$24703.80,NA,NA,NA,$21481.57,NA,NA,$20837.12,NA,NA,NA,$21481.57,NA,NA,$21481.57,NA,$21481.57,NA,$24703.80,$21481.57,$21481.57,NA,$20407.49,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-B,NA,NA,$31816.42,$38514.61,NA,NA,NA,$33490.97,NA,NA,$32486.24,NA,NA,NA,$33490.97,NA,NA,$33490.97,NA,$33490.97,NA,$38514.61,$33490.97,$33490.97,NA,$31816.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-C,NA,NA,$23950.48,$28992.69,NA,NA,NA,$25211.04,NA,NA,$24454.70,NA,NA,NA,$25211.04,NA,NA,$25211.04,NA,$25211.04,NA,$28992.69,$25211.04,$25211.04,NA,$23950.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-D,NA,NA,$22451.63,$27178.29,NA,NA,NA,$23633.29,NA,NA,$22924.29,NA,NA,NA,$23633.29,NA,NA,$23633.29,NA,$23633.29,NA,$27178.29,$23633.29,$23633.29,NA,$22451.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-A,NA,NA,$11951.50,$14467.61,NA,NA,NA,$12580.53,NA,NA,$12203.11,NA,NA,NA,$12580.53,NA,NA,$12580.53,NA,$12580.53,NA,$14467.61,$12580.53,$12580.53,NA,$11951.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-B,NA,NA,$16918.75,$20480.59,NA,NA,NA,$17809.21,NA,NA,$17274.93,NA,NA,NA,$17809.21,NA,NA,$17809.21,NA,$17809.21,NA,$20480.59,$17809.21,$17809.21,NA,$16918.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-C,NA,NA,$13720.29,$16608.77,NA,NA,NA,$14442.41,NA,NA,$14009.14,NA,NA,NA,$14442.41,NA,NA,$14442.41,NA,$14442.41,NA,$16608.77,$14442.41,$14442.41,NA,$13720.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-D,NA,NA,$13001.38,$15738.51,NA,NA,NA,$13685.66,NA,NA,$13275.09,NA,NA,NA,$13685.66,NA,NA,$13685.66,NA,$13685.66,NA,$15738.51,$13685.66,$13685.66,NA,$13001.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-A,NA,NA,$14942.43,$18088.21,NA,NA,NA,$15728.88,NA,NA,$15257.01,NA,NA,NA,$15728.88,NA,NA,$15728.88,NA,$15728.88,NA,$18088.21,$15728.88,$15728.88,NA,$14942.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-B,NA,NA,$21153.53,$25606.90,NA,NA,NA,$22266.87,NA,NA,$21598.86,NA,NA,NA,$22266.87,NA,NA,$22266.87,NA,$22266.87,NA,$25606.90,$22266.87,$22266.87,NA,$21153.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-C,NA,NA,$17154.77,$20766.30,NA,NA,NA,$18057.65,NA,NA,$17515.92,NA,NA,NA,$18057.65,NA,NA,$18057.65,NA,$18057.65,NA,$20766.30,$18057.65,$18057.65,NA,$17154.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-D,NA,NA,$16256.81,$19679.30,NA,NA,NA,$17112.43,NA,NA,$16599.06,NA,NA,NA,$17112.43,NA,NA,$17112.43,NA,$17112.43,NA,$19679.30,$17112.43,$17112.43,NA,$16256.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-A,NA,NA,$18162.60,$21986.30,NA,NA,NA,$19118.52,NA,NA,$18544.97,NA,NA,NA,$19118.52,NA,NA,$19118.52,NA,$19118.52,NA,$21986.30,$19118.52,$19118.52,NA,$18162.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-B,NA,NA,$25712.49,$31125.64,NA,NA,NA,$27065.77,NA,NA,$26253.80,NA,NA,NA,$27065.77,NA,NA,$27065.77,NA,$27065.77,NA,$31125.64,$27065.77,$27065.77,NA,$25712.49,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-C,NA,NA,$20852.40,$25242.38,NA,NA,NA,$21949.89,NA,NA,$21291.40,NA,NA,NA,$21949.89,NA,NA,$21949.89,NA,$21949.89,NA,$25242.38,$21949.89,$21949.89,NA,$20852.40,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-D,NA,NA,$19760.47,$23920.57,NA,NA,NA,$20800.50,NA,NA,$20176.48,NA,NA,NA,$20800.50,NA,NA,$20800.50,NA,$20800.50,NA,$23920.57,$20800.50,$20800.50,NA,$19760.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-A,NA,NA,$20753.38,$25122.51,NA,NA,NA,$21845.66,NA,NA,$21190.29,NA,NA,NA,$21845.66,NA,NA,$21845.66,NA,$21845.66,NA,$25122.51,$21845.66,$21845.66,NA,$20753.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-B,NA,NA,$29380.27,$35565.59,NA,NA,NA,$30926.60,NA,NA,$29998.80,NA,NA,NA,$30926.60,NA,NA,$30926.60,NA,$30926.60,NA,$35565.59,$30926.60,$30926.60,NA,$29380.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-C,NA,NA,$23827.05,$28843.27,NA,NA,NA,$25081.10,NA,NA,$24328.67,NA,NA,NA,$25081.10,NA,NA,$25081.10,NA,$25081.10,NA,$28843.27,$25081.10,$25081.10,NA,$23827.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-D,NA,NA,$22579.13,$27332.63,NA,NA,NA,$23767.51,NA,NA,$23054.48,NA,NA,NA,$23767.51,NA,NA,$23767.51,NA,$23767.51,NA,$27332.63,$23767.51,$23767.51,NA,$22579.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-A,NA,NA,$10260.04,$12420.04,NA,NA,NA,$10800.04,NA,NA,$10476.04,NA,NA,NA,$10800.04,NA,NA,$10800.04,NA,$10800.04,NA,$12420.04,$10800.04,$10800.04,NA,$10260.04,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-B,NA,NA,$15284.25,$18501.99,NA,NA,NA,$16088.69,NA,NA,$15606.03,NA,NA,NA,$16088.69,NA,NA,$16088.69,NA,$16088.69,NA,$18501.99,$16088.69,$16088.69,NA,$15284.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-C,NA,NA,$12300.11,$14889.60,NA,NA,NA,$12947.48,NA,NA,$12559.06,NA,NA,NA,$12947.48,NA,NA,$12947.48,NA,$12947.48,NA,$14889.60,$12947.48,$12947.48,NA,$12300.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-D,NA,NA,$11015.57,$13334.63,NA,NA,NA,$11595.33,NA,NA,$11247.47,NA,NA,NA,$11595.33,NA,NA,$11595.33,NA,$11595.33,NA,$13334.63,$11595.33,$11595.33,NA,$11015.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-A,NA,NA,$12062.73,$14602.25,NA,NA,NA,$12697.61,NA,NA,$12316.68,NA,NA,NA,$12697.61,NA,NA,$12697.61,NA,$12697.61,NA,$14602.25,$12697.61,$12697.61,NA,$12062.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-B,NA,NA,$17969.98,$21753.14,NA,NA,NA,$18915.77,NA,NA,$18348.30,NA,NA,NA,$18915.77,NA,NA,$18915.77,NA,$18915.77,NA,$21753.14,$18915.77,$18915.77,NA,$17969.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-C,NA,NA,$14460.90,$17505.30,NA,NA,NA,$15222.00,NA,NA,$14765.34,NA,NA,NA,$15222.00,NA,NA,$15222.00,NA,$15222.00,NA,$17505.30,$15222.00,$15222.00,NA,$14460.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-D,NA,NA,$12951.19,$15677.76,NA,NA,NA,$13632.83,NA,NA,$13223.85,NA,NA,NA,$13632.83,NA,NA,$13632.83,NA,$13632.83,NA,$15677.76,$13632.83,$13632.83,NA,$12951.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-A,NA,NA,$13474.78,$16311.57,NA,NA,NA,$14183.97,NA,NA,$13758.45,NA,NA,NA,$14183.97,NA,NA,$14183.97,NA,$14183.97,NA,$16311.57,$14183.97,$14183.97,NA,$13474.78,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-B,NA,NA,$20073.81,$24299.87,NA,NA,NA,$21130.32,NA,NA,$20496.41,NA,NA,NA,$21130.32,NA,NA,$21130.32,NA,$21130.32,NA,$24299.87,$21130.32,$21130.32,NA,$20073.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-C,NA,NA,$16153.72,$19554.51,NA,NA,NA,$17003.92,NA,NA,$16493.80,NA,NA,NA,$17003.92,NA,NA,$17003.92,NA,$17003.92,NA,$19554.51,$17003.92,$17003.92,NA,$16153.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-D,NA,NA,$14467.68,$17513.51,NA,NA,NA,$15229.14,NA,NA,$14772.26,NA,NA,NA,$15229.14,NA,NA,$15229.14,NA,$15229.14,NA,$17513.51,$15229.14,$15229.14,NA,$14467.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-A,NA,NA,$15529.77,$18799.19,NA,NA,NA,$16347.12,NA,NA,$15856.71,NA,NA,NA,$16347.12,NA,NA,$16347.12,NA,$16347.12,NA,$18799.19,$16347.12,$16347.12,NA,$15529.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-B,NA,NA,$23135.27,$28005.85,NA,NA,NA,$24352.91,NA,NA,$23622.33,NA,NA,NA,$24352.91,NA,NA,$24352.91,NA,$24352.91,NA,$28005.85,$24352.91,$24352.91,NA,$23135.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-C,NA,NA,$18618.36,$22538.01,NA,NA,NA,$19598.27,NA,NA,$19010.32,NA,NA,NA,$19598.27,NA,NA,$19598.27,NA,$19598.27,NA,$22538.01,$19598.27,$19598.27,NA,$18618.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-D,NA,NA,$16674.59,$20185.03,NA,NA,NA,$17552.20,NA,NA,$17025.64,NA,NA,NA,$17552.20,NA,NA,$17552.20,NA,$17552.20,NA,$20185.03,$17552.20,$17552.20,NA,$16674.59,NA,NA,NA,NA
