Encompass Health Rehabilitation Hospital of Ocala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL NETWORK BLUE (BCNB) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-D,NA,NA,$19766.07,$23990.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41668.05,NA,NA,NA,$41668.05,NA,NA,$41668.05,NA,$41668.05,NA,NA,$47918.26,$41668.05,NA,$41668.05,NA,$39584.65,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-A,NA,NA,$22040.23,$26751.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46462.13,NA,NA,NA,$46462.13,NA,NA,$46462.13,NA,$46462.13,NA,NA,$53431.44,$46462.13,NA,$46462.13,NA,$44139.02,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-B,NA,NA,$31035.24,$37668.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$65424.13,NA,NA,NA,$65424.13,NA,NA,$65424.13,NA,$65424.13,NA,NA,$75237.75,$65424.13,NA,$65424.13,NA,$62152.93,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-C,NA,NA,$26335.88,$31964.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$55517.60,NA,NA,NA,$55517.60,NA,NA,$55517.60,NA,$55517.60,NA,NA,$63845.24,$55517.60,NA,$55517.60,NA,$52741.72,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-D,NA,NA,$23723.35,$28794.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50010.23,NA,NA,NA,$50010.23,NA,NA,$50010.23,NA,$50010.23,NA,NA,$57511.77,$50010.23,NA,$50010.23,NA,$47509.72,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-A,NA,NA,$37318.96,$45295.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$78670.60,NA,NA,NA,$78670.60,NA,NA,$78670.60,NA,$78670.60,NA,NA,$90471.19,$78670.60,NA,$78670.60,NA,$74737.06,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-B,NA,NA,$52548.32,$63780.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$110774.99,NA,NA,NA,$110774.99,NA,NA,$110774.99,NA,$110774.99,NA,NA,$127391.23,$110774.99,NA,$110774.99,NA,$105236.24,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-C,NA,NA,$44591.64,$54122.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$94001.84,NA,NA,NA,$94001.84,NA,NA,$94001.84,NA,$94001.84,NA,NA,$108102.12,$94001.84,NA,$94001.84,NA,$89301.75,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-D,NA,NA,$40168.20,$48753.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$84676.97,NA,NA,NA,$84676.97,NA,NA,$84676.97,NA,$84676.97,NA,NA,$97378.52,$84676.97,NA,$84676.97,NA,$80443.12,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-A,NA,NA,$28303.63,$34353.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$59665.73,NA,NA,NA,$59665.73,NA,NA,$59665.73,NA,$59665.73,NA,NA,$68615.59,$59665.73,NA,$59665.73,NA,$56682.45,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-B,NA,NA,$39854.53,$48373.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$84015.71,NA,NA,NA,$84015.71,NA,NA,$84015.71,NA,$84015.71,NA,NA,$96618.07,$84015.71,NA,$84015.71,NA,$79814.93,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-C,NA,NA,$33819.13,$41047.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$71292.74,NA,NA,NA,$71292.74,NA,NA,$71292.74,NA,$71292.74,NA,NA,$81986.66,$71292.74,NA,$71292.74,NA,$67728.10,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-D,NA,NA,$30464.52,$36976.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$64221.02,NA,NA,NA,$64221.02,NA,NA,$64221.02,NA,$64221.02,NA,NA,$73854.17,$64221.02,NA,$64221.02,NA,$61009.97,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-A,NA,NA,$37095.32,$45024.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$78199.15,NA,NA,NA,$78199.15,NA,NA,$78199.15,NA,$78199.15,NA,NA,$89929.02,$78199.15,NA,$78199.15,NA,$74289.19,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-B,NA,NA,$52234.64,$63399.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$110113.73,NA,NA,NA,$110113.73,NA,NA,$110113.73,NA,$110113.73,NA,NA,$126630.80,$110113.73,NA,$110113.73,NA,$104608.05,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-C,NA,NA,$44324.44,$53798.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$93438.55,NA,NA,NA,$93438.55,NA,NA,$93438.55,NA,$93438.55,NA,NA,$107454.34,$93438.55,NA,$93438.55,NA,$88766.63,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-D,NA,NA,$39927.14,$48461.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$84168.79,NA,NA,NA,$84168.79,NA,NA,$84168.79,NA,$84168.79,NA,NA,$96794.10,$84168.79,NA,$84168.79,NA,$79960.35,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-A,NA,NA,$42355.24,$51408.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$89287.36,NA,NA,NA,$89287.36,NA,NA,$89287.36,NA,$89287.36,NA,NA,$102680.47,$89287.36,NA,$89287.36,NA,$84823.00,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-B,NA,NA,$59642.38,$72390.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$125729.69,NA,NA,NA,$125729.69,NA,NA,$125729.69,NA,$125729.69,NA,NA,$144589.14,$125729.69,NA,$125729.69,NA,$119443.20,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-C,NA,NA,$50609.61,$61427.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$106688.08,NA,NA,NA,$106688.08,NA,NA,$106688.08,NA,$106688.08,NA,NA,$122691.29,$106688.08,NA,$106688.08,NA,$101353.67,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-D,NA,NA,$45590.77,$55335.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$96108.05,NA,NA,NA,$96108.05,NA,NA,$96108.05,NA,$96108.05,NA,NA,$110524.26,$96108.05,NA,$96108.05,NA,$91302.65,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-A,NA,NA,$12888.39,$15643.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27169.49,NA,NA,NA,$27169.49,NA,NA,$27169.49,NA,$27169.49,NA,NA,$31244.91,$27169.49,NA,$27169.49,NA,$25811.02,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-B,NA,NA,$19019.63,$23084.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40094.51,NA,NA,NA,$40094.51,NA,NA,$40094.51,NA,$40094.51,NA,NA,$46108.69,$40094.51,NA,$40094.51,NA,$38089.79,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-C,NA,NA,$14780.62,$17939.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31158.43,NA,NA,NA,$31158.43,NA,NA,$31158.43,NA,$31158.43,NA,NA,$35832.19,$31158.43,NA,$31158.43,NA,$29600.51,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-D,NA,NA,$13954.31,$16936.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29416.52,NA,NA,NA,$29416.52,NA,NA,$29416.52,NA,$29416.52,NA,NA,$33829.00,$29416.52,NA,$29416.52,NA,$27945.69,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-A,NA,NA,$16015.00,$19438.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33760.58,NA,NA,NA,$33760.58,NA,NA,$33760.58,NA,$33760.58,NA,NA,$38824.66,$33760.58,NA,$33760.58,NA,$32072.55,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-B,NA,NA,$23631.86,$28682.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49817.36,NA,NA,NA,$49817.36,NA,NA,$49817.36,NA,$49817.36,NA,NA,$57289.97,$49817.36,NA,$49817.36,NA,$47326.50,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-C,NA,NA,$18364.68,$22289.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38713.84,NA,NA,NA,$38713.84,NA,NA,$38713.84,NA,$38713.84,NA,NA,$44520.92,$38713.84,NA,$38713.84,NA,$36778.15,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-D,NA,NA,$17337.97,$21043.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36549.47,NA,NA,NA,$36549.47,NA,NA,$36549.47,NA,$36549.47,NA,NA,$42031.89,$36549.47,NA,$36549.47,NA,$34722.00,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-A,NA,NA,$18598.49,$22573.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39206.73,NA,NA,NA,$39206.73,NA,NA,$39206.73,NA,$39206.73,NA,NA,$45087.73,$39206.73,NA,$39206.73,NA,$37246.39,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-B,NA,NA,$27445.37,$33311.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$57856.47,NA,NA,NA,$57856.47,NA,NA,$57856.47,NA,$57856.47,NA,NA,$66534.94,$57856.47,NA,$57856.47,NA,$54963.65,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-C,NA,NA,$21328.65,$25887.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44962.06,NA,NA,NA,$44962.06,NA,NA,$44962.06,NA,$44962.06,NA,NA,$51706.37,$44962.06,NA,$44962.06,NA,$42713.96,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-D,NA,NA,$20136.38,$24440.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42448.69,NA,NA,NA,$42448.69,NA,NA,$42448.69,NA,$42448.69,NA,NA,$48816.00,$42448.69,NA,$42448.69,NA,$40326.26,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-A,NA,NA,$22149.15,$26883.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46691.72,NA,NA,NA,$46691.72,NA,NA,$46691.72,NA,$46691.72,NA,NA,$53695.49,$46691.72,NA,$46691.72,NA,$44357.14,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-B,NA,NA,$32683.50,$39669.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$68898.76,NA,NA,NA,$68898.76,NA,NA,$68898.76,NA,$68898.76,NA,NA,$79233.58,$68898.76,NA,$68898.76,NA,$65453.83,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-C,NA,NA,$25400.65,$30829.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53546.09,NA,NA,NA,$53546.09,NA,NA,$53546.09,NA,$53546.09,NA,NA,$61578.00,$53546.09,NA,$53546.09,NA,$50868.78,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-D,NA,NA,$23980.39,$29106.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50552.08,NA,NA,NA,$50552.08,NA,NA,$50552.08,NA,$50552.08,NA,NA,$58134.90,$50552.08,NA,$50552.08,NA,$48024.49,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-A,NA,NA,$28897.58,$35074.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60917.83,NA,NA,NA,$60917.83,NA,NA,$60917.83,NA,$60917.83,NA,NA,$70055.49,$60917.83,NA,$60917.83,NA,$57871.93,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-B,NA,NA,$42639.87,$51753.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$89887.38,NA,NA,NA,$89887.38,NA,NA,$89887.38,NA,$89887.38,NA,NA,$103370.50,$89887.38,NA,$89887.38,NA,$85393.02,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-C,NA,NA,$33138.04,$40221.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69856.97,NA,NA,NA,$69856.97,NA,NA,$69856.97,NA,$69856.97,NA,NA,$80335.51,$69856.97,NA,$69856.97,NA,$66364.12,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-D,NA,NA,$31285.02,$37971.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$65950.69,NA,NA,NA,$65950.69,NA,NA,$65950.69,NA,$65950.69,NA,NA,$75843.29,$65950.69,NA,$65950.69,NA,$62653.15,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-A,NA,NA,$12735.91,$15458.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26848.05,NA,NA,NA,$26848.05,NA,NA,$26848.05,NA,$26848.05,NA,NA,$30875.26,$26848.05,NA,$26848.05,NA,$25505.65,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-B,NA,NA,$19856.10,$24100.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41857.85,NA,NA,NA,$41857.85,NA,NA,$41857.85,NA,$41857.85,NA,NA,$48136.53,$41857.85,NA,$41857.85,NA,$39764.95,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-C,NA,NA,$14947.63,$18142.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31510.48,NA,NA,NA,$31510.48,NA,NA,$31510.48,NA,$31510.48,NA,NA,$36237.05,$31510.48,NA,$31510.48,NA,$29934.97,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-D,NA,NA,$14012.40,$17007.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29538.98,NA,NA,NA,$29538.98,NA,NA,$29538.98,NA,$29538.98,NA,NA,$33969.82,$29538.98,NA,$29538.98,NA,$28062.03,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-A,NA,NA,$15850.90,$19238.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33414.65,NA,NA,NA,$33414.65,NA,NA,$33414.65,NA,$33414.65,NA,NA,$38426.84,$33414.65,NA,$33414.65,NA,$31743.91,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-B,NA,NA,$24710.85,$29992.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52091.95,NA,NA,NA,$52091.95,NA,NA,$52091.95,NA,$52091.95,NA,NA,$59905.74,$52091.95,NA,$52091.95,NA,$49487.35,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-C,NA,NA,$18601.39,$22577.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39212.84,NA,NA,NA,$39212.84,NA,NA,$39212.84,NA,$39212.84,NA,NA,$45094.78,$39212.84,NA,$39212.84,NA,$37252.20,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-D,NA,NA,$17438.17,$21165.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36760.70,NA,NA,NA,$36760.70,NA,NA,$36760.70,NA,$36760.70,NA,NA,$42274.80,$36760.70,NA,$36760.70,NA,$34922.67,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-A,NA,NA,$18827.94,$22852.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39690.41,NA,NA,NA,$39690.41,NA,NA,$39690.41,NA,$39690.41,NA,NA,$45643.97,$39690.41,NA,$39690.41,NA,$37705.90,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-B,NA,NA,$29355.03,$35629.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$61882.15,NA,NA,NA,$61882.15,NA,NA,$61882.15,NA,$61882.15,NA,NA,$71164.47,$61882.15,NA,$61882.15,NA,$58788.04,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-C,NA,NA,$22096.87,$26819.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46581.51,NA,NA,NA,$46581.51,NA,NA,$46581.51,NA,$46581.51,NA,NA,$53568.74,$46581.51,NA,$46581.51,NA,$44252.44,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-D,NA,NA,$20714.36,$25141.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43667.11,NA,NA,NA,$43667.11,NA,NA,$43667.11,NA,$43667.11,NA,NA,$50217.18,$43667.11,NA,$43667.11,NA,$41483.75,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-A,NA,NA,$21848.54,$26518.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46058.02,NA,NA,NA,$46058.02,NA,NA,$46058.02,NA,$46058.02,NA,NA,$52966.73,$46058.02,NA,$46058.02,NA,$43755.12,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-B,NA,NA,$34063.10,$41343.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$71807.05,NA,NA,NA,$71807.05,NA,NA,$71807.05,NA,$71807.05,NA,NA,$82578.10,$71807.05,NA,$71807.05,NA,$68216.69,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-C,NA,NA,$25641.72,$31122.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54054.27,NA,NA,NA,$54054.27,NA,NA,$54054.27,NA,$54054.27,NA,NA,$62162.42,$54054.27,NA,$54054.27,NA,$51351.56,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-D,NA,NA,$24037.03,$29174.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50671.48,NA,NA,NA,$50671.48,NA,NA,$50671.48,NA,$50671.48,NA,NA,$58272.20,$50671.48,NA,$50671.48,NA,$48137.91,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-A,NA,NA,$12795.45,$15530.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26973.56,NA,NA,NA,$26973.56,NA,NA,$26973.56,NA,$26973.56,NA,NA,$31019.59,$26973.56,NA,$26973.56,NA,$25624.89,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-B,NA,NA,$18113.45,$21985.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38184.23,NA,NA,NA,$38184.23,NA,NA,$38184.23,NA,$38184.23,NA,NA,$43911.87,$38184.23,NA,$38184.23,NA,$36275.02,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-C,NA,NA,$14689.13,$17828.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30965.56,NA,NA,NA,$30965.56,NA,NA,$30965.56,NA,$30965.56,NA,NA,$35610.40,$30965.56,NA,$30965.56,NA,$29417.29,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-D,NA,NA,$13919.46,$16894.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29343.05,NA,NA,NA,$29343.05,NA,NA,$29343.05,NA,$29343.05,NA,NA,$33744.51,$29343.05,NA,$29343.05,NA,$27875.90,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-A,NA,NA,$15997.58,$19416.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33723.84,NA,NA,NA,$33723.84,NA,NA,$33723.84,NA,$33723.84,NA,NA,$38782.42,$33723.84,NA,$33723.84,NA,$32037.65,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-B,NA,NA,$22647.26,$27487.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47741.77,NA,NA,NA,$47741.77,NA,NA,$47741.77,NA,$47741.77,NA,NA,$54903.03,$47741.77,NA,$47741.77,NA,$45354.68,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-C,NA,NA,$18366.13,$22291.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38716.90,NA,NA,NA,$38716.90,NA,NA,$38716.90,NA,$38716.90,NA,NA,$44524.44,$38716.90,NA,$38716.90,NA,$36781.06,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-D,NA,NA,$17404.77,$21124.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36690.29,NA,NA,NA,$36690.29,NA,NA,$36690.29,NA,$36690.29,NA,NA,$42193.83,$36690.29,NA,$36690.29,NA,$34855.78,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-A,NA,NA,$19445.13,$23601.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40991.49,NA,NA,NA,$40991.49,NA,NA,$40991.49,NA,$40991.49,NA,NA,$47140.21,$40991.49,NA,$40991.49,NA,$38941.92,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-B,NA,NA,$27528.14,$33412.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$58030.96,NA,NA,NA,$58030.96,NA,NA,$58030.96,NA,$58030.96,NA,NA,$66735.61,$58030.96,NA,$58030.96,NA,$55129.42,NA,NA
