Encompass Health Rehabilitation Hospital of Western Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALLWAYS HEALTH PART EXCH (ALLZ) negotiated charge,ALLWAYS HEALTH PART MCD (ALLD) negotiated charge,ALLWAYS HEALTH PARTNERS (ALL) negotiated charge,BC BS OF MA (BCMA) negotiated charge,BCBS MA EXCHANGE (BMAZ) negotiated charge,BCBS OF MASS MEDICARE (BMAM) negotiated charge,BCMA BLUE BENEFIT ADMIN (BCMB) negotiated charge,BMC HEALTHNET (BMCD) negotiated charge,BOSTON MEDICAL CTR DUAL (BMCB) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COMMONWEALTH CARE DUAL (COM) negotiated charge,CONNECTICARE (CTC) negotiated charge,CORVEL WC (CVLW) negotiated charge,COVENTRY HEALTHCARE WC (CHCW) negotiated charge,FALLON COMMUNITY HEALTH (FAL) negotiated charge,FALLON EXCHANGE (FALZ) negotiated charge,FALLON MEDICAID (FALD) negotiated charge,FALLON SENIOR (FALM) negotiated charge,HARVARD PILGRIM EXCHANGE (HPHZ) negotiated charge,HARVARD PILGRIM HEALTHCAR (HPH) negotiated charge,HEALTH NEW ENGLAND (HNE) negotiated charge,HEALTH NEW ENGLAND EXCHGE (HNEZ) negotiated charge,HEALTH NEW ENGLAND MEDICA (HNEM) negotiated charge,HEALTH NEWENGLAND MEDICAI (HNED) negotiated charge,NETWORK HEALTH (NTH) negotiated charge,NETWORK HEALTH BELOW 65 D (NTHB) negotiated charge,NETWORK HEALTH EXCHANGE (NTHZ) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,TUFTS HMO/PPO (TFTH) negotiated charge,TUFTS POS (TFTP) negotiated charge,TUFTS SECURE HORIZONS (TFTS) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNICARE CIP (UNCI) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,WELLSENSE MEDICARE (WLSM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-A,NA,NA,$23057.78,$29462.72,NA,$25619.76,NA,NA,NA,NA,NA,NA,NA,NA,$25619.76,NA,NA,$25619.76,NA,$23057.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25619.76,NA,NA,$25619.76,NA,NA,NA,$29462.72,$25619.76,$25619.76,NA,NA,NA,$25619.76,NA,NA,$25619.76,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-B,NA,NA,$33586.93,$42916.63,NA,$37318.81,NA,NA,NA,NA,NA,NA,NA,NA,$37318.81,NA,NA,$37318.81,NA,$33586.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37318.81,NA,NA,$37318.81,NA,NA,NA,$42916.63,$37318.81,$37318.81,NA,NA,NA,$37318.81,NA,NA,$37318.81,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-C,NA,NA,$27462.88,$35091.46,NA,$30514.31,NA,NA,NA,NA,NA,NA,NA,NA,$30514.31,NA,NA,$30514.31,NA,$27462.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30514.31,NA,NA,$30514.31,NA,NA,NA,$35091.46,$30514.31,$30514.31,NA,NA,NA,$30514.31,NA,NA,$30514.31,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0204-D,NA,NA,$24668.23,$31520.52,NA,$27409.15,NA,NA,NA,NA,NA,NA,NA,NA,$27409.15,NA,NA,$27409.15,NA,$24668.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27409.15,NA,NA,$27409.15,NA,NA,NA,$31520.52,$27409.15,$27409.15,NA,NA,NA,$27409.15,NA,NA,$27409.15,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-A,NA,NA,$29121.38,$37210.65,NA,$32357.09,NA,NA,NA,NA,NA,NA,NA,NA,$32357.09,NA,NA,$32357.09,NA,$29121.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32357.09,NA,NA,$32357.09,NA,NA,NA,$37210.65,$32357.09,$32357.09,NA,NA,NA,$32357.09,NA,NA,$32357.09,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-B,NA,NA,$42421.92,$54205.79,NA,$47135.47,NA,NA,NA,NA,NA,NA,NA,NA,$47135.47,NA,NA,$47135.47,NA,$42421.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47135.47,NA,NA,$47135.47,NA,NA,NA,$54205.79,$47135.47,$47135.47,NA,NA,NA,$47135.47,NA,NA,$47135.47,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-C,NA,NA,$34684.33,$44318.86,NA,$38538.14,NA,NA,NA,NA,NA,NA,NA,NA,$38538.14,NA,NA,$38538.14,NA,$34684.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38538.14,NA,NA,$38538.14,NA,NA,NA,$44318.86,$38538.14,$38538.14,NA,NA,NA,$38538.14,NA,NA,$38538.14,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-D,NA,NA,$31156.53,$39811.12,NA,$34618.36,NA,NA,NA,NA,NA,NA,NA,NA,$34618.36,NA,NA,$34618.36,NA,$31156.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34618.36,NA,NA,$34618.36,NA,NA,NA,$39811.12,$34618.36,$34618.36,NA,NA,NA,$34618.36,NA,NA,$34618.36,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-A,NA,NA,$13196.69,$16862.44,NA,$14662.99,NA,NA,NA,NA,NA,NA,NA,NA,$14662.99,NA,NA,$14662.99,NA,$13196.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14662.99,NA,NA,$14662.99,NA,NA,NA,$16862.44,$14662.99,$14662.99,NA,NA,NA,$14662.99,NA,NA,$14662.99,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-B,NA,NA,$19007.64,$24287.54,NA,$21119.60,NA,NA,NA,NA,NA,NA,NA,NA,$21119.60,NA,NA,$21119.60,NA,$19007.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21119.60,NA,NA,$21119.60,NA,NA,NA,$24287.54,$21119.60,$21119.60,NA,NA,NA,$21119.60,NA,NA,$21119.60,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-C,NA,NA,$15408.54,$19688.69,NA,$17120.60,NA,NA,NA,NA,NA,NA,NA,NA,$17120.60,NA,NA,$17120.60,NA,$15408.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17120.60,NA,NA,$17120.60,NA,NA,NA,$19688.69,$17120.60,$17120.60,NA,NA,NA,$17120.60,NA,NA,$17120.60,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-D,NA,NA,$14236.74,$18191.39,NA,$15818.60,NA,NA,NA,NA,NA,NA,NA,NA,$15818.60,NA,NA,$15818.60,NA,$14236.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15818.60,NA,NA,$15818.60,NA,NA,NA,$18191.39,$15818.60,$15818.60,NA,NA,NA,$15818.60,NA,NA,$15818.60,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-A,NA,NA,$16907.39,$21603.88,NA,$18785.99,NA,NA,NA,NA,NA,NA,NA,NA,$18785.99,NA,NA,$18785.99,NA,$16907.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18785.99,NA,NA,$18785.99,NA,NA,NA,$21603.88,$18785.99,$18785.99,NA,NA,NA,$18785.99,NA,NA,$18785.99,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-B,NA,NA,$24352.03,$31116.49,NA,$27057.81,NA,NA,NA,NA,NA,NA,NA,NA,$27057.81,NA,NA,$27057.81,NA,$24352.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27057.81,NA,NA,$27057.81,NA,NA,NA,$31116.49,$27057.81,$27057.81,NA,NA,NA,$27057.81,NA,NA,$27057.81,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-C,NA,NA,$19742.34,$25226.32,NA,$21935.93,NA,NA,NA,NA,NA,NA,NA,NA,$21935.93,NA,NA,$21935.93,NA,$19742.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21935.93,NA,NA,$21935.93,NA,NA,NA,$25226.32,$21935.93,$21935.93,NA,NA,NA,$21935.93,NA,NA,$21935.93,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-D,NA,NA,$18240.39,$23307.16,NA,$20267.10,NA,NA,NA,NA,NA,NA,NA,NA,$20267.10,NA,NA,$20267.10,NA,$18240.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20267.10,NA,NA,$20267.10,NA,NA,NA,$23307.16,$20267.10,$20267.10,NA,NA,NA,$20267.10,NA,NA,$20267.10,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-A,NA,NA,$20239.89,$25862.08,NA,$22488.76,NA,NA,NA,NA,NA,NA,NA,NA,$22488.76,NA,NA,$22488.76,NA,$20239.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22488.76,NA,NA,$22488.76,NA,NA,NA,$25862.08,$22488.76,$22488.76,NA,NA,NA,$22488.76,NA,NA,$22488.76,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-B,NA,NA,$29152.38,$37250.26,NA,$32391.53,NA,NA,NA,NA,NA,NA,NA,NA,$32391.53,NA,NA,$32391.53,NA,$29152.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32391.53,NA,NA,$32391.53,NA,NA,NA,$37250.26,$32391.53,$32391.53,NA,NA,NA,$32391.53,NA,NA,$32391.53,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-C,NA,NA,$23632.83,$30197.51,NA,$26258.70,NA,NA,NA,NA,NA,NA,NA,NA,$26258.70,NA,NA,$26258.70,NA,$23632.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26258.70,NA,NA,$26258.70,NA,NA,NA,$30197.51,$26258.70,$26258.70,NA,NA,NA,$26258.70,NA,NA,$26258.70,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-D,NA,NA,$21834.83,$27900.07,NA,$24260.93,NA,NA,NA,NA,NA,NA,NA,NA,$24260.93,NA,NA,$24260.93,NA,$21834.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24260.93,NA,NA,$24260.93,NA,NA,NA,$27900.07,$24260.93,$24260.93,NA,NA,NA,$24260.93,NA,NA,$24260.93,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-A,NA,NA,$22707.48,$29015.12,NA,$25230.54,NA,NA,NA,NA,NA,NA,NA,NA,$25230.54,NA,NA,$25230.54,NA,$22707.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25230.54,NA,NA,$25230.54,NA,NA,NA,$29015.12,$25230.54,$25230.54,NA,NA,NA,$25230.54,NA,NA,$25230.54,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-B,NA,NA,$32706.53,$41791.67,NA,$36340.59,NA,NA,NA,NA,NA,NA,NA,NA,$36340.59,NA,NA,$36340.59,NA,$32706.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36340.59,NA,NA,$36340.59,NA,NA,NA,$41791.67,$36340.59,$36340.59,NA,NA,NA,$36340.59,NA,NA,$36340.59,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-C,NA,NA,$26512.73,$33877.38,NA,$29458.59,NA,NA,NA,NA,NA,NA,NA,NA,$29458.59,NA,NA,$29458.59,NA,$26512.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29458.59,NA,NA,$29458.59,NA,NA,NA,$33877.38,$29458.59,$29458.59,NA,NA,NA,$29458.59,NA,NA,$29458.59,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-D,NA,NA,$24497.73,$31302.66,NA,$27219.70,NA,NA,NA,NA,NA,NA,NA,NA,$27219.70,NA,NA,$27219.70,NA,$24497.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27219.70,NA,NA,$27219.70,NA,NA,NA,$31302.66,$27219.70,$27219.70,NA,NA,NA,$27219.70,NA,NA,$27219.70,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-A,NA,NA,$24803.08,$31692.83,NA,$27558.98,NA,NA,NA,NA,NA,NA,NA,NA,$27558.98,NA,NA,$27558.98,NA,$24803.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27558.98,NA,NA,$27558.98,NA,NA,NA,$31692.83,$27558.98,$27558.98,NA,NA,NA,$27558.98,NA,NA,$27558.98,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-B,NA,NA,$35725.92,$45649.79,NA,$39695.47,NA,NA,NA,NA,NA,NA,NA,NA,$39695.47,NA,NA,$39695.47,NA,$35725.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39695.47,NA,NA,$39695.47,NA,NA,NA,$45649.79,$39695.47,$39695.47,NA,NA,NA,$39695.47,NA,NA,$39695.47,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-C,NA,NA,$28961.73,$37006.65,NA,$32179.70,NA,NA,NA,NA,NA,NA,NA,NA,$32179.70,NA,NA,$32179.70,NA,$28961.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32179.70,NA,NA,$32179.70,NA,NA,NA,$37006.65,$32179.70,$32179.70,NA,NA,NA,$32179.70,NA,NA,$32179.70,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-D,NA,NA,$26759.18,$34192.29,NA,$29732.42,NA,NA,NA,NA,NA,NA,NA,NA,$29732.42,NA,NA,$29732.42,NA,$26759.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29732.42,NA,NA,$29732.42,NA,NA,NA,$34192.29,$29732.42,$29732.42,NA,NA,NA,$29732.42,NA,NA,$29732.42,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-A,NA,NA,$15062.89,$19247.03,NA,$16736.54,NA,NA,NA,NA,NA,NA,NA,NA,$16736.54,NA,NA,$16736.54,NA,$15062.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16736.54,NA,NA,$16736.54,NA,NA,NA,$19247.03,$16736.54,$16736.54,NA,NA,NA,$16736.54,NA,NA,$16736.54,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-B,NA,NA,$21210.18,$27101.90,NA,$23566.87,NA,NA,NA,NA,NA,NA,NA,NA,$23566.87,NA,NA,$23566.87,NA,$21210.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23566.87,NA,NA,$23566.87,NA,NA,NA,$27101.90,$23566.87,$23566.87,NA,NA,NA,$23566.87,NA,NA,$23566.87,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-C,NA,NA,$17998.59,$22998.19,NA,$19998.43,NA,NA,NA,NA,NA,NA,NA,NA,$19998.43,NA,NA,$19998.43,NA,$17998.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19998.43,NA,NA,$19998.43,NA,NA,NA,$22998.19,$19998.43,$19998.43,NA,NA,NA,$19998.43,NA,NA,$19998.43,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-D,NA,NA,$16212.99,$20716.60,NA,$18014.43,NA,NA,NA,NA,NA,NA,NA,NA,$18014.43,NA,NA,$18014.43,NA,$16212.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18014.43,NA,NA,$18014.43,NA,NA,NA,$20716.60,$18014.43,$18014.43,NA,NA,NA,$18014.43,NA,NA,$18014.43,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-A,NA,NA,$19601.29,$25046.09,NA,$21779.21,NA,NA,NA,NA,NA,NA,NA,NA,$21779.21,NA,NA,$21779.21,NA,$19601.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21779.21,NA,NA,$21779.21,NA,NA,NA,$25046.09,$21779.21,$21779.21,NA,NA,NA,$21779.21,NA,NA,$21779.21,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-B,NA,NA,$27600.83,$35267.73,NA,$30667.59,NA,NA,NA,NA,NA,NA,NA,NA,$30667.59,NA,NA,$30667.59,NA,$27600.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30667.59,NA,NA,$30667.59,NA,NA,NA,$35267.73,$30667.59,$30667.59,NA,NA,NA,$30667.59,NA,NA,$30667.59,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-C,NA,NA,$23420.48,$29926.17,NA,$26022.76,NA,NA,NA,NA,NA,NA,NA,NA,$26022.76,NA,NA,$26022.76,NA,$23420.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26022.76,NA,NA,$26022.76,NA,NA,NA,$29926.17,$26022.76,$26022.76,NA,NA,NA,$26022.76,NA,NA,$26022.76,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-D,NA,NA,$21097.04,$26957.32,NA,$23441.15,NA,NA,NA,NA,NA,NA,NA,NA,$23441.15,NA,NA,$23441.15,NA,$21097.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23441.15,NA,NA,$23441.15,NA,NA,NA,$26957.32,$23441.15,$23441.15,NA,NA,NA,$23441.15,NA,NA,$23441.15,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-A,NA,NA,$23524.33,$30058.87,NA,$26138.15,NA,NA,NA,NA,NA,NA,NA,NA,$26138.15,NA,NA,$26138.15,NA,$23524.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26138.15,NA,NA,$26138.15,NA,NA,NA,$30058.87,$26138.15,$26138.15,NA,NA,NA,$26138.15,NA,NA,$26138.15,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-B,NA,NA,$33125.03,$42326.42,NA,$36805.58,NA,NA,NA,NA,NA,NA,NA,NA,$36805.58,NA,NA,$36805.58,NA,$33125.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36805.58,NA,NA,$36805.58,NA,NA,NA,$42326.42,$36805.58,$36805.58,NA,NA,NA,$36805.58,NA,NA,$36805.58,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-C,NA,NA,$28109.23,$35917.35,NA,$31232.48,NA,NA,NA,NA,NA,NA,NA,NA,$31232.48,NA,NA,$31232.48,NA,$28109.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31232.48,NA,NA,$31232.48,NA,NA,NA,$35917.35,$31232.48,$31232.48,NA,NA,NA,$31232.48,NA,NA,$31232.48,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-D,NA,NA,$25320.78,$32354.33,NA,$28134.20,NA,NA,NA,NA,NA,NA,NA,NA,$28134.20,NA,NA,$28134.20,NA,$25320.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28134.20,NA,NA,$28134.20,NA,NA,NA,$32354.33,$28134.20,$28134.20,NA,NA,NA,$28134.20,NA,NA,$28134.20,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-A,NA,NA,$39831.87,$50896.28,NA,$44257.64,NA,NA,NA,NA,NA,NA,NA,NA,$44257.64,NA,NA,$44257.64,NA,$39831.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44257.64,NA,NA,$44257.64,NA,NA,NA,$50896.28,$44257.64,$44257.64,NA,NA,NA,$44257.64,NA,NA,$44257.64,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-B,NA,NA,$56086.71,$71666.35,NA,$62318.57,NA,NA,NA,NA,NA,NA,NA,NA,$62318.57,NA,NA,$62318.57,NA,$56086.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$62318.57,NA,NA,$62318.57,NA,NA,NA,$71666.35,$62318.57,$62318.57,NA,NA,NA,$62318.57,NA,NA,$62318.57,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-C,NA,NA,$47594.27,$60814.90,NA,$52882.52,NA,NA,NA,NA,NA,NA,NA,NA,$52882.52,NA,NA,$52882.52,NA,$47594.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52882.52,NA,NA,$52882.52,NA,NA,NA,$60814.90,$52882.52,$52882.52,NA,NA,NA,$52882.52,NA,NA,$52882.52,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-D,NA,NA,$42872.97,$54782.13,NA,$47636.63,NA,NA,NA,NA,NA,NA,NA,NA,$47636.63,NA,NA,$47636.63,NA,$42872.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47636.63,NA,NA,$47636.63,NA,NA,NA,$54782.13,$47636.63,$47636.63,NA,NA,NA,$47636.63,NA,NA,$47636.63,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-A,NA,NA,$30209.48,$38601.00,NA,$33566.09,NA,NA,NA,NA,NA,NA,NA,NA,$33566.09,NA,NA,$33566.09,NA,$30209.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33566.09,NA,NA,$33566.09,NA,NA,NA,$38601.00,$33566.09,$33566.09,NA,NA,NA,$33566.09,NA,NA,$33566.09,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-B,NA,NA,$42538.17,$54354.33,NA,$47264.63,NA,NA,NA,NA,NA,NA,NA,NA,$47264.63,NA,NA,$47264.63,NA,$42538.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47264.63,NA,NA,$47264.63,NA,NA,NA,$54354.33,$47264.63,$47264.63,NA,NA,NA,$47264.63,NA,NA,$47264.63,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-C,NA,NA,$36096.37,$46123.15,NA,$40107.08,NA,NA,NA,NA,NA,NA,NA,NA,$40107.08,NA,NA,$40107.08,NA,$36096.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40107.08,NA,NA,$40107.08,NA,NA,NA,$46123.15,$40107.08,$40107.08,NA,NA,NA,$40107.08,NA,NA,$40107.08,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-D,NA,NA,$32515.88,$41548.06,NA,$36128.75,NA,NA,NA,NA,NA,NA,NA,NA,$36128.75,NA,NA,$36128.75,NA,$32515.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36128.75,NA,NA,$36128.75,NA,NA,NA,$41548.06,$36128.75,$36128.75,NA,NA,NA,$36128.75,NA,NA,$36128.75,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-A,NA,NA,$39593.17,$50591.28,NA,$43992.41,NA,NA,NA,NA,NA,NA,NA,NA,$43992.41,NA,NA,$43992.41,NA,$39593.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43992.41,NA,NA,$43992.41,NA,NA,NA,$50591.28,$43992.41,$43992.41,NA,NA,NA,$43992.41,NA,NA,$43992.41,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-B,NA,NA,$55751.91,$71238.55,NA,$61946.57,NA,NA,NA,NA,NA,NA,NA,NA,$61946.57,NA,NA,$61946.57,NA,$55751.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$61946.57,NA,NA,$61946.57,NA,NA,NA,$71238.55,$61946.57,$61946.57,NA,NA,NA,$61946.57,NA,NA,$61946.57,NA,NA
