Encompass Health Rehabilitation Hospital of Salisbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,CAREFIRST (GRP HOSP/MED) (BCMI) negotiated charge,CAREFIRST BCBS (BCMH) negotiated charge,CAREFIRST BCBS EXCHANGE (BCMZ) negotiated charge,CAREFIRST BLUESELECT HMO (BCBH) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICECARE MEDICARE (CHOM) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,INFORMED (INFD) negotiated charge,INNOVATIVE HEALTHWARE (INN) negotiated charge,INTEGRA GROUP (INT) negotiated charge,JOHNS HOPKINS HEALTHCARE (JHH) negotiated charge,JOHNS HOPKINS MEDICAID (JHHD) negotiated charge,MULTIPLAN (MUL) negotiated charge,ONE NET (ONT) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,RIVERSIDE HEALTH MEDICAID (RHPD) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-A,NA,NA,$47161.36,$54235.57,NA,NA,NA,NA,NA,NA,$47161.36,$47161.36,NA,NA,NA,$47161.36,NA,NA,NA,NA,NA,NA,NA,$54235.57,$47161.36,NA,$47161.36,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-B,NA,NA,$66410.11,$76371.62,NA,NA,NA,NA,NA,NA,$66410.11,$66410.11,NA,NA,NA,$66410.11,NA,NA,NA,NA,NA,NA,NA,$76371.62,$66410.11,NA,$66410.11,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-C,NA,NA,$56352.38,$64805.24,NA,NA,NA,NA,NA,NA,$56352.38,$56352.38,NA,NA,NA,$56352.38,NA,NA,NA,NA,NA,NA,NA,$64805.24,$56352.38,NA,$56352.38,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-D,NA,NA,$50764.04,$58378.64,NA,NA,NA,NA,NA,NA,$50764.04,$50764.04,NA,NA,NA,$50764.04,NA,NA,NA,NA,NA,NA,NA,$58378.64,$50764.04,NA,$50764.04,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-A,NA,NA,$14350.86,$16503.49,NA,NA,NA,NA,NA,NA,$14350.86,$14350.86,NA,NA,NA,$14350.86,NA,NA,NA,NA,NA,NA,NA,$16503.49,$14350.86,NA,$14350.86,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-B,NA,NA,$21177.82,$24354.50,NA,NA,NA,NA,NA,NA,$21177.82,$21177.82,NA,NA,NA,$21177.82,NA,NA,NA,NA,NA,NA,NA,$24354.50,$21177.82,NA,$21177.82,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-C,NA,NA,$16457.81,$18926.48,NA,NA,NA,NA,NA,NA,$16457.81,$16457.81,NA,NA,NA,$16457.81,NA,NA,NA,NA,NA,NA,NA,$18926.48,$16457.81,NA,$16457.81,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-D,NA,NA,$15537.73,$17868.39,NA,NA,NA,NA,NA,NA,$15537.73,$15537.73,NA,NA,NA,$15537.73,NA,NA,NA,NA,NA,NA,NA,$17868.39,$15537.73,NA,$15537.73,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-A,NA,NA,$17832.25,$20507.09,NA,NA,NA,NA,NA,NA,$17832.25,$17832.25,NA,NA,NA,$17832.25,NA,NA,NA,NA,NA,NA,NA,$20507.09,$17832.25,NA,$17832.25,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-B,NA,NA,$26313.41,$30260.42,NA,NA,NA,NA,NA,NA,$26313.41,$26313.41,NA,NA,NA,$26313.41,NA,NA,NA,NA,NA,NA,NA,$30260.42,$26313.41,NA,$26313.41,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-C,NA,NA,$20448.56,$23515.84,NA,NA,NA,NA,NA,NA,$20448.56,$20448.56,NA,NA,NA,$20448.56,NA,NA,NA,NA,NA,NA,NA,$23515.84,$20448.56,NA,$20448.56,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-D,NA,NA,$19305.34,$22201.14,NA,NA,NA,NA,NA,NA,$19305.34,$19305.34,NA,NA,NA,$19305.34,NA,NA,NA,NA,NA,NA,NA,$22201.14,$19305.34,NA,$19305.34,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-A,NA,NA,$20708.89,$23815.23,NA,NA,NA,NA,NA,NA,$20708.89,$20708.89,NA,NA,NA,$20708.89,NA,NA,NA,NA,NA,NA,NA,$23815.23,$20708.89,NA,$20708.89,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-B,NA,NA,$30559.65,$35143.59,NA,NA,NA,NA,NA,NA,$30559.65,$30559.65,NA,NA,NA,$30559.65,NA,NA,NA,NA,NA,NA,NA,$35143.59,$30559.65,NA,$30559.65,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-C,NA,NA,$23748.85,$27311.18,NA,NA,NA,NA,NA,NA,$23748.85,$23748.85,NA,NA,NA,$23748.85,NA,NA,NA,NA,NA,NA,NA,$27311.18,$23748.85,NA,$23748.85,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-D,NA,NA,$22421.29,$25784.49,NA,NA,NA,NA,NA,NA,$22421.29,$22421.29,NA,NA,NA,$22421.29,NA,NA,NA,NA,NA,NA,NA,$25784.49,$22421.29,NA,$22421.29,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-A,NA,NA,$24662.45,$28361.82,NA,NA,NA,NA,NA,NA,$24662.45,$24662.45,NA,NA,NA,$24662.45,NA,NA,NA,NA,NA,NA,NA,$28361.82,$24662.45,NA,$24662.45,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-B,NA,NA,$36392.16,$41850.98,NA,NA,NA,NA,NA,NA,$36392.16,$36392.16,NA,NA,NA,$36392.16,NA,NA,NA,NA,NA,NA,NA,$41850.98,$36392.16,NA,$36392.16,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-C,NA,NA,$28282.91,$32525.35,NA,NA,NA,NA,NA,NA,$28282.91,$28282.91,NA,NA,NA,$28282.91,NA,NA,NA,NA,NA,NA,NA,$32525.35,$28282.91,NA,$28282.91,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-D,NA,NA,$26701.49,$30706.71,NA,NA,NA,NA,NA,NA,$26701.49,$26701.49,NA,NA,NA,$26701.49,NA,NA,NA,NA,NA,NA,NA,$30706.71,$26701.49,NA,$26701.49,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-A,NA,NA,$32176.64,$37003.14,NA,NA,NA,NA,NA,NA,$32176.64,$32176.64,NA,NA,NA,$32176.64,NA,NA,NA,NA,NA,NA,NA,$37003.14,$32176.64,NA,$32176.64,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-B,NA,NA,$47478.30,$54600.04,NA,NA,NA,NA,NA,NA,$47478.30,$47478.30,NA,NA,NA,$47478.30,NA,NA,NA,NA,NA,NA,NA,$54600.04,$47478.30,NA,$47478.30,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-C,NA,NA,$36898.28,$42433.02,NA,NA,NA,NA,NA,NA,$36898.28,$36898.28,NA,NA,NA,$36898.28,NA,NA,NA,NA,NA,NA,NA,$42433.02,$36898.28,NA,$36898.28,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-D,NA,NA,$34834.99,$40060.24,NA,NA,NA,NA,NA,NA,$34834.99,$34834.99,NA,NA,NA,$34834.99,NA,NA,NA,NA,NA,NA,NA,$40060.24,$34834.99,NA,$34834.99,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-A,NA,NA,$14181.07,$16308.23,NA,NA,NA,NA,NA,NA,$14181.07,$14181.07,NA,NA,NA,$14181.07,NA,NA,NA,NA,NA,NA,NA,$16308.23,$14181.07,NA,$14181.07,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-B,NA,NA,$22109.21,$25425.60,NA,NA,NA,NA,NA,NA,$22109.21,$22109.21,NA,NA,NA,$22109.21,NA,NA,NA,NA,NA,NA,NA,$25425.60,$22109.21,NA,$22109.21,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-C,NA,NA,$16643.76,$19140.32,NA,NA,NA,NA,NA,NA,$16643.76,$16643.76,NA,NA,NA,$16643.76,NA,NA,NA,NA,NA,NA,NA,$19140.32,$16643.76,NA,$16643.76,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-D,NA,NA,$15602.41,$17942.78,NA,NA,NA,NA,NA,NA,$15602.41,$15602.41,NA,NA,NA,$15602.41,NA,NA,NA,NA,NA,NA,NA,$17942.78,$15602.41,NA,$15602.41,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-A,NA,NA,$17649.53,$20296.96,NA,NA,NA,NA,NA,NA,$17649.53,$17649.53,NA,NA,NA,$17649.53,NA,NA,NA,NA,NA,NA,NA,$20296.96,$17649.53,NA,$17649.53,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-B,NA,NA,$27514.84,$31642.06,NA,NA,NA,NA,NA,NA,$27514.84,$27514.84,NA,NA,NA,$27514.84,NA,NA,NA,NA,NA,NA,NA,$31642.06,$27514.84,NA,$27514.84,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-C,NA,NA,$20712.13,$23818.95,NA,NA,NA,NA,NA,NA,$20712.13,$20712.13,NA,NA,NA,$20712.13,NA,NA,NA,NA,NA,NA,NA,$23818.95,$20712.13,NA,$20712.13,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-D,NA,NA,$19416.91,$22329.45,NA,NA,NA,NA,NA,NA,$19416.91,$19416.91,NA,NA,NA,$19416.91,NA,NA,NA,NA,NA,NA,NA,$22329.45,$19416.91,NA,$19416.91,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-A,NA,NA,$20964.38,$24109.04,NA,NA,NA,NA,NA,NA,$20964.38,$20964.38,NA,NA,NA,$20964.38,NA,NA,NA,NA,NA,NA,NA,$24109.04,$20964.38,NA,$20964.38,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-B,NA,NA,$32686.00,$37588.90,NA,NA,NA,NA,NA,NA,$32686.00,$32686.00,NA,NA,NA,$32686.00,NA,NA,NA,NA,NA,NA,NA,$37588.90,$32686.00,NA,$32686.00,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-C,NA,NA,$24604.24,$28294.88,NA,NA,NA,NA,NA,NA,$24604.24,$24604.24,NA,NA,NA,$24604.24,NA,NA,NA,NA,NA,NA,NA,$28294.88,$24604.24,NA,$24604.24,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-D,NA,NA,$23064.86,$26524.59,NA,NA,NA,NA,NA,NA,$23064.86,$23064.86,NA,NA,NA,$23064.86,NA,NA,NA,NA,NA,NA,NA,$26524.59,$23064.86,NA,$23064.86,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-A,NA,NA,$24327.73,$27976.90,NA,NA,NA,NA,NA,NA,$24327.73,$24327.73,NA,NA,NA,$24327.73,NA,NA,NA,NA,NA,NA,NA,$27976.90,$24327.73,NA,$24327.73,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-B,NA,NA,$37928.31,$43617.55,NA,NA,NA,NA,NA,NA,$37928.31,$37928.31,NA,NA,NA,$37928.31,NA,NA,NA,NA,NA,NA,NA,$43617.55,$37928.31,NA,$37928.31,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-C,NA,NA,$28551.33,$32834.03,NA,NA,NA,NA,NA,NA,$28551.33,$28551.33,NA,NA,NA,$28551.33,NA,NA,NA,NA,NA,NA,NA,$32834.03,$28551.33,NA,$28551.33,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-D,NA,NA,$26764.55,$30779.23,NA,NA,NA,NA,NA,NA,$26764.55,$26764.55,NA,NA,NA,$26764.55,NA,NA,NA,NA,NA,NA,NA,$30779.23,$26764.55,NA,$26764.55,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-A,NA,NA,$14247.37,$16384.47,NA,NA,NA,NA,NA,NA,$14247.37,$14247.37,NA,NA,NA,$14247.37,NA,NA,NA,NA,NA,NA,NA,$16384.47,$14247.37,NA,$14247.37,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-B,NA,NA,$20168.82,$23194.14,NA,NA,NA,NA,NA,NA,$20168.82,$20168.82,NA,NA,NA,$20168.82,NA,NA,NA,NA,NA,NA,NA,$23194.14,$20168.82,NA,$20168.82,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-C,NA,NA,$16355.93,$18809.32,NA,NA,NA,NA,NA,NA,$16355.93,$16355.93,NA,NA,NA,$16355.93,NA,NA,NA,NA,NA,NA,NA,$18809.32,$16355.93,NA,$16355.93,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-D,NA,NA,$15498.93,$17823.76,NA,NA,NA,NA,NA,NA,$15498.93,$15498.93,NA,NA,NA,$15498.93,NA,NA,NA,NA,NA,NA,NA,$17823.76,$15498.93,NA,$15498.93,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-A,NA,NA,$17812.85,$20484.78,NA,NA,NA,NA,NA,NA,$17812.85,$17812.85,NA,NA,NA,$17812.85,NA,NA,NA,NA,NA,NA,NA,$20484.78,$17812.85,NA,$17812.85,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-B,NA,NA,$25217.08,$28999.65,NA,NA,NA,NA,NA,NA,$25217.08,$25217.08,NA,NA,NA,$25217.08,NA,NA,NA,NA,NA,NA,NA,$28999.65,$25217.08,NA,$25217.08,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-C,NA,NA,$20450.17,$23517.70,NA,NA,NA,NA,NA,NA,$20450.17,$20450.17,NA,NA,NA,$20450.17,NA,NA,NA,NA,NA,NA,NA,$23517.70,$20450.17,NA,$20450.17,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-D,NA,NA,$19379.72,$22286.68,NA,NA,NA,NA,NA,NA,$19379.72,$19379.72,NA,NA,NA,$19379.72,NA,NA,NA,NA,NA,NA,NA,$22286.68,$19379.72,NA,$19379.72,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-A,NA,NA,$21651.60,$24899.34,NA,NA,NA,NA,NA,NA,$21651.60,$21651.60,NA,NA,NA,$21651.60,NA,NA,NA,NA,NA,NA,NA,$24899.34,$21651.60,NA,$21651.60,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-B,NA,NA,$30651.81,$35249.59,NA,NA,NA,NA,NA,NA,$30651.81,$30651.81,NA,NA,NA,$30651.81,NA,NA,NA,NA,NA,NA,NA,$35249.59,$30651.81,NA,$30651.81,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-C,NA,NA,$24858.11,$28586.83,NA,NA,NA,NA,NA,NA,$24858.11,$24858.11,NA,NA,NA,$24858.11,NA,NA,NA,NA,NA,NA,NA,$28586.83,$24858.11,NA,$24858.11,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-D,NA,NA,$23556.43,$27089.89,NA,NA,NA,NA,NA,NA,$23556.43,$23556.43,NA,NA,NA,$23556.43,NA,NA,NA,NA,NA,NA,NA,$27089.89,$23556.43,NA,$23556.43,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-A,NA,NA,$24740.07,$28451.08,NA,NA,NA,NA,NA,NA,$24740.07,$24740.07,NA,NA,NA,$24740.07,NA,NA,NA,NA,NA,NA,NA,$28451.08,$24740.07,NA,$24740.07,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-B,NA,NA,$35024.18,$40277.80,NA,NA,NA,NA,NA,NA,$35024.18,$35024.18,NA,NA,NA,$35024.18,NA,NA,NA,NA,NA,NA,NA,$40277.80,$35024.18,NA,$35024.18,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-C,NA,NA,$28404.19,$32664.81,NA,NA,NA,NA,NA,NA,$28404.19,$28404.19,NA,NA,NA,$28404.19,NA,NA,NA,NA,NA,NA,NA,$32664.81,$28404.19,NA,$28404.19,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-D,NA,NA,$26916.55,$30954.03,NA,NA,NA,NA,NA,NA,$26916.55,$26916.55,NA,NA,NA,$26916.55,NA,NA,NA,NA,NA,NA,NA,$30954.03,$26916.55,NA,$26916.55,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-A,NA,NA,$12230.97,$14065.62,NA,NA,NA,NA,NA,NA,$12230.97,$12230.97,NA,NA,NA,$12230.97,NA,NA,NA,NA,NA,NA,NA,$14065.62,$12230.97,NA,$12230.97,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-B,NA,NA,$18220.33,$20953.38,NA,NA,NA,NA,NA,NA,$18220.33,$18220.33,NA,NA,NA,$18220.33,NA,NA,NA,NA,NA,NA,NA,$20953.38,$18220.33,NA,$18220.33,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-C,NA,NA,$14662.94,$16862.38,NA,NA,NA,NA,NA,NA,$14662.94,$14662.94,NA,NA,NA,$14662.94,NA,NA,NA,NA,NA,NA,NA,$16862.38,$14662.94,NA,$14662.94,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-D,NA,NA,$13131.64,$15101.39,NA,NA,NA,NA,NA,NA,$13131.64,$13131.64,NA,NA,NA,$13131.64,NA,NA,NA,NA,NA,NA,NA,$15101.39,$13131.64,NA,$13131.64,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-A,NA,NA,$14379.96,$16536.96,NA,NA,NA,NA,NA,NA,$14379.96,$14379.96,NA,NA,NA,$14379.96,NA,NA,NA,NA,NA,NA,NA,$16536.96,$14379.96,NA,$14379.96,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-B,NA,NA,$21421.99,$24635.29,NA,NA,NA,NA,NA,NA,$21421.99,$21421.99,NA,NA,NA,$21421.99,NA,NA,NA,NA,NA,NA,NA,$24635.29,$21421.99,NA,$21421.99,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-C,NA,NA,$17238.82,$19824.64,NA,NA,NA,NA,NA,NA,$17238.82,$17238.82,NA,NA,NA,$17238.82,NA,NA,NA,NA,NA,NA,NA,$19824.64,$17238.82,NA,$17238.82,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-D,NA,NA,$15439.10,$17754.96,NA,NA,NA,NA,NA,NA,$15439.10,$15439.10,NA,NA,NA,$15439.10,NA,NA,NA,NA,NA,NA,NA,$17754.96,$15439.10,NA,$15439.10,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-A,NA,NA,$16063.26,$18472.75,NA,NA,NA,NA,NA,NA,$16063.26,$16063.26,NA,NA,NA,$16063.26,NA,NA,NA,NA,NA,NA,NA,$18472.75,$16063.26,NA,$16063.26,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-B,NA,NA,$23929.95,$27519.45,NA,NA,NA,NA,NA,NA,$23929.95,$23929.95,NA,NA,NA,$23929.95,NA,NA,NA,NA,NA,NA,NA,$27519.45,$23929.95,NA,$23929.95,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-C,NA,NA,$19256.83,$22145.35,NA,NA,NA,NA,NA,NA,$19256.83,$19256.83,NA,NA,NA,$19256.83,NA,NA,NA,NA,NA,NA,NA,$22145.35,$19256.83,NA,$19256.83,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-D,NA,NA,$17246.90,$19833.94,NA,NA,NA,NA,NA,NA,$17246.90,$17246.90,NA,NA,NA,$17246.90,NA,NA,NA,NA,NA,NA,NA,$19833.94,$17246.90,NA,$17246.90,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-A,NA,NA,$18513.01,$21289.96,NA,NA,NA,NA,NA,NA,$18513.01,$18513.01,NA,NA,NA,$18513.01,NA,NA,NA,NA,NA,NA,NA,$21289.96,$18513.01,NA,$18513.01,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-B,NA,NA,$27579.52,$31716.45,NA,NA,NA,NA,NA,NA,$27579.52,$27579.52,NA,NA,NA,$27579.52,NA,NA,NA,NA,NA,NA,NA,$31716.45,$27579.52,NA,$27579.52,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-C,NA,NA,$22194.91,$25524.15,NA,NA,NA,NA,NA,NA,$22194.91,$22194.91,NA,NA,NA,$22194.91,NA,NA,NA,NA,NA,NA,NA,$25524.15,$22194.91,NA,$22194.91,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-D,NA,NA,$19877.76,$22859.42,NA,NA,NA,NA,NA,NA,$19877.76,$19877.76,NA,NA,NA,$19877.76,NA,NA,NA,NA,NA,NA,NA,$22859.42,$19877.76,NA,$19877.76,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-A,NA,NA,$21572.37,$24808.23,NA,NA,NA,NA,NA,NA,$21572.37,$21572.37,NA,NA,NA,$21572.37,NA,NA,NA,NA,NA,NA,NA,$24808.23,$21572.37,NA,$21572.37,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-B,NA,NA,$32136.22,$36956.65,NA,NA,NA,NA,NA,NA,$32136.22,$32136.22,NA,NA,NA,$32136.22,NA,NA,NA,NA,NA,NA,NA,$36956.65,$32136.22,NA,$32136.22,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-C,NA,NA,$25862.27,$29741.61,NA,NA,NA,NA,NA,NA,$25862.27,$25862.27,NA,NA,NA,$25862.27,NA,NA,NA,NA,NA,NA,NA,$29741.61,$25862.27,NA,$25862.27,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-D,NA,NA,$23161.88,$26636.16,NA,NA,NA,NA,NA,NA,$23161.88,$23161.88,NA,NA,NA,$23161.88,NA,NA,NA,NA,NA,NA,NA,$26636.16,$23161.88,NA,$23161.88,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-A,NA,NA,$13377.42,$15384.04,NA,NA,NA,NA,NA,NA,$13377.42,$13377.42,NA,NA,NA,$13377.42,NA,NA,NA,NA,NA,NA,NA,$15384.04,$13377.42,NA,$13377.42,NA,NA,NA
