Encompass Health Lakeshore Rehabilitation Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,BC FEP (BCFD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,BCBS OF AL MEDICARE ADVAN (BCAD) negotiated charge,BCBS OF ALABAMA (BCAL) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL (CVL) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY-NATIONAL (CHCN) negotiated charge,COVENTRY-SOUTHCARE (CHC) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTH CHOICE OF ALABAMA (HEAK) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,MULTIPLAN (MUL) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,ONECALL MEDICAL (OCL) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,UNITED MINE WORKERS (UMW) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-B,NA,NA,$32809.86,$39717.19,NA,NA,NA,NA,NA,$32809.86,NA,NA,NA,$34536.69,NA,NA,NA,NA,NA,NA,NA,NA,$34536.69,NA,$34536.69,NA,NA,NA,NA,$39717.19,$34536.69,$34536.69,NA,$32809.86,$34536.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-C,NA,NA,$26597.78,$32197.31,NA,NA,NA,NA,NA,$26597.78,NA,NA,NA,$27997.66,NA,NA,NA,NA,NA,NA,NA,NA,$27997.66,NA,$27997.66,NA,NA,NA,NA,$32197.31,$27997.66,$27997.66,NA,$26597.78,$27997.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-D,NA,NA,$24575.01,$29748.69,NA,NA,NA,NA,NA,$24575.01,NA,NA,NA,$25868.43,NA,NA,NA,NA,NA,NA,NA,NA,$25868.43,NA,$25868.43,NA,NA,NA,NA,$29748.69,$25868.43,$25868.43,NA,$24575.01,$25868.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-A,NA,NA,$13833.41,$16745.70,NA,NA,NA,NA,NA,$13833.41,NA,NA,NA,$14561.48,NA,NA,NA,NA,NA,NA,NA,NA,$14561.48,NA,$14561.48,NA,NA,NA,NA,$16745.70,$14561.48,$14561.48,NA,$13833.41,$14561.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-B,NA,NA,$19478.94,$23579.77,NA,NA,NA,NA,NA,$19478.94,NA,NA,NA,$20504.15,NA,NA,NA,NA,NA,NA,NA,NA,$20504.15,NA,$20504.15,NA,NA,NA,NA,$23579.77,$20504.15,$20504.15,NA,$19478.94,$20504.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-C,NA,NA,$16529.48,$20009.37,NA,NA,NA,NA,NA,$16529.48,NA,NA,NA,$17399.46,NA,NA,NA,NA,NA,NA,NA,NA,$17399.46,NA,$17399.46,NA,NA,NA,NA,$20009.37,$17399.46,$17399.46,NA,$16529.48,$17399.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-D,NA,NA,$14889.63,$18024.29,NA,NA,NA,NA,NA,$14889.63,NA,NA,NA,$15673.30,NA,NA,NA,NA,NA,NA,NA,NA,$15673.30,NA,$15673.30,NA,NA,NA,NA,$18024.29,$15673.30,$15673.30,NA,$14889.63,$15673.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-A,NA,NA,$18001.36,$21791.12,NA,NA,NA,NA,NA,$18001.36,NA,NA,NA,$18948.80,NA,NA,NA,NA,NA,NA,NA,NA,$18948.80,NA,$18948.80,NA,NA,NA,NA,$21791.12,$18948.80,$18948.80,NA,$18001.36,$18948.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-B,NA,NA,$25347.96,$30684.37,NA,NA,NA,NA,NA,$25347.96,NA,NA,NA,$26682.06,NA,NA,NA,NA,NA,NA,NA,NA,$26682.06,NA,$26682.06,NA,NA,NA,NA,$30684.37,$26682.06,$26682.06,NA,$25347.96,$26682.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-C,NA,NA,$21508.83,$26037.00,NA,NA,NA,NA,NA,$21508.83,NA,NA,NA,$22640.87,NA,NA,NA,NA,NA,NA,NA,NA,$22640.87,NA,$22640.87,NA,NA,NA,NA,$26037.00,$22640.87,$22640.87,NA,$21508.83,$22640.87,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-D,NA,NA,$19375.03,$23453.98,NA,NA,NA,NA,NA,$19375.03,NA,NA,NA,$20394.76,NA,NA,NA,NA,NA,NA,NA,NA,$20394.76,NA,$20394.76,NA,NA,NA,NA,$23453.98,$20394.76,$20394.76,NA,$19375.03,$20394.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-A,NA,NA,$21604.20,$26152.45,NA,NA,NA,NA,NA,$21604.20,NA,NA,NA,$22741.26,NA,NA,NA,NA,NA,NA,NA,NA,$22741.26,NA,$22741.26,NA,NA,NA,NA,$26152.45,$22741.26,$22741.26,NA,$21604.20,$22741.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-B,NA,NA,$30421.25,$36825.73,NA,NA,NA,NA,NA,$30421.25,NA,NA,NA,$32022.37,NA,NA,NA,NA,NA,NA,NA,NA,$32022.37,NA,$32022.37,NA,NA,NA,NA,$36825.73,$32022.37,$32022.37,NA,$30421.25,$32022.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-C,NA,NA,$25814.86,$31249.57,NA,NA,NA,NA,NA,$25814.86,NA,NA,NA,$27173.54,NA,NA,NA,NA,NA,NA,NA,NA,$27173.54,NA,$27173.54,NA,NA,NA,NA,$31249.57,$27173.54,$27173.54,NA,$25814.86,$27173.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-D,NA,NA,$23254.02,$28149.60,NA,NA,NA,NA,NA,$23254.02,NA,NA,NA,$24477.91,NA,NA,NA,NA,NA,NA,NA,NA,$24477.91,NA,$24477.91,NA,NA,NA,NA,$28149.60,$24477.91,$24477.91,NA,$23254.02,$24477.91,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-A,NA,NA,$36580.66,$44281.85,NA,NA,NA,NA,NA,$36580.66,NA,NA,NA,$38505.96,NA,NA,NA,NA,NA,NA,NA,NA,$38505.96,NA,$38505.96,NA,NA,NA,NA,$44281.85,$38505.96,$38505.96,NA,$36580.66,$38505.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-B,NA,NA,$51508.73,$62352.67,NA,NA,NA,NA,NA,$51508.73,NA,NA,NA,$54219.71,NA,NA,NA,NA,NA,NA,NA,NA,$54219.71,NA,$54219.71,NA,NA,NA,NA,$62352.67,$54219.71,$54219.71,NA,$51508.73,$54219.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-C,NA,NA,$43709.46,$52911.46,NA,NA,NA,NA,NA,$43709.46,NA,NA,NA,$46009.96,NA,NA,NA,NA,NA,NA,NA,NA,$46009.96,NA,$46009.96,NA,NA,NA,NA,$52911.46,$46009.96,$46009.96,NA,$43709.46,$46009.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-D,NA,NA,$39373.54,$47662.70,NA,NA,NA,NA,NA,$39373.54,NA,NA,NA,$41445.83,NA,NA,NA,NA,NA,NA,NA,NA,$41445.83,NA,$41445.83,NA,NA,NA,NA,$47662.70,$41445.83,$41445.83,NA,$39373.54,$41445.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-A,NA,NA,$27743.68,$33584.46,NA,NA,NA,NA,NA,$27743.68,NA,NA,NA,$29203.87,NA,NA,NA,NA,NA,NA,NA,NA,$29203.87,NA,$29203.87,NA,NA,NA,NA,$33584.46,$29203.87,$29203.87,NA,$27743.68,$29203.87,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-B,NA,NA,$39066.06,$47290.50,NA,NA,NA,NA,NA,$39066.06,NA,NA,NA,$41122.17,NA,NA,NA,NA,NA,NA,NA,NA,$41122.17,NA,$41122.17,NA,NA,NA,NA,$47290.50,$41122.17,$41122.17,NA,$39066.06,$41122.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-C,NA,NA,$33150.07,$40129.03,NA,NA,NA,NA,NA,$33150.07,NA,NA,NA,$34894.81,NA,NA,NA,NA,NA,NA,NA,NA,$34894.81,NA,$34894.81,NA,NA,NA,NA,$40129.03,$34894.81,$34894.81,NA,$33150.07,$34894.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-D,NA,NA,$29861.82,$36148.52,NA,NA,NA,NA,NA,$29861.82,NA,NA,NA,$31433.50,NA,NA,NA,NA,NA,NA,NA,NA,$31433.50,NA,$31433.50,NA,NA,NA,NA,$36148.52,$31433.50,$31433.50,NA,$29861.82,$31433.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-A,NA,NA,$36361.45,$44016.49,NA,NA,NA,NA,NA,$36361.45,NA,NA,NA,$38275.21,NA,NA,NA,NA,NA,NA,NA,NA,$38275.21,NA,$38275.21,NA,NA,NA,NA,$44016.49,$38275.21,$38275.21,NA,$36361.45,$38275.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-B,NA,NA,$51201.25,$61980.47,NA,NA,NA,NA,NA,$51201.25,NA,NA,NA,$53896.06,NA,NA,NA,NA,NA,NA,NA,NA,$53896.06,NA,$53896.06,NA,NA,NA,NA,$61980.47,$53896.06,$53896.06,NA,$51201.25,$53896.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-C,NA,NA,$43447.54,$52594.39,NA,NA,NA,NA,NA,$43447.54,NA,NA,NA,$45734.26,NA,NA,NA,NA,NA,NA,NA,NA,$45734.26,NA,$45734.26,NA,NA,NA,NA,$52594.39,$45734.26,$45734.26,NA,$43447.54,$45734.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-D,NA,NA,$39137.24,$47376.66,NA,NA,NA,NA,NA,$39137.24,NA,NA,NA,$41197.09,NA,NA,NA,NA,NA,NA,NA,NA,$41197.09,NA,$41197.09,NA,NA,NA,NA,$47376.66,$41197.09,$41197.09,NA,$39137.24,$41197.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-A,NA,NA,$41517.30,$50257.79,NA,NA,NA,NA,NA,$41517.30,NA,NA,NA,$43702.42,NA,NA,NA,NA,NA,NA,NA,NA,$43702.42,NA,$43702.42,NA,NA,NA,NA,$50257.79,$43702.42,$43702.42,NA,$41517.30,$43702.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-B,NA,NA,$58462.44,$70770.32,NA,NA,NA,NA,NA,$58462.44,NA,NA,NA,$61539.41,NA,NA,NA,NA,NA,NA,NA,NA,$61539.41,NA,$61539.41,NA,NA,NA,NA,$70770.32,$61539.41,$61539.41,NA,$58462.44,$61539.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-C,NA,NA,$49608.38,$60052.25,NA,NA,NA,NA,NA,$49608.38,NA,NA,NA,$52219.34,NA,NA,NA,NA,NA,NA,NA,NA,$52219.34,NA,$52219.34,NA,NA,NA,NA,$60052.25,$52219.34,$52219.34,NA,$49608.38,$52219.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-D,NA,NA,$44688.82,$54096.99,NA,NA,NA,NA,NA,$44688.82,NA,NA,NA,$47040.86,NA,NA,NA,NA,NA,NA,NA,NA,$47040.86,NA,$47040.86,NA,NA,NA,NA,$54096.99,$47040.86,$47040.86,NA,$44688.82,$47040.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-A,NA,NA,$12633.41,$15293.08,NA,NA,NA,NA,NA,$12633.41,NA,NA,NA,$13298.33,NA,NA,NA,NA,NA,NA,NA,NA,$13298.33,NA,$13298.33,NA,NA,NA,NA,$15293.08,$13298.33,$13298.33,NA,$12633.41,$13298.33,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-B,NA,NA,$18643.35,$22568.27,NA,NA,NA,NA,NA,$18643.35,NA,NA,NA,$19624.58,NA,NA,NA,NA,NA,NA,NA,NA,$19624.58,NA,$19624.58,NA,NA,NA,NA,$22568.27,$19624.58,$19624.58,NA,$18643.35,$19624.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-C,NA,NA,$14488.21,$17538.36,NA,NA,NA,NA,NA,$14488.21,NA,NA,NA,$15250.75,NA,NA,NA,NA,NA,NA,NA,NA,$15250.75,NA,$15250.75,NA,NA,NA,NA,$17538.36,$15250.75,$15250.75,NA,$14488.21,$15250.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-D,NA,NA,$13678.25,$16557.88,NA,NA,NA,NA,NA,$13678.25,NA,NA,NA,$14398.15,NA,NA,NA,NA,NA,NA,NA,NA,$14398.15,NA,$14398.15,NA,NA,NA,NA,$16557.88,$14398.15,$14398.15,NA,$13678.25,$14398.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-A,NA,NA,$15698.17,$19003.05,NA,NA,NA,NA,NA,$15698.17,NA,NA,NA,$16524.39,NA,NA,NA,NA,NA,NA,NA,NA,$16524.39,NA,$16524.39,NA,NA,NA,NA,$19003.05,$16524.39,$16524.39,NA,$15698.17,$16524.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-B,NA,NA,$23164.34,$28041.04,NA,NA,NA,NA,NA,$23164.34,NA,NA,NA,$24383.51,NA,NA,NA,NA,NA,NA,NA,NA,$24383.51,NA,$24383.51,NA,NA,NA,NA,$28041.04,$24383.51,$24383.51,NA,$23164.34,$24383.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-C,NA,NA,$18001.36,$21791.12,NA,NA,NA,NA,NA,$18001.36,NA,NA,NA,$18948.80,NA,NA,NA,NA,NA,NA,NA,NA,$18948.80,NA,$18948.80,NA,NA,NA,NA,$21791.12,$18948.80,$18948.80,NA,$18001.36,$18948.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-D,NA,NA,$16994.96,$20572.85,NA,NA,NA,NA,NA,$16994.96,NA,NA,NA,$17889.43,NA,NA,NA,NA,NA,NA,NA,NA,$17889.43,NA,$17889.43,NA,NA,NA,NA,$20572.85,$17889.43,$17889.43,NA,$16994.96,$17889.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-A,NA,NA,$18230.54,$22068.55,NA,NA,NA,NA,NA,$18230.54,NA,NA,NA,$19190.05,NA,NA,NA,NA,NA,NA,NA,NA,$19190.05,NA,$19190.05,NA,NA,NA,NA,$22068.55,$19190.05,$19190.05,NA,$18230.54,$19190.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-B,NA,NA,$26902.40,$32566.07,NA,NA,NA,NA,NA,$26902.40,NA,NA,NA,$28318.32,NA,NA,NA,NA,NA,NA,NA,NA,$28318.32,NA,$28318.32,NA,NA,NA,NA,$32566.07,$28318.32,$28318.32,NA,$26902.40,$28318.32,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-C,NA,NA,$20906.69,$25308.10,NA,NA,NA,NA,NA,$20906.69,NA,NA,NA,$22007.04,NA,NA,NA,NA,NA,NA,NA,NA,$22007.04,NA,$22007.04,NA,NA,NA,NA,$25308.10,$22007.04,$22007.04,NA,$20906.69,$22007.04,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-D,NA,NA,$19738.01,$23893.38,NA,NA,NA,NA,NA,$19738.01,NA,NA,NA,$20776.86,NA,NA,NA,NA,NA,NA,NA,NA,$20776.86,NA,$20776.86,NA,NA,NA,NA,$23893.38,$20776.86,$20776.86,NA,$19738.01,$20776.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-A,NA,NA,$21710.96,$26281.69,NA,NA,NA,NA,NA,$21710.96,NA,NA,NA,$22853.64,NA,NA,NA,NA,NA,NA,NA,NA,$22853.64,NA,$22853.64,NA,NA,NA,NA,$26281.69,$22853.64,$22853.64,NA,$21710.96,$22853.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-B,NA,NA,$32036.91,$38781.52,NA,NA,NA,NA,NA,$32036.91,NA,NA,NA,$33723.06,NA,NA,NA,NA,NA,NA,NA,NA,$33723.06,NA,$33723.06,NA,NA,NA,NA,$38781.52,$33723.06,$33723.06,NA,$32036.91,$33723.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-C,NA,NA,$24898.14,$30139.85,NA,NA,NA,NA,NA,$24898.14,NA,NA,NA,$26208.57,NA,NA,NA,NA,NA,NA,NA,NA,$26208.57,NA,$26208.57,NA,NA,NA,NA,$30139.85,$26208.57,$26208.57,NA,$24898.14,$26208.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-D,NA,NA,$23505.97,$28454.60,NA,NA,NA,NA,NA,$23505.97,NA,NA,NA,$24743.13,NA,NA,NA,NA,NA,NA,NA,NA,$24743.13,NA,$24743.13,NA,NA,NA,NA,$28454.60,$24743.13,$24743.13,NA,$23505.97,$24743.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-A,NA,NA,$28325.89,$34289.23,NA,NA,NA,NA,NA,$28325.89,NA,NA,NA,$29816.72,NA,NA,NA,NA,NA,NA,NA,NA,$29816.72,NA,$29816.72,NA,NA,NA,NA,$34289.23,$29816.72,$29816.72,NA,$28325.89,$29816.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-B,NA,NA,$41796.30,$50595.53,NA,NA,NA,NA,NA,$41796.30,NA,NA,NA,$43996.11,NA,NA,NA,NA,NA,NA,NA,NA,$43996.11,NA,$43996.11,NA,NA,NA,NA,$50595.53,$43996.11,$43996.11,NA,$41796.30,$43996.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-C,NA,NA,$32482.46,$39320.87,NA,NA,NA,NA,NA,$32482.46,NA,NA,NA,$34192.06,NA,NA,NA,NA,NA,NA,NA,NA,$34192.06,NA,$34192.06,NA,NA,NA,NA,$39320.87,$34192.06,$34192.06,NA,$32482.46,$34192.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-D,NA,NA,$30666.09,$37122.11,NA,NA,NA,NA,NA,$30666.09,NA,NA,NA,$32280.10,NA,NA,NA,NA,NA,NA,NA,NA,$32280.10,NA,$32280.10,NA,NA,NA,NA,$37122.11,$32280.10,$32280.10,NA,$30666.09,$32280.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-A,NA,NA,$12483.94,$15112.14,NA,NA,NA,NA,NA,$12483.94,NA,NA,NA,$13140.99,NA,NA,NA,NA,NA,NA,NA,NA,$13140.99,NA,$13140.99,NA,NA,NA,NA,$15112.14,$13140.99,$13140.99,NA,$12483.94,$13140.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-B,NA,NA,$19463.28,$23560.81,NA,NA,NA,NA,NA,$19463.28,NA,NA,NA,$20487.66,NA,NA,NA,NA,NA,NA,NA,NA,$20487.66,NA,$20487.66,NA,NA,NA,NA,$23560.81,$20487.66,$20487.66,NA,$19463.28,$20487.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-C,NA,NA,$14651.91,$17736.52,NA,NA,NA,NA,NA,$14651.91,NA,NA,NA,$15423.06,NA,NA,NA,NA,NA,NA,NA,NA,$15423.06,NA,$15423.06,NA,NA,NA,NA,$17736.52,$15423.06,$15423.06,NA,$14651.91,$15423.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-D,NA,NA,$13735.19,$16626.80,NA,NA,NA,NA,NA,$13735.19,NA,NA,NA,$14458.09,NA,NA,NA,NA,NA,NA,NA,NA,$14458.09,NA,$14458.09,NA,NA,NA,NA,$16626.80,$14458.09,$14458.09,NA,$13735.19,$14458.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-A,NA,NA,$15537.32,$18808.33,NA,NA,NA,NA,NA,$15537.32,NA,NA,NA,$16355.07,NA,NA,NA,NA,NA,NA,NA,NA,$16355.07,NA,$16355.07,NA,NA,NA,NA,$18808.33,$16355.07,$16355.07,NA,$15537.32,$16355.07,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-B,NA,NA,$24221.98,$29321.35,NA,NA,NA,NA,NA,$24221.98,NA,NA,NA,$25496.83,NA,NA,NA,NA,NA,NA,NA,NA,$25496.83,NA,$25496.83,NA,NA,NA,NA,$29321.35,$25496.83,$25496.83,NA,$24221.98,$25496.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-C,NA,NA,$18233.39,$22072.00,NA,NA,NA,NA,NA,$18233.39,NA,NA,NA,$19193.04,NA,NA,NA,NA,NA,NA,NA,NA,$19193.04,NA,$19193.04,NA,NA,NA,NA,$22072.00,$19193.04,$19193.04,NA,$18233.39,$19193.04,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-D,NA,NA,$17093.18,$20691.75,NA,NA,NA,NA,NA,$17093.18,NA,NA,NA,$17992.82,NA,NA,NA,NA,NA,NA,NA,NA,$17992.82,NA,$17992.82,NA,NA,NA,NA,$20691.75,$17992.82,$17992.82,NA,$17093.18,$17992.82,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-A,NA,NA,$18455.46,$22340.81,NA,NA,NA,NA,NA,$18455.46,NA,NA,NA,$19426.79,NA,NA,NA,NA,NA,NA,NA,NA,$19426.79,NA,$19426.79,NA,NA,NA,NA,$22340.81,$19426.79,$19426.79,NA,$18455.46,$19426.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-B,NA,NA,$28774.28,$34832.03,NA,NA,NA,NA,NA,$28774.28,NA,NA,NA,$30288.72,NA,NA,NA,NA,NA,NA,NA,NA,$30288.72,NA,$30288.72,NA,NA,NA,NA,$34832.03,$30288.72,$30288.72,NA,$28774.28,$30288.72,NA,NA,NA,NA
