Encompass Health Rehabilitation Hospital of Sunrise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,AVMED HEALTH MEDICARE (AVMM) negotiated charge,AVMED HEALTH PLAN (AVMD) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREPLUS HEALTH MEDICARE (CPHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA EXCHANGE (HUMZ) negotiated charge,HUMANA MEDICAID (HUMD) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,INTEGRA GROUP WC (INTW) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,VISTA HEALTH PLAN (VIS) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",CMG 0205-D,NA,NA,$31688.83,$38360.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33356.66,NA,NA,NA,NA,NA,NA,NA,$33356.66,NA,NA,NA,NA,NA,NA,NA,$33356.66,NA,NA,$38360.16,$33356.66,NA,$33356.66,$33356.66,NA,$31688.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-A,NA,NA,$13422.15,$16247.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14128.58,NA,NA,NA,NA,NA,NA,NA,$14128.58,NA,NA,NA,NA,NA,NA,NA,$14128.58,NA,NA,$16247.87,$14128.58,NA,$14128.58,$14128.58,NA,$13422.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-B,NA,NA,$19332.38,$23402.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20349.87,NA,NA,NA,NA,NA,NA,NA,$20349.87,NA,NA,NA,NA,NA,NA,NA,$20349.87,NA,NA,$23402.35,$20349.87,NA,$20349.87,$20349.87,NA,$19332.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-C,NA,NA,$15671.79,$18971.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16496.62,NA,NA,NA,NA,NA,NA,NA,$16496.62,NA,NA,NA,NA,NA,NA,NA,$16496.62,NA,NA,$18971.12,$16496.62,NA,$16496.62,$16496.62,NA,$15671.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0301-D,NA,NA,$14479.97,$17528.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15242.08,NA,NA,NA,NA,NA,NA,NA,$15242.08,NA,NA,NA,NA,NA,NA,NA,$15242.08,NA,NA,$17528.39,$15242.08,NA,$15242.08,$15242.08,NA,$14479.97,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-A,NA,NA,$17196.25,$20816.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18101.31,NA,NA,NA,NA,NA,NA,NA,$18101.31,NA,NA,NA,NA,NA,NA,NA,$18101.31,NA,NA,$20816.51,$18101.31,NA,$18101.31,$18101.31,NA,$17196.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-B,NA,NA,$24768.08,$29982.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26071.67,NA,NA,NA,NA,NA,NA,NA,$26071.67,NA,NA,NA,NA,NA,NA,NA,$26071.67,NA,NA,$29982.42,$26071.67,NA,$26071.67,$26071.67,NA,$24768.08,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-C,NA,NA,$20079.63,$24306.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21136.45,NA,NA,NA,NA,NA,NA,NA,$21136.45,NA,NA,NA,NA,NA,NA,NA,$21136.45,NA,NA,$24306.92,$21136.45,NA,$21136.45,$21136.45,NA,$20079.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0302-D,NA,NA,$18552.02,$22457.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19528.44,NA,NA,NA,NA,NA,NA,NA,$19528.44,NA,NA,NA,NA,NA,NA,NA,$19528.44,NA,NA,$22457.71,$19528.44,NA,$19528.44,$19528.44,NA,$18552.02,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-A,NA,NA,$20585.68,$24919.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21669.14,NA,NA,NA,NA,NA,NA,NA,$21669.14,NA,NA,NA,NA,NA,NA,NA,$21669.14,NA,NA,$24919.51,$21669.14,NA,$21669.14,$21669.14,NA,$20585.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-B,NA,NA,$29650.44,$35892.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31210.99,NA,NA,NA,NA,NA,NA,NA,$31210.99,NA,NA,NA,NA,NA,NA,NA,$31210.99,NA,NA,$35892.64,$31210.99,NA,$31210.99,$31210.99,NA,$29650.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-C,NA,NA,$24036.60,$29096.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25301.68,NA,NA,NA,NA,NA,NA,NA,$25301.68,NA,NA,NA,NA,NA,NA,NA,$25301.68,NA,NA,$29096.93,$25301.68,NA,$25301.68,$25301.68,NA,$24036.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0303-D,NA,NA,$22207.88,$26883.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23376.71,NA,NA,NA,NA,NA,NA,NA,$23376.71,NA,NA,NA,NA,NA,NA,NA,$23376.71,NA,NA,$26883.22,$23376.71,NA,$23376.71,$23376.71,NA,$22207.88,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-A,NA,NA,$23095.44,$27957.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24310.99,NA,NA,NA,NA,NA,NA,NA,$24310.99,NA,NA,NA,NA,NA,NA,NA,$24310.99,NA,NA,$27957.63,$24310.99,NA,$24310.99,$24310.99,NA,$23095.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-B,NA,NA,$33265.31,$40268.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35016.12,NA,NA,NA,NA,NA,NA,NA,$35016.12,NA,NA,NA,NA,NA,NA,NA,$35016.12,NA,NA,$40268.54,$35016.12,NA,$35016.12,$35016.12,NA,$33265.31,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-C,NA,NA,$26965.70,$32642.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28384.94,NA,NA,NA,NA,NA,NA,NA,$28384.94,NA,NA,NA,NA,NA,NA,NA,$28384.94,NA,NA,$32642.69,$28384.94,NA,$28384.94,$28384.94,NA,$26965.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0304-D,NA,NA,$24916.27,$30161.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26227.65,NA,NA,NA,NA,NA,NA,NA,$26227.65,NA,NA,NA,NA,NA,NA,NA,$26227.65,NA,NA,$30161.80,$26227.65,NA,$26227.65,$26227.65,NA,$24916.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-A,NA,NA,$25226.84,$30537.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26554.57,NA,NA,NA,NA,NA,NA,NA,$26554.57,NA,NA,NA,NA,NA,NA,NA,$26554.57,NA,NA,$30537.75,$26554.57,NA,$26554.57,$26554.57,NA,$25226.84,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-B,NA,NA,$36336.30,$43986.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38248.73,NA,NA,NA,NA,NA,NA,NA,$38248.73,NA,NA,NA,NA,NA,NA,NA,$38248.73,NA,NA,$43986.04,$38248.73,NA,$38248.73,$38248.73,NA,$36336.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-C,NA,NA,$29456.54,$35657.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31006.88,NA,NA,NA,NA,NA,NA,NA,$31006.88,NA,NA,NA,NA,NA,NA,NA,$31006.88,NA,NA,$35657.91,$31006.88,NA,$31006.88,$31006.88,NA,$29456.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",CMG 0305-D,NA,NA,$27216.36,$32946.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28648.80,NA,NA,NA,NA,NA,NA,NA,$28648.80,NA,NA,NA,NA,NA,NA,NA,$28648.80,NA,NA,$32946.12,$28648.80,NA,$28648.80,$28648.80,NA,$27216.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-A,NA,NA,$15320.24,$18545.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16126.56,NA,NA,NA,NA,NA,NA,NA,$16126.56,NA,NA,NA,NA,NA,NA,NA,$16126.56,NA,NA,$18545.55,$16126.56,NA,$16126.56,$16126.56,NA,$15320.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-B,NA,NA,$21572.56,$26114.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22707.95,NA,NA,NA,NA,NA,NA,NA,$22707.95,NA,NA,NA,NA,NA,NA,NA,$22707.95,NA,NA,$26114.15,$22707.95,NA,$22707.95,$22707.95,NA,$21572.56,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-C,NA,NA,$18306.09,$22160.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19269.57,NA,NA,NA,NA,NA,NA,NA,$19269.57,NA,NA,NA,NA,NA,NA,NA,$19269.57,NA,NA,$22160.00,$19269.57,NA,$19269.57,$19269.57,NA,$18306.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0401-D,NA,NA,$16489.98,$19961.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17357.88,NA,NA,NA,NA,NA,NA,NA,$17357.88,NA,NA,NA,NA,NA,NA,NA,$17357.88,NA,NA,$19961.56,$17357.88,NA,$17357.88,$17357.88,NA,$16489.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-A,NA,NA,$19936.17,$24133.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20985.44,NA,NA,NA,NA,NA,NA,NA,$20985.44,NA,NA,NA,NA,NA,NA,NA,$20985.44,NA,NA,$24133.26,$20985.44,NA,$20985.44,$20985.44,NA,$19936.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-B,NA,NA,$28072.39,$33982.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29549.88,NA,NA,NA,NA,NA,NA,NA,$29549.88,NA,NA,NA,NA,NA,NA,NA,$29549.88,NA,NA,$33982.36,$29549.88,NA,$29549.88,$29549.88,NA,$28072.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-C,NA,NA,$23820.62,$28835.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25074.33,NA,NA,NA,NA,NA,NA,NA,$25074.33,NA,NA,NA,NA,NA,NA,NA,$25074.33,NA,NA,$28835.49,$25074.33,NA,$25074.33,$25074.33,NA,$23820.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0402-D,NA,NA,$21457.47,$25974.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22586.81,NA,NA,NA,NA,NA,NA,NA,$22586.81,NA,NA,NA,NA,NA,NA,NA,$22586.81,NA,NA,$25974.84,$22586.81,NA,$22586.81,$22586.81,NA,$21457.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-A,NA,NA,$23926.24,$28963.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25185.52,NA,NA,NA,NA,NA,NA,NA,$25185.52,NA,NA,NA,NA,NA,NA,NA,$25185.52,NA,NA,$28963.35,$25185.52,NA,$25185.52,$25185.52,NA,$23926.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-B,NA,NA,$33690.96,$40783.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35464.17,NA,NA,NA,NA,NA,NA,NA,$35464.17,NA,NA,NA,NA,NA,NA,NA,$35464.17,NA,NA,$40783.80,$35464.17,NA,$35464.17,$35464.17,NA,$33690.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-C,NA,NA,$28589.47,$34608.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30094.18,NA,NA,NA,NA,NA,NA,NA,$30094.18,NA,NA,NA,NA,NA,NA,NA,$30094.18,NA,NA,$34608.31,$30094.18,NA,$30094.18,$30094.18,NA,$28589.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0403-D,NA,NA,$25753.38,$31175.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27108.82,NA,NA,NA,NA,NA,NA,NA,$27108.82,NA,NA,NA,NA,NA,NA,NA,$27108.82,NA,NA,$31175.15,$27108.82,NA,$27108.82,$27108.82,NA,$25753.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-A,NA,NA,$40512.39,$49041.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42644.62,NA,NA,NA,NA,NA,NA,NA,$42644.62,NA,NA,NA,NA,NA,NA,NA,$42644.62,NA,NA,$49041.32,$42644.62,NA,$42644.62,$42644.62,NA,$40512.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-B,NA,NA,$57044.94,$69054.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60047.31,NA,NA,NA,NA,NA,NA,NA,$60047.31,NA,NA,NA,NA,NA,NA,NA,$60047.31,NA,NA,$69054.40,$60047.31,NA,$60047.31,$60047.31,NA,$57044.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-C,NA,NA,$48407.41,$58598.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50955.16,NA,NA,NA,NA,NA,NA,NA,$50955.16,NA,NA,NA,NA,NA,NA,NA,$50955.16,NA,NA,$58598.44,$50955.16,NA,$50955.16,$50955.16,NA,$48407.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0404-D,NA,NA,$43605.45,$52785.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45900.47,NA,NA,NA,NA,NA,NA,NA,$45900.47,NA,NA,NA,NA,NA,NA,NA,$45900.47,NA,NA,$52785.54,$45900.47,NA,$45900.47,$45900.47,NA,$43605.45,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-A,NA,NA,$30725.60,$37194.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32342.74,NA,NA,NA,NA,NA,NA,NA,$32342.74,NA,NA,NA,NA,NA,NA,NA,$32342.74,NA,NA,$37194.15,$32342.74,NA,$32342.74,$32342.74,NA,$30725.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-B,NA,NA,$43264.93,$52373.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45542.03,NA,NA,NA,NA,NA,NA,NA,$45542.03,NA,NA,NA,NA,NA,NA,NA,$45542.03,NA,NA,$52373.33,$45542.03,NA,$45542.03,$45542.03,NA,$43264.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-C,NA,NA,$36713.07,$44442.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38645.34,NA,NA,NA,NA,NA,NA,NA,$38645.34,NA,NA,NA,NA,NA,NA,NA,$38645.34,NA,NA,$44442.14,$38645.34,NA,$38645.34,$38645.34,NA,$36713.07,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-D,NA,NA,$33071.40,$40033.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34812.01,NA,NA,NA,NA,NA,NA,NA,$34812.01,NA,NA,NA,NA,NA,NA,NA,$34812.01,NA,NA,$40033.81,$34812.01,NA,$34812.01,$34812.01,NA,$33071.40,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-A,NA,NA,$40269.61,$48747.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42389.07,NA,NA,NA,NA,NA,NA,NA,$42389.07,NA,NA,NA,NA,NA,NA,NA,$42389.07,NA,NA,$48747.43,$42389.07,NA,$42389.07,$42389.07,NA,$40269.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-B,NA,NA,$56704.42,$68642.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$59688.86,NA,NA,NA,NA,NA,NA,NA,$59688.86,NA,NA,NA,NA,NA,NA,NA,$59688.86,NA,NA,$68642.19,$59688.86,NA,$59688.86,$59688.86,NA,$56704.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-C,NA,NA,$48117.33,$58247.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50649.82,NA,NA,NA,NA,NA,NA,NA,$50649.82,NA,NA,NA,NA,NA,NA,NA,$50649.82,NA,NA,$58247.30,$50649.82,NA,$50649.82,$50649.82,NA,$48117.33,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-D,NA,NA,$43343.75,$52468.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45625.00,NA,NA,NA,NA,NA,NA,NA,$45625.00,NA,NA,NA,NA,NA,NA,NA,$45625.00,NA,NA,$52468.75,$45625.00,NA,$45625.00,$45625.00,NA,$43343.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-A,NA,NA,$45979.63,$55659.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48399.61,NA,NA,NA,NA,NA,NA,NA,$48399.61,NA,NA,NA,NA,NA,NA,NA,$48399.61,NA,NA,$55659.55,$48399.61,NA,$48399.61,$48399.61,NA,$45979.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-B,NA,NA,$64746.05,$78376.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$68153.73,NA,NA,NA,NA,NA,NA,NA,$68153.73,NA,NA,NA,NA,NA,NA,NA,$68153.73,NA,NA,$78376.79,$68153.73,NA,$68153.73,$68153.73,NA,$64746.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-C,NA,NA,$54940.34,$66506.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$57831.94,NA,NA,NA,NA,NA,NA,NA,$57831.94,NA,NA,NA,NA,NA,NA,NA,$57831.94,NA,NA,$66506.73,$57831.94,NA,$57831.94,$57831.94,NA,$54940.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-D,NA,NA,$49492.02,$59911.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52096.87,NA,NA,NA,NA,NA,NA,NA,$52096.87,NA,NA,NA,NA,NA,NA,NA,$52096.87,NA,NA,$59911.40,$52096.87,NA,$52096.87,$52096.87,NA,$49492.02,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-A,NA,NA,$13991.26,$16936.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14727.65,NA,NA,NA,NA,NA,NA,NA,$14727.65,NA,NA,NA,NA,NA,NA,NA,$14727.65,NA,NA,$16936.79,$14727.65,NA,$14727.65,$14727.65,NA,$13991.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-B,NA,NA,$20647.16,$24993.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21733.86,NA,NA,NA,NA,NA,NA,NA,$21733.86,NA,NA,NA,NA,NA,NA,NA,$21733.86,NA,NA,$24993.93,$21733.86,NA,$21733.86,$21733.86,NA,$20647.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-C,NA,NA,$16045.42,$19423.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16889.91,NA,NA,NA,NA,NA,NA,NA,$16889.91,NA,NA,NA,NA,NA,NA,NA,$16889.91,NA,NA,$19423.40,$16889.91,NA,$16889.91,$16889.91,NA,$16045.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-D,NA,NA,$15148.40,$18337.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15945.68,NA,NA,NA,NA,NA,NA,NA,$15945.68,NA,NA,NA,NA,NA,NA,NA,$15945.68,NA,NA,$18337.54,$15945.68,NA,$15945.68,$15945.68,NA,$15148.40,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-A,NA,NA,$17385.43,$21045.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18300.45,NA,NA,NA,NA,NA,NA,NA,$18300.45,NA,NA,NA,NA,NA,NA,NA,$18300.45,NA,NA,$21045.51,$18300.45,NA,$18300.45,$18300.45,NA,$17385.43,NA,NA,NA,NA
